App,Package,Start Time,Duration,Filename
"System",,"May 22, 2014 @ 01:28:00 PM","1 min 53 sec",""

Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"GPU3D Load [%]",Time  [ms],"CPU Load - Normalized [%]",Time  [ms],"GPU3D Frequency [kHz]",Time  [ms],"CPU0 Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU0 Frequency [kHz]",Time  [ms],"Application State",Description,
0,27,5,0,6,1512000,8,0,7,1038068,9,0,9,0,15,0,21,0,21,320000,30,5,23,2,30,1512000,8,0,,
107,50,108,0,109,1512000,110,0,109,1038564,111,0,114,0,123,0,141,28,141,320000,146,63,143,63,148,1512000,110,0,,
209,42,212,0,212,1026000,213,0,213,1056612,214,0,215,0,215,0,219,22,220,320000,222,50,221,38,223,1512000,214,0,,
310,18,311,0,311,1512000,313,0,312,1056796,315,0,315,0,316,0,321,13,321,320000,325,37,323,26,325,1026000,313,0,,
410,18,410,0,411,1512000,414,0,413,1056796,415,0,415,0,416,0,434,13,435,320000,439,30,437,30,440,1026000,414,0,,
510,30,511,0,512,1512000,514,0,513,1056796,515,0,516,0,517,0,522,13,523,320000,526,44,524,25,526,1512000,514,0,,
610,30,611,0,612,1512000,613,0,613,1056796,614,0,615,0,616,0,619,12,620,320000,622,12,621,26,623,1512000,614,0,,
713,0,714,0,715,1512000,716,0,716,1056804,717,0,718,0,718,0,732,5,733,320000,737,18,735,14,738,1026000,717,0,,
811,20,812,0,813,1512000,814,0,814,1056804,815,0,815,0,816,0,821,8,821,320000,824,14,823,13,825,1512000,815,0,,
912,36,913,0,914,1512000,915,0,915,1056804,916,0,917,0,917,0,922,14,923,320000,926,33,924,30,927,1026000,916,0,,
1012,60,1013,0,1014,1512000,1021,0,1020,1058000,1023,0,1024,0,1027,0,1041,32,1042,320000,1045,70,1043,72,1046,1512000,1023,0,,
1114,100,1115,0,1116,1512000,1117,0,1117,1057876,1118,0,1119,0,1120,0,1134,36,1136,320000,1146,50,1139,75,1147,1512000,1117,0,,
1213,90,1214,0,1215,1512000,1216,0,1215,1056476,1217,0,1218,0,1219,0,1223,40,1223,320000,1233,66,1225,75,1234,1512000,1217,0,,
1317,63,1317,0,1319,1512000,1321,0,1320,1049380,1322,0,1323,0,1323,0,1344,33,1344,400000,1350,69,1348,67,1351,1512000,1322,0,,
1418,54,1420,0,1421,1026000,1423,0,1422,1049256,1424,0,1425,0,1426,0,1436,23,1437,400000,1442,50,1440,47,1444,1026000,1423,0,,
1517,70,1518,0,1519,1512000,1520,0,1519,1070816,1520,0,1521,0,1521,0,1526,34,1527,400000,1540,75,1538,77,1540,1512000,1520,0,,
1617,37,1619,0,1622,1512000,1624,0,1623,1060512,1625,0,1625,0,1628,0,1641,21,1641,400000,1646,40,1645,33,1647,1512000,1624,0,,
1718,40,1718,0,1719,1512000,1720,0,1720,1060572,1721,0,1721,0,1722,0,1728,14,1729,400000,1732,14,1730,31,1733,1512000,1721,0,,
1819,10,1820,0,1821,1512000,1822,0,1821,1060820,1823,0,1823,0,1824,0,1828,8,1829,400000,1832,33,1830,16,1833,1512000,1822,0,,
1919,0,1921,0,1921,1512000,1926,0,1925,1060820,1927,0,1928,0,1929,0,1946,7,1947,320000,1950,27,1949,17,1951,1512000,1927,0,,
2019,10,2020,0,2021,1512000,2022,0,2021,1060820,2023,0,2023,0,2024,0,2031,4,2031,320000,2035,12,2033,12,2036,1512000,2022,0,,
2124,22,2125,0,2126,1026000,2132,0,2127,1060820,2133,0,2134,0,2134,0,2139,19,2140,320000,2143,41,2141,36,2144,1512000,2132,0,,
2221,50,2222,0,2225,1512000,2236,0,2235,1057508,2237,0,2237,0,2238,0,2251,28,2252,320000,2258,70,2254,57,2259,1512000,2236,0,,
2322,30,2323,0,2324,1512000,2325,0,2325,1047660,2326,0,2327,0,2327,0,2334,14,2336,320000,2343,33,2341,33,2344,1512000,2326,0,,
2424,45,2426,0,2427,1026000,2429,0,2428,1047784,2430,0,2430,0,2431,0,2442,19,2443,320000,2448,40,2446,40,2449,1026000,2429,0,,
2525,45,2527,0,2528,1026000,2532,0,2531,1037608,2533,0,2534,0,2536,0,2560,16,2561,320000,2567,53,2564,50,2568,1026000,2533,0,,
2624,33,2625,0,2626,1026000,2628,0,2627,1037608,2630,0,2630,0,2631,0,2640,9,2641,320000,2647,14,2644,21,2650,1026000,2629,0,,
2727,27,2729,0,2730,1026000,2733,0,2731,1037452,2734,0,2735,0,2736,0,2743,12,2744,320000,2751,54,2749,38,2752,1026000,2733,0,,
2828,0,2829,0,2831,1026000,2836,0,2834,1037576,2837,0,2838,0,2839,0,2868,5,2869,320000,2872,20,2870,26,2873,1512000,2836,0,,
2928,40,2928,0,2929,1512000,2931,0,2930,1037452,2932,0,2933,0,2934,0,2940,10,2941,320000,2945,14,2943,7,2946,1026000,2931,0,,
3028,22,3029,0,3030,1512000,3031,0,3031,1037452,3032,0,3033,0,3033,0,3037,10,3038,320000,3041,22,3040,21,3042,1512000,3032,0,,
3128,0,3129,0,3132,1512000,3137,0,3136,1037452,3138,0,3138,0,3139,0,3160,10,3161,320000,3165,18,3163,21,3166,1134000,3137,0,,
3229,30,3230,0,3231,1512000,3233,0,3232,1037452,3234,0,3235,0,3236,0,3242,7,3242,320000,3245,25,3244,13,3246,1512000,3233,0,,
3330,30,3331,0,3334,1512000,3337,0,3336,1037452,3338,0,3339,0,3340,0,3344,12,3345,320000,3350,30,3347,33,3351,1512000,3337,0,,
3430,33,3431,0,3434,1512000,3437,0,3436,1055628,3437,0,3438,0,3438,0,3456,21,3457,320000,3461,36,3459,40,3461,1026000,3437,0,,
3531,33,3532,0,3533,1512000,3535,0,3534,1055628,3536,0,3537,0,3537,0,3542,12,3543,320000,3546,33,3545,18,3547,1512000,3535,0,,
3631,11,3632,0,3632,1512000,3633,0,3633,1055536,3634,0,3635,0,3635,0,3639,10,3639,320000,3642,14,3640,23,3642,1512000,3634,0,,
3732,20,3732,0,3735,1512000,3737,0,3736,1055660,3737,0,3738,0,3739,0,3757,7,3758,320000,3761,27,3760,26,3762,1512000,3737,0,,
