App,Package,Start Time,Duration,Filename
"System",,"May 22, 2014 @ 01:24:01 PM","1 min 12 sec",""

Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"GPU3D Load [%]",Time  [ms],"CPU Load - Normalized [%]",Time  [ms],"GPU3D Frequency [kHz]",Time  [ms],"CPU0 Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU0 Frequency [kHz]",Time  [ms],"Application State",Description,
0,14,1,0,2,1512000,4,0,3,1035112,5,0,6,0,7,0,15,2,16,320000,20,14,18,10,21,1512000,4,0,,
106,60,107,0,108,1026000,111,0,109,1053100,112,0,113,0,113,0,118,30,118,320000,122,63,120,63,123,1512000,112,0,,
206,20,207,0,208,1512000,209,0,208,1053512,210,0,211,0,212,0,217,10,217,320000,221,11,219,15,225,1512000,210,0,,
308,22,308,0,309,1512000,311,0,310,1053636,311,0,312,0,313,0,316,16,317,320000,321,50,319,36,321,1512000,311,0,,
409,20,410,0,412,1026000,416,0,415,1053252,417,0,418,0,419,0,451,8,452,320000,457,18,455,28,458,1026000,416,0,,
510,44,511,0,512,1026000,514,0,513,1053252,515,0,516,0,517,0,527,10,528,320000,536,28,530,23,538,1026000,515,0,,
611,54,612,0,613,1026000,615,0,614,1053376,617,0,617,0,618,0,624,16,625,320000,630,30,628,45,631,1026000,616,0,,
711,55,712,0,712,1512000,715,0,715,1056112,716,0,717,0,717,0,734,27,734,320000,741,81,739,70,742,1512000,716,0,,
811,50,812,0,813,1512000,814,0,813,1056408,815,0,815,0,816,0,832,36,833,320000,835,88,834,68,841,1512000,814,0,,
912,90,912,0,913,1512000,914,0,914,1055912,915,0,915,0,918,0,922,34,926,320000,931,50,928,75,932,1512000,915,0,,
1012,60,1014,0,1015,1512000,1017,0,1016,1048692,1018,0,1018,0,1019,0,1035,34,1036,400000,1039,50,1038,60,1043,1512000,1017,0,,
1113,55,1113,0,1114,1512000,1115,0,1115,1048692,1116,0,1117,0,1117,0,1127,20,1128,400000,1131,60,1129,44,1132,1512000,1116,0,,
1213,60,1214,0,1215,1512000,1217,0,1216,1070128,1218,0,1219,0,1219,0,1232,34,1233,400000,1237,60,1235,70,1237,1512000,1217,0,,
1317,25,1317,0,1319,1512000,1323,0,1320,1060012,1324,0,1324,0,1325,0,1341,18,1342,400000,1345,50,1343,38,1346,1512000,1323,0,,
1417,12,1418,0,1419,1512000,1420,0,1419,1060012,1421,0,1422,0,1422,0,1428,11,1428,400000,1431,33,1430,18,1432,1512000,1420,0,,
1519,30,1520,0,1521,1026000,1523,0,1522,1060012,1524,0,1525,0,1526,0,1532,12,1533,320000,1538,30,1536,28,1539,1026000,1524,0,,
1619,10,1621,0,1622,1026000,1626,0,1625,1060012,1628,0,1629,0,1630,0,1656,9,1658,320000,1663,23,1660,29,1664,1026000,1627,0,,
1721,50,1722,0,1723,1026000,1725,0,1724,1060072,1726,0,1727,0,1728,0,1736,7,1737,320000,1742,14,1740,18,1743,1026000,1725,0,,
1824,36,1825,0,1826,1512000,1828,0,1827,1060008,1828,0,1829,0,1830,0,1834,14,1834,320000,1837,50,1836,42,1838,1512000,1828,0,,
1921,20,1922,0,1923,1512000,1927,0,1926,1058472,1928,0,1928,0,1929,0,1960,15,1962,320000,1967,50,1964,45,1969,1512000,1927,0,,
2021,70,2022,0,2022,1512000,2024,0,2023,1046964,2024,0,2025,0,2025,0,2030,36,2031,320000,2037,66,2035,60,2038,1512000,2024,0,,
2122,36,2123,0,2123,1134000,2125,0,2124,1046964,2126,0,2126,0,2127,0,2133,14,2134,320000,2138,30,2136,30,2138,1134000,2125,0,,
2222,30,2223,0,2224,1134000,2227,0,2226,1046964,2228,0,2229,0,2230,0,2252,14,2252,320000,2256,46,2254,46,2256,1134000,2227,0,,
2324,33,2325,0,2326,1026000,2328,0,2327,1036852,2330,0,2330,0,2332,0,2344,11,2345,320000,2350,37,2347,25,2351,1026000,2329,0,,
2425,30,2426,0,2427,1026000,2429,0,2428,1036852,2431,0,2432,0,2433,0,2439,11,2440,320000,2445,20,2443,31,2445,1026000,2430,0,,
2524,22,2525,0,2525,1512000,2529,0,2529,1036852,2530,0,2531,0,2532,0,2549,6,2550,320000,2554,18,2552,19,2554,1512000,2530,0,,
2625,20,2625,0,2626,1512000,2628,0,2627,1036852,2629,0,2629,0,2630,0,2635,8,2636,320000,2639,25,2637,12,2640,1512000,2628,0,,
2726,22,2727,0,2727,1512000,2729,0,2728,1036852,2730,0,2730,0,2731,0,2736,11,2737,320000,2741,33,2739,23,2742,1512000,2729,0,,
2826,0,2827,0,2828,1512000,2831,0,2830,1036764,2832,0,2832,0,2833,0,2853,5,2854,320000,2857,0,2856,18,2858,1512000,2831,0,,
2925,30,2926,0,2928,1512000,2930,0,2929,1036764,2930,0,2931,0,2932,0,2937,7,2938,320000,2943,22,2940,6,2944,1026000,2930,0,,
3028,40,3029,0,3030,1026000,3033,0,3032,1036764,3034,0,3035,0,3036,0,3043,15,3044,320000,3048,33,3046,47,3050,1026000,3033,0,,
3128,27,3129,0,3130,1026000,3136,0,3134,1036764,3138,0,3138,0,3140,0,3170,8,3171,320000,3180,38,3175,34,3181,1026000,3137,0,,
3227,42,3228,0,3229,1512000,3230,0,3229,1055064,3231,0,3231,0,3232,0,3239,23,3240,320000,3243,71,3241,50,3244,1512000,3230,0,,
3328,22,3328,0,3329,1512000,3330,0,3330,1055064,3331,0,3332,0,3332,0,3335,11,3336,320000,3342,25,3338,13,3342,1512000,3331,0,,
3428,44,3429,0,3430,1512000,3432,0,3431,1064100,3433,0,3434,0,3434,0,3465,26,3465,320000,3469,53,3467,60,3471,1512000,3433,0,,
3529,62,3529,0,3530,1512000,3531,0,3531,1063960,3532,0,3532,0,3534,0,3541,38,3542,320000,3545,100,3543,80,3546,1512000,3460,145,Sgemm::NativeC::IO::Start,
3629,100,3630,0,3630,1512000,3632,0,3631,1064084,3632,0,3633,0,3633,0,3638,38,3639,200000,3642,55,3641,78,3643,1512000,3532,145,Sgemm::NativeC::IO::Start,
3730,91,3731,0,3731,1512000,3747,0,3738,1063712,3749,0,3749,0,3750,0,3765,38,3765,128000,3768,61,3767,76,3769,1512000,3632,145,Sgemm::NativeC::IO::Start,
3831,66,3831,0,3832,1512000,3834,0,3833,1063836,3835,0,3836,0,3836,0,3852,40,3857,128000,3868,100,3859,80,3869,1512000,3748,145,Sgemm::NativeC::IO::Start,
3931,57,3932,0,3932,1512000,3933,0,3933,1063836,3934,0,3935,0,3935,0,3944,39,3945,128000,3949,100,3947,80,3951,1512000,3834,145,Sgemm::NativeC::IO::Start,
4031,60,4032,0,4033,1512000,4048,0,4047,1063836,4049,0,4050,0,4052,0,4064,41,4065,128000,4068,100,4066,82,4070,1512000,3934,145,Sgemm::NativeC::IO::Start,
4132,100,4132,0,4133,1512000,4135,0,4134,1063836,4135,0,4138,0,4138,0,4156,36,4157,128000,4161,50,4159,70,4167,1512000,4049,145,Sgemm::NativeC::IO::Start,
4233,81,4233,0,4234,1512000,4236,0,4235,1063836,4237,0,4238,0,4239,4,4242,37,4243,128000,4246,62,4244,73,4247,1026000,4135,145,Sgemm::NativeC::IO::Start,
4334,88,4334,0,4336,1512000,4340,0,4339,1063836,4341,0,4341,0,4342,4,4367,36,4368,128000,4373,69,4372,80,4374,1512000,4237,145,Sgemm::NativeC::IO::Start,
4434,100,4435,0,4436,1512000,4439,0,4437,1063960,4442,0,4442,0,4443,4,4461,42,4462,128000,4481,70,4466,83,4482,1512000,4340,145,Sgemm::NativeC::IO::Start,
4535,100,4535,0,4536,1512000,4539,0,4537,1063960,4542,0,4543,0,4543,4,4549,42,4550,128000,4557,62,4555,83,4558,1026000,4441,145,Sgemm::NativeC::IO::Start,
4635,58,4636,0,4637,1512000,4647,0,4646,1063960,4648,0,4649,0,4650,4,4665,36,4666,128000,4669,90,4667,75,4670,1512000,4541,145,Sgemm::NativeC::IO::Start,
4735,63,4736,0,4737,1512000,4738,0,4738,1063960,4739,0,4740,0,4740,4,4756,38,4757,128000,4760,100,4758,78,4762,1512000,4648,145,Sgemm::NativeC::IO::Start,
4836,100,4837,0,4838,1512000,4839,0,4838,1063836,4842,0,4843,0,4844,4,4858,40,4860,128000,4868,60,4862,81,4869,1026000,4738,145,Sgemm::NativeC::IO::Start,
4936,100,4937,0,4938,1512000,4947,0,4946,1063836,4948,0,4951,0,4952,4,4971,37,4972,128000,4975,55,4974,80,4976,1512000,4841,145,Sgemm::NativeC::IO::Start,
5038,80,5039,0,5040,1512000,5042,0,5041,1063836,5043,0,5044,0,5046,4,5064,40,5064,128000,5073,90,5066,0,5074,1512000,4948,145,Sgemm::NativeC::IO::Start,
5137,60,5138,1512000,5139,1512000,5140,0,5139,1064580,5143,30,5143,0,5144,4,5150,30,5151,128000,5156,44,5154,53,5157,1512000,5043,145,Sgemm::NativeC::IO::Start,
5238,33,5238,1512000,5239,1512000,5240,0,5240,1064828,5242,100,5243,0,5243,1,5250,44,5250,128000,5255,45,5252,60,5255,1512000,5141,145,Sgemm::NativeC::IO::Start,
5338,44,5339,1512000,5340,1026000,5342,0,5341,1064828,5344,90,5344,0,5345,1,5352,43,5353,128000,5358,45,5355,61,5359,1026000,5241,145,Sgemm::NativeC::IO::Start,
5439,45,5440,1512000,5441,1026000,5443,0,5442,1064828,5445,100,5446,0,5447,1,5455,44,5455,128000,5461,44,5457,61,5462,1026000,5342,145,Sgemm::NativeC::IO::Start,
5540,54,5541,1512000,5542,1512000,5544,0,5543,1064828,5548,100,5549,0,5550,1,5555,44,5556,128000,5561,55,5558,68,5562,1026000,5443,145,Sgemm::NativeC::IO::Start,
5640,40,5641,1512000,5642,1512000,5643,0,5643,1064828,5646,100,5646,0,5647,1,5653,42,5654,128000,5658,40,5655,58,5658,1512000,5544,145,Sgemm::NativeC::IO::Start,
5741,40,5742,1512000,5743,1026000,5745,0,5744,1064984,5750,100,5750,0,5751,1,5757,43,5757,128000,5765,45,5760,60,5766,1026000,5644,145,Sgemm::NativeC::IO::Start,
5842,37,5843,1512000,5843,1512000,5847,0,5844,1064984,5849,100,5849,0,5850,1,5855,41,5856,128000,5860,28,5857,61,5864,1512000,5747,145,Sgemm::NativeC::IO::Start,
5942,58,5943,1512000,5944,1512000,5946,0,5945,1064984,5948,90,5949,0,5949,1,5957,49,5958,128000,5963,50,5960,67,5964,1134000,5847,145,Sgemm::NativeC::IO::Start,
6042,90,6043,1026000,6044,1512000,6045,0,6045,1063000,6047,54,6048,0,6049,1,6053,45,6053,128000,6057,37,6056,62,6058,1512000,5919,146,Sgemm::NativeC::IO::Stop,
