App,Package,Start Time,Duration,Filename
"System",,"May 22, 2014 @ 01:34:14 PM","1 min 1 sec",""

Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"GPU3D Load [%]",Time  [ms],"CPU Load - Normalized [%]",Time  [ms],"GPU3D Frequency [kHz]",Time  [ms],"CPU0 Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU0 Frequency [kHz]",Time  [ms],"Application State",Description,
0,35,2,0,3,1512000,5,0,4,1042404,5,0,6,0,7,0,16,0,18,320000,22,4,20,2,23,1026000,5,0,,
105,62,107,0,107,1512000,109,0,108,1060824,111,0,111,0,116,0,150,26,151,320000,155,71,154,64,156,1512000,110,0,,
207,30,208,0,210,1026000,212,0,211,1060564,213,0,214,0,215,0,221,21,222,320000,229,50,227,23,230,1026000,212,0,,
313,30,314,0,315,1026000,318,0,317,1060316,319,0,320,0,321,0,327,15,328,320000,333,58,331,45,334,1026000,318,0,,
414,18,415,0,416,1026000,420,0,419,1060348,422,0,423,0,424,0,453,10,454,320000,459,41,457,41,460,1026000,421,0,,
514,54,515,0,517,1026000,519,0,518,1060472,520,0,521,0,522,0,531,16,532,320000,537,37,534,38,539,1026000,519,0,,
615,22,616,0,617,1026000,619,0,618,1060348,620,0,621,0,622,0,628,13,629,320000,634,44,631,38,635,1026000,620,0,,
715,33,719,0,720,1026000,722,0,721,1060348,724,0,724,0,725,0,755,7,756,320000,761,38,759,30,763,1026000,723,0,,
816,45,817,0,818,1026000,821,0,820,1060348,822,0,823,0,824,0,832,17,833,320000,838,44,835,52,840,1026000,821,0,,
917,50,918,0,919,1026000,921,0,920,1060472,922,0,923,0,924,0,930,12,931,320000,936,11,933,31,937,1026000,922,0,,
1020,40,1021,0,1022,1026000,1024,0,1023,1060908,1025,0,1026,0,1027,0,1054,14,1055,320000,1060,50,1058,43,1061,1026000,1024,0,,
1118,50,1119,0,1120,1026000,1122,0,1121,1060784,1124,0,1124,0,1125,0,1134,10,1135,320000,1143,14,1137,33,1144,1026000,1123,0,,
1219,33,1220,0,1221,1026000,1224,0,1223,1060908,1225,0,1225,0,1227,0,1233,11,1234,320000,1239,50,1236,33,1240,1026000,1224,0,,
1319,10,1323,0,1324,1026000,1326,0,1325,1060908,1328,0,1328,0,1329,0,1356,10,1357,320000,1361,38,1360,37,1362,1512000,1327,0,,
1419,44,1420,0,1421,1026000,1422,0,1421,1060908,1423,0,1423,0,1424,0,1430,16,1430,320000,1433,28,1432,26,1434,1512000,1422,0,,
1519,90,1520,0,1520,1512000,1522,0,1521,1061544,1523,0,1523,0,1524,0,1527,41,1528,320000,1532,72,1530,85,1533,1512000,1522,0,,
1619,70,1620,0,1621,1512000,1623,0,1623,1063344,1624,0,1625,0,1626,0,1655,37,1656,320000,1660,85,1658,80,1675,1512000,1624,0,,
1720,90,1721,1512000,1722,1512000,1724,0,1723,1061324,1726,38,1726,0,1727,0,1737,43,1737,320000,1757,88,1755,0,1758,1512000,1724,0,,
1821,50,1822,1512000,1822,1512000,1824,0,1823,1053856,1825,54,1826,0,1826,0,1836,36,1837,320000,1840,37,1839,44,1841,1512000,1824,0,,
1922,25,1922,1026000,1923,1512000,1924,0,1924,1053856,1926,33,1926,0,1927,0,1934,19,1935,320000,1939,22,1937,26,1940,1512000,1924,0,,
2023,70,2024,0,2025,1512000,2026,0,2025,1075088,2027,0,2028,0,2029,0,2034,33,2035,400000,2039,75,2037,0,2040,1512000,2027,0,,
2122,50,2124,0,2125,1512000,2126,0,2126,1064660,2127,0,2128,0,2128,0,2144,23,2145,400000,2151,33,2148,47,2152,1026000,2127,0,,
2223,40,2223,0,2224,1512000,2225,0,2225,1064660,2226,0,2227,0,2227,0,2233,16,2234,400000,2237,25,2235,33,2237,1512000,2226,0,,
2324,27,2324,0,2325,1512000,2327,0,2326,1064660,2327,0,2328,0,2329,0,2334,7,2334,320000,2339,12,2336,16,2339,1026000,2327,0,,
2425,0,2426,0,2428,1512000,2429,0,2429,1064572,2430,0,2431,0,2431,0,2454,6,2455,320000,2458,16,2457,20,2459,1512000,2430,0,,
2524,30,2525,0,2526,1512000,2528,0,2527,1064572,2529,0,2529,0,2530,0,2535,9,2536,320000,2539,25,2537,13,2539,1512000,2528,0,,
2625,45,2626,0,2627,1512000,2628,0,2627,1064820,2629,0,2630,0,2631,0,2635,18,2635,320000,2638,27,2637,39,2639,1026000,2629,0,,
2725,20,2726,0,2727,1512000,2730,0,2729,1064820,2731,0,2732,0,2733,0,2759,5,2760,320000,2763,38,2762,24,2764,1512000,2731,0,,
2826,0,2827,0,2828,1512000,2829,0,2828,1064820,2830,0,2830,0,2831,0,2837,10,2838,320000,2841,25,2840,18,2842,1512000,2829,0,,
2926,30,2927,0,2928,1512000,2929,0,2929,1064820,2930,0,2931,0,2931,0,2936,12,2936,320000,2940,0,2938,17,2940,1026000,2930,0,,
3028,40,3029,0,3031,1026000,3038,0,3037,1064820,3039,0,3040,0,3041,0,3060,12,3061,320000,3064,20,3062,33,3064,1512000,3038,0,,
3128,50,3128,0,3130,1512000,3132,0,3131,1064448,3133,0,3133,0,3135,0,3152,20,3153,320000,3156,44,3154,47,3157,1512000,3132,0,,
3228,63,3229,1512000,3230,1512000,3231,0,3230,1052720,3232,40,3233,0,3234,0,3240,32,3240,320000,3246,66,3242,0,3247,1512000,3231,0,,
3328,33,3329,1512000,3330,1512000,3331,0,3330,1052968,3333,10,3333,0,3334,0,3339,14,3340,320000,3344,22,3341,22,3345,1512000,3331,0,,
3429,30,3430,1026000,3431,1512000,3433,0,3432,1053048,3435,20,3435,0,3436,0,3445,12,3446,320000,3450,33,3448,0,3451,1512000,3433,0,,
3530,27,3531,0,3532,1512000,3533,0,3532,1041896,3534,0,3534,0,3535,0,3554,13,3555,320000,3559,33,3557,30,3559,1512000,3533,0,,
3630,11,3631,0,3631,1512000,3633,0,3632,1041896,3633,0,3634,0,3635,0,3641,10,3641,320000,3644,22,3643,22,3645,1026000,3633,0,,
3732,0,3733,0,3734,1026000,3736,0,3735,1041896,3738,0,3739,0,3740,0,3746,8,3747,320000,3752,20,3749,16,3753,1026000,3737,0,,
3832,22,3833,0,3834,1026000,3839,0,3838,1041896,3840,0,3841,0,3842,0,3875,5,3876,320000,3881,33,3878,28,3882,1026000,3839,0,,
3932,36,3934,0,3935,1026000,3937,0,3936,1041896,3938,0,3939,0,3940,0,3949,12,3950,320000,3954,25,3952,37,3955,1026000,3937,0,,
4034,40,4035,0,4036,1026000,4038,0,4037,1041896,4040,0,4040,0,4041,0,4047,16,4049,320000,4053,50,4051,45,4054,1026000,4039,0,,
4134,30,4135,0,4137,1026000,4142,0,4141,1041896,4143,0,4144,0,4145,0,4177,3,4178,320000,4184,27,4180,21,4186,1026000,4142,0,,
4234,22,4236,0,4237,1026000,4239,0,4238,1041896,4241,0,4242,0,4243,0,4252,10,4253,320000,4258,16,4255,21,4259,1026000,4240,0,,
4335,40,4337,0,4338,1026000,4341,0,4340,1041896,4342,0,4343,0,4344,0,4350,11,4351,320000,4356,33,4354,33,4357,1026000,4341,0,,
4434,36,4435,0,4438,1512000,4439,0,4439,1060148,4440,0,4441,0,4441,0,4459,21,4459,320000,4464,57,4463,52,4465,1512000,4440,0,,
4535,30,4536,0,4536,1512000,4537,0,4537,1060148,4538,0,4539,0,4539,0,4546,18,4547,320000,4550,40,4548,33,4551,1512000,4538,0,,
4636,30,4636,0,4637,1512000,4638,0,4638,1060148,4639,0,4640,0,4641,0,4644,13,4645,320000,4648,12,4646,26,4648,1512000,4639,0,,
4736,20,4737,0,4740,1512000,4742,0,4741,1060148,4742,0,4743,0,4744,0,4769,2,4770,320000,4775,27,4773,18,4776,1026000,4742,0,,
4837,11,4839,0,4840,1026000,4842,0,4841,1060148,4844,0,4844,0,4845,0,4854,9,4855,320000,4859,14,4857,20,4861,1026000,4843,0,,
4938,36,4940,0,4941,1026000,4943,0,4942,1060148,4944,0,4945,0,4946,0,4952,15,4953,320000,4957,45,4955,43,4959,1026000,4943,0,,
5039,45,5043,0,5044,1026000,5046,0,5045,1060148,5047,0,5049,0,5050,0,5080,13,5081,320000,5086,50,5084,46,5087,1026000,5047,0,,
5140,30,5141,0,5142,1026000,5144,0,5143,1060148,5146,0,5147,0,5148,0,5157,12,5158,320000,5163,44,5160,31,5164,1026000,5145,0,,
5241,36,5242,0,5244,1026000,5246,0,5245,1060148,5247,0,5248,0,5249,0,5255,11,5257,320000,5261,33,5259,27,5262,1026000,5246,0,,
5341,10,5342,0,5346,1026000,5348,0,5347,1060148,5350,0,5351,0,5352,0,5382,8,5383,320000,5388,33,5385,30,5389,1026000,5349,0,,
5440,30,5441,0,5442,1512000,5444,0,5443,1060428,5444,0,5445,0,5445,0,5451,11,5452,320000,5455,20,5453,18,5455,1512000,5444,0,,
5541,33,5541,0,5542,1512000,5543,0,5543,1060428,5544,0,5546,0,5547,0,5551,15,5553,320000,5556,20,5554,31,5557,1512000,5543,0,,
5642,12,5644,0,5645,1026000,5652,0,5651,1060428,5653,0,5654,0,5655,0,5687,4,5692,320000,5697,38,5695,23,5698,1026000,5652,0,,
5742,11,5743,0,5744,1512000,5745,0,5744,1060428,5746,0,5746,0,5747,0,5755,16,5755,320000,5758,40,5757,20,5759,1512000,5745,0,,
5843,20,5844,0,5845,1512000,5847,0,5846,1060428,5848,0,5848,0,5849,0,5854,10,5855,320000,5859,27,5857,20,5860,1026000,5847,0,,
5943,10,5944,0,5945,1026000,5948,0,5947,1060428,5948,0,5949,0,5950,0,5976,8,5977,320000,5981,25,5979,28,5982,1026000,5948,0,,
6044,45,6045,0,6046,1512000,6047,0,6046,1060428,6048,0,6048,0,6049,0,6055,17,6055,320000,6058,16,6057,26,6059,1512000,6047,0,,
6145,11,6146,0,6148,1026000,6150,0,6149,1060304,6151,0,6152,0,6153,0,6159,9,6160,320000,6167,27,6165,28,6168,1026000,6150,0,,
6246,30,6247,0,6248,1026000,6252,0,6251,1060304,6254,0,6254,0,6255,0,6289,4,6290,320000,6295,33,6293,28,6297,1026000,6253,0,,
6346,20,6347,0,6347,1512000,6349,0,6348,1060304,6350,0,6350,0,6351,0,6356,14,6357,320000,6360,16,6358,9,6360,1512000,6349,0,,
6447,33,6448,0,6449,1512000,6450,0,6450,1060304,6451,0,6452,0,6453,0,6457,14,6457,320000,6460,40,6459,31,6461,1512000,6451,0,,
6547,0,6550,0,6552,1026000,6557,0,6557,1060304,6558,0,6558,0,6559,0,6579,10,6580,320000,6583,16,6581,26,6584,1512000,6557,0,,
6647,40,6647,0,6648,1026000,6650,0,6649,1060552,6651,0,6652,0,6653,0,6659,8,6660,320000,6662,12,6661,13,6663,1512000,6651,0,,
6747,20,6748,0,6749,1512000,6750,0,6749,1059932,6751,0,6751,0,6752,0,6756,18,6757,320000,6762,55,6760,38,6762,1512000,6750,0,,
6849,20,6850,0,6851,1026000,6856,0,6855,1058444,6857,0,6858,0,6859,0,6891,7,6892,320000,6897,16,6895,26,6898,1026000,6856,0,,
6948,50,6949,0,6950,1512000,6951,0,6950,1058444,6952,0,6952,0,6953,0,6958,11,6959,320000,6962,14,6960,21,6963,1512000,6951,0,,
7049,36,7050,0,7051,1026000,7053,0,7052,1058444,7054,0,7055,0,7055,0,7061,16,7062,320000,7067,30,7064,33,7068,1512000,7053,0,,
7150,30,7151,0,7152,1026000,7155,0,7154,1058444,7156,0,7157,0,7157,0,7180,10,7180,320000,7183,27,7182,29,7184,1512000,7155,0,,
7251,55,7252,0,7253,1512000,7255,0,7254,1065352,7256,0,7257,0,7258,0,7267,36,7268,320000,7277,77,7275,75,7277,1512000,7255,0,,
7352,81,7353,0,7354,1512000,7356,0,7355,1069836,7358,0,7358,0,7359,0,7365,40,7366,320000,7372,88,7368,83,7372,1512000,7326,937,Tpacf::RenderScript::IO::Start,
7452,90,7454,0,7455,1512000,7456,0,7456,1070636,7457,0,7458,0,7459,0,7462,45,7463,320000,7466,88,7465,90,7467,1512000,7357,937,Tpacf::RenderScript::IO::Start,
7553,100,7554,0,7554,1512000,7560,0,7559,1070884,7561,0,7562,0,7567,0,7588,40,7589,320000,7592,69,7591,84,7593,1512000,7370,938,Tpacf::RenderScript::IO::Stop,
7652,70,7653,0,7654,1512000,7655,0,7654,1071132,7656,0,7656,0,7657,0,7677,38,7677,200000,7680,88,7679,75,7681,1512000,7381,498,Tpacf::RenderScript::Allocate::Start,
7754,100,7754,0,7755,1512000,7757,0,7756,1071256,7761,0,7762,0,7763,0,7771,41,7772,128000,7776,63,7774,81,7777,1026000,7392,499,Tpacf::RenderScript::Allocate::Stop,
7854,100,7855,0,7856,1512000,7866,0,7865,1071380,7869,0,7870,0,7871,0,7904,34,7905,128000,7910,60,7907,81,7911,1512000,7394,498,Tpacf::RenderScript::Allocate::Start,
7956,100,7957,0,7957,1512000,7962,0,7958,1071380,7962,0,7963,0,7964,0,7979,42,7981,128000,7991,66,7989,82,8004,1512000,7399,499,Tpacf::RenderScript::Allocate::Stop,
8057,100,8057,0,8058,1512000,8060,0,8059,1071380,8061,0,8063,0,8064,0,8069,44,8070,128000,8073,71,8072,88,8074,1512000,7401,498,Tpacf::RenderScript::Allocate::Start,
8157,100,8158,0,8158,1512000,8167,0,8166,1071256,8169,0,8170,0,8172,0,8190,37,8190,128000,8195,54,8194,78,8197,1512000,7404,499,Tpacf::RenderScript::Allocate::Stop,
8257,100,8258,0,8259,1512000,8260,0,8260,1071380,8261,0,8262,0,8263,4,8280,40,8282,128000,8292,66,8288,82,8293,1512000,7415,937,Tpacf::RenderScript::IO::Start,
8358,100,8358,0,8359,1512000,8360,0,8360,1071380,8362,0,8363,0,8364,4,8369,40,8370,128000,8373,50,8371,77,8373,1512000,7457,937,Tpacf::RenderScript::IO::Start,
8459,90,8459,0,8460,1512000,8470,0,8469,1071504,8472,0,8476,0,8477,4,8495,37,8496,128000,8502,63,8500,78,8502,1512000,7561,937,Tpacf::RenderScript::IO::Start,
8559,100,8560,1026000,8561,1512000,8563,0,8562,1071628,8566,60,8567,0,8568,4,8574,40,8574,128000,8591,60,8576,0,8592,1512000,7655,937,Tpacf::RenderScript::IO::Start,
8659,100,8660,1512000,8661,1512000,8663,0,8662,1071628,8666,40,8667,0,8667,4,8672,46,8672,128000,8678,50,8676,62,8679,1512000,7759,937,Tpacf::RenderScript::IO::Start,
8760,100,8761,1512000,8761,1512000,8763,0,8762,1071876,8766,40,8767,0,8767,4,8772,45,8772,128000,8778,30,8774,62,8779,1512000,7866,937,Tpacf::RenderScript::IO::Start,
8861,100,8862,1512000,8862,1512000,8864,0,8863,1071876,8866,40,8867,0,8867,4,8872,42,8872,128000,8877,44,8874,55,8877,1512000,7962,937,Tpacf::RenderScript::IO::Start,
8961,100,8962,1512000,8963,1512000,8964,0,8964,1072000,8966,25,8967,0,8967,4,8972,45,8972,128000,8977,45,8974,62,8977,1512000,8060,937,Tpacf::RenderScript::IO::Start,
9061,100,9062,1512000,9063,1512000,9064,0,9063,1072000,9066,45,9066,0,9067,4,9072,50,9072,128000,9076,50,9074,66,9077,1512000,8167,937,Tpacf::RenderScript::IO::Start,
9163,100,9164,1512000,9165,1512000,9166,0,9165,1072000,9168,30,9168,0,9169,4,9173,43,9174,128000,9181,63,9176,58,9182,1512000,8261,937,Tpacf::RenderScript::IO::Start,
9262,100,9263,1512000,9264,1512000,9265,0,9265,1072124,9267,33,9268,0,9268,1,9272,47,9273,128000,9278,40,9275,63,9279,1512000,8361,937,Tpacf::RenderScript::IO::Start,
9364,100,9365,1026000,9366,1512000,9367,0,9366,1072124,9370,58,9370,0,9371,1,9378,45,9378,128000,9384,40,9380,64,9385,1026000,8471,937,Tpacf::RenderScript::IO::Start,
9464,100,9465,1512000,9466,1512000,9467,0,9466,1072280,9469,30,9469,0,9470,1,9474,43,9475,128000,9481,55,9477,57,9482,1512000,8563,937,Tpacf::RenderScript::IO::Start,
9565,90,9566,0,9567,1512000,9568,0,9567,1071304,9570,0,9570,0,9571,1,9577,37,9578,128000,9582,60,9580,0,9583,1512000,8663,937,Tpacf::RenderScript::IO::Start,
9666,100,9667,0,9669,1512000,9687,0,9680,1071428,9690,0,9690,0,9691,1,9720,34,9721,128000,9731,58,9729,80,9733,1026000,8763,937,Tpacf::RenderScript::IO::Start,
9767,100,9768,0,9769,1512000,9771,0,9770,1071428,9773,0,9774,0,9779,1,9797,40,9798,128000,9803,85,9802,93,9806,1512000,8864,937,Tpacf::RenderScript::IO::Start,
