App,Package,Start Time,Duration,Filename
"System",,"Apr 30, 2014 @ 05:27:14 PM","6 min 16 sec",""

Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"GPU3D Load [%]",Time  [ms],"CPU Load - Normalized [%]",Time  [ms],"GPU3D Frequency [kHz]",Time  [ms],"CPU0 Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU0 Frequency [kHz]",Time  [ms],"Application State",Description,
0,56,2,0,3,1512000,4,0,3,1385964,5,0,6,0,7,0,13,0,15,320000,36,15,28,9,37,1512000,4,0,,
160,58,161,0,162,1512000,165,0,162,1387020,167,0,169,0,171,0,189,0,190,320000,195,83,193,75,197,1512000,166,0,,
265,80,267,0,269,1026000,274,0,272,1407752,276,0,277,0,279,0,296,31,299,320000,318,75,315,66,320,1512000,275,0,,
367,33,368,0,369,1512000,371,0,370,1397652,372,0,373,0,373,0,378,22,379,320000,383,50,381,46,384,1512000,371,0,,
468,22,469,0,470,1026000,472,0,471,1397836,473,0,474,0,475,0,492,8,493,320000,505,27,499,28,507,1026000,472,0,,
568,54,570,0,572,1026000,576,0,574,1397836,578,0,579,0,581,0,597,16,598,320000,614,50,603,50,617,1026000,577,0,,
670,54,671,0,673,1026000,676,0,674,1397836,678,0,679,0,680,0,687,17,688,320000,693,14,691,41,695,1026000,676,0,,
772,50,774,0,775,1026000,779,0,777,1397836,782,0,783,0,784,0,800,14,802,320000,810,54,806,47,813,1026000,781,0,,
871,44,872,0,874,1026000,877,0,875,1397836,878,0,880,0,881,0,891,12,892,320000,913,14,896,31,914,1026000,877,0,,
972,60,974,0,975,1026000,978,0,977,1397836,980,0,981,0,982,0,991,15,992,320000,1002,40,999,50,1004,1026000,979,0,,
1076,50,1077,0,1079,1026000,1082,0,1081,1397836,1083,0,1084,0,1085,0,1102,16,1103,320000,1110,54,1107,50,1111,1026000,1082,0,,
1175,33,1176,0,1178,1026000,1181,0,1179,1397836,1182,0,1183,0,1184,0,1194,13,1195,320000,1215,44,1199,29,1217,1512000,1181,0,,
1275,33,1276,0,1277,1512000,1279,0,1279,1397836,1281,0,1281,0,1282,0,1288,17,1288,320000,1293,44,1291,42,1294,1512000,1280,0,,
1378,0,1378,0,1379,1512000,1380,0,1380,1397836,1381,0,1382,0,1383,0,1397,8,1398,320000,1403,30,1401,23,1404,1512000,1381,0,,
1480,20,1481,0,1483,1026000,1485,0,1484,1397836,1486,0,1487,0,1489,0,1498,12,1499,320000,1505,44,1502,29,1506,1026000,1486,0,,
1579,45,1580,0,1582,1026000,1584,0,1583,1397836,1585,0,1586,0,1588,0,1595,16,1596,320000,1601,30,1599,42,1602,1026000,1584,0,,
1681,40,1682,0,1683,1026000,1686,0,1685,1397836,1688,0,1689,0,1691,0,1708,11,1710,320000,1716,40,1713,38,1718,1026000,1687,0,,
1781,33,1782,0,1784,1026000,1786,0,1785,1397960,1788,0,1789,0,1790,0,1799,12,1801,320000,1807,50,1804,38,1808,1026000,1787,0,,
