App,Package,Start Time,Duration,Filename
"System",,"May 4, 2014 @ 01:48:49 AM","10 min 49 sec",""

Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"GPU3D Load [%]",Time  [ms],"CPU Load - Normalized [%]",Time  [ms],"GPU3D Frequency [kHz]",Time  [ms],"CPU0 Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU0 Frequency [kHz]",Time  [ms],"Application State",Description,
0,59,0,0,4,1512000,8,0,6,1288832,9,0,9,0,11,0,19,0,20,320000,24,45,22,28,25,1512000,8,0,,
106,88,107,0,108,1512000,109,0,109,1289624,110,0,115,0,116,0,124,39,125,320000,133,75,127,75,134,1512000,110,0,,
208,53,208,0,209,1134000,211,0,210,1307640,212,0,213,0,214,0,218,27,219,320000,223,57,221,57,224,1134000,212,0,,
308,11,309,0,310,1026000,313,0,312,1307640,315,0,316,0,317,0,330,5,331,320000,341,33,334,23,342,1026000,314,0,,
409,88,410,0,412,1026000,414,0,413,1307752,416,0,417,0,418,0,425,22,427,320000,432,44,429,57,433,1026000,415,0,,
510,20,512,0,513,1026000,515,0,514,1307628,517,0,518,0,519,0,529,9,530,320000,536,33,533,33,537,1026000,516,0,,
610,63,611,0,613,1026000,615,0,614,1307752,617,0,618,0,619,0,628,13,629,320000,634,0,632,43,635,1026000,615,0,,
711,33,712,0,713,1026000,716,0,715,1307752,717,0,718,0,719,0,731,7,732,320000,776,46,734,25,777,1026000,716,0,,
811,40,813,0,814,1026000,817,0,816,1307876,818,0,821,0,822,0,829,19,830,320000,835,42,833,55,836,1026000,817,0,,
912,22,914,0,915,1026000,917,0,916,1307752,919,0,921,0,922,0,932,7,933,320000,973,25,935,26,975,1026000,918,0,,
1021,72,1022,0,1024,1026000,1026,0,1025,1307876,1027,0,1028,0,1029,0,1035,21,1036,320000,1040,50,1038,55,1041,1026000,1026,0,,
1121,36,1122,0,1123,1026000,1125,0,1124,1307752,1127,0,1128,0,1129,0,1137,8,1138,320000,1189,46,1187,37,1190,1026000,1126,0,,
1221,40,1223,0,1224,1026000,1226,0,1225,1307752,1227,0,1228,0,1229,0,1235,18,1236,320000,1240,20,1238,44,1241,1026000,1227,0,,
1321,30,1323,0,1324,1026000,1327,0,1325,1307752,1328,0,1329,0,1330,0,1390,10,1391,320000,1396,40,1393,45,1397,1512000,1327,0,,
1420,80,1421,0,1422,1512000,1427,0,1426,1308604,1429,0,1429,0,1432,0,1441,32,1442,320000,1445,100,1444,81,1446,1512000,1428,0,,
1521,33,1522,0,1522,1512000,1524,0,1523,1309624,1525,0,1525,0,1529,0,1570,33,1571,320000,1575,100,1573,76,1575,1512000,1524,0,,
1621,55,1622,0,1623,1512000,1624,0,1623,1309608,1625,0,1626,0,1626,0,1633,37,1633,320000,1636,100,1635,63,1637,1512000,1624,0,,
1722,70,1722,0,1723,1512000,1724,0,1724,1308988,1725,0,1725,0,1726,0,1762,34,1763,320000,1769,66,1764,72,1770,1512000,1724,0,,
1823,100,1824,0,1825,1512000,1827,0,1826,1307748,1829,0,1831,0,1837,0,1854,50,1855,320000,1859,100,1857,0,1859,1512000,1827,0,,
1925,50,1926,1512000,1928,1512000,1930,1512000,1929,1311612,1933,74,1934,96,1954,0,1959,30,1960,400000,1963,54,1962,43,1964,1512000,1931,0,,
2025,37,2026,1026000,2027,1134000,2028,1134000,2027,1311736,2031,30,2033,11,2033,0,2072,18,2073,400000,2078,27,2075,26,2079,1134000,2029,0,,
2125,54,2126,1134000,2127,1134000,2129,1134000,2128,1323944,2131,30,2133,22,2133,0,2142,21,2143,400000,2147,33,2145,0,2148,1134000,2129,0,,
2232,60,2233,1134000,2234,1134000,2235,0,2234,1313236,2237,33,2237,0,2238,0,2244,22,2244,400000,2248,25,2246,37,2249,1134000,2235,0,,
2332,22,2333,1512000,2334,1512000,2335,0,2334,1313228,2336,10,2337,0,2340,0,2371,4,2372,400000,2375,8,2373,19,2376,1512000,2335,0,,
2433,10,2434,1134000,2435,1512000,2437,0,2436,1313412,2439,30,2441,0,2442,0,2446,5,2447,400000,2452,0,2449,0,2453,1026000,2437,0,,
