App,Package,Start Time,Duration,Filename
"System",,"May 3, 2014 @ 01:25:39 PM","2 min 9 sec",""

Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"GPU3D Load [%]",Time  [ms],"CPU Load - Normalized [%]",Time  [ms],"GPU3D Frequency [kHz]",Time  [ms],"CPU0 Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU0 Frequency [kHz]",Time  [ms],"Application State",Description,
0,38,0,0,1,1958400,1,0,2,0,2,0,2,0,3,0,3,320000,12,24,11,28,13,1958400,1,0,,
100,66,101,0,102,1497600,102,0,103,0,103,0,103,0,111,0,111,320000,114,63,112,68,114,1497600,102,0,,
201,60,201,0,202,1267200,203,0,203,0,204,0,204,0,208,12,208,320000,211,25,210,38,211,1267200,203,0,,
301,27,302,0,302,1267200,303,0,304,0,304,0,305,0,308,7,309,320000,312,25,310,26,312,1267200,303,0,,
402,11,402,0,403,1267200,404,0,404,0,405,0,406,0,410,5,410,320000,413,22,411,16,413,1267200,404,0,,
502,0,503,0,509,1267200,510,0,510,0,511,0,511,0,529,5,530,320000,533,41,532,27,534,1267200,510,0,,
602,12,603,0,604,1267200,604,0,605,0,606,0,606,0,611,7,613,320000,616,42,614,23,617,1267200,605,0,,
702,11,703,0,704,1267200,704,0,705,0,706,0,706,0,710,4,711,320000,715,22,712,17,716,1267200,705,0,,
803,33,803,0,804,1267200,805,0,806,0,806,0,807,0,811,9,811,320000,814,33,812,33,814,1267200,805,0,,
903,12,904,0,905,1267200,905,0,906,0,907,0,907,0,911,6,912,320000,914,22,913,21,915,1267200,906,0,,
1005,22,1006,0,1007,1267200,1008,0,1008,0,1009,0,1009,0,1033,5,1033,320000,1037,18,1035,23,1038,1267200,1008,0,,
1105,33,1106,0,1107,1267200,1107,0,1108,0,1108,0,1109,0,1113,5,1113,320000,1119,28,1114,16,1119,1267200,1107,0,,
1206,37,1207,0,1208,1267200,1208,0,1209,0,1209,0,1210,0,1213,10,1214,320000,1216,22,1215,38,1217,1267200,1208,0,,
1306,54,1307,0,1307,1958400,1308,0,1308,0,1309,0,1309,0,1312,9,1312,320000,1314,14,1313,33,1315,1958400,1308,0,,
1407,0,1408,0,1408,1958400,1409,0,1409,0,1410,0,1410,0,1414,2,1414,320000,1416,20,1415,5,1417,1267200,1409,0,,
1508,11,1508,0,1509,1958400,1509,0,1510,0,1510,0,1511,0,1518,8,1518,320000,1528,20,1527,28,1528,1958400,1510,0,,
1607,33,1608,0,1608,1958400,1609,0,1610,0,1610,0,1610,0,1613,6,1613,320000,1615,0,1614,6,1616,1958400,1609,0,,
1708,0,1708,0,1709,1267200,1710,0,1710,0,1711,0,1711,0,1714,0,1715,320000,1717,0,1716,0,1718,1958400,1710,0,,
1812,22,1813,0,1813,1267200,1814,0,1815,0,1815,0,1816,0,1831,7,1831,320000,1834,20,1833,27,1835,1267200,1814,0,,
1909,50,1909,0,1910,1267200,1911,0,1912,0,1912,0,1913,0,1917,7,1918,320000,1920,16,1919,33,1921,1267200,1911,0,,
2011,33,2011,0,2012,1267200,2012,0,2013,0,2014,0,2014,0,2018,9,2020,320000,2038,55,2021,38,2039,1267200,2013,0,,
2116,90,2117,0,2118,1267200,2118,0,2119,0,2120,0,2121,0,2125,25,2125,320000,2128,88,2127,90,2129,1958400,2119,0,,
2217,81,2217,1958400,2218,1958400,2218,0,2219,40,2220,0,2220,0,2224,28,2224,320000,2226,55,2225,42,2227,1958400,2219,0,,
2317,90,2318,1958400,2318,1958400,2319,0,2320,27,2320,0,2320,0,2323,32,2324,320000,2326,25,2325,50,2327,1497600,2319,0,,
2418,100,2422,1958400,2424,1958400,2424,0,2429,10,2430,0,2430,0,2434,32,2435,320000,2444,46,2437,50,2445,1958400,2424,0,,
2518,50,2518,1958400,2519,1958400,2521,0,2523,44,2524,0,2524,0,2528,36,2528,320000,2530,77,2529,64,2530,1958400,2522,0,,
2618,60,2619,1958400,2619,1958400,2620,0,2621,55,2621,0,2621,0,2625,40,2625,320000,2628,66,2627,57,2629,1958400,2620,0,,
2718,33,2719,960000,2719,1958400,2720,0,2721,30,2721,0,2722,0,2729,15,2729,320000,2731,10,2730,25,2732,1958400,2720,0,,
2819,50,2819,0,2820,1958400,2820,0,2821,0,2821,0,2821,0,2825,21,2826,320000,2828,77,2827,58,2829,1958400,2820,0,,
2921,77,2921,0,2922,1497600,2922,0,2923,0,2926,0,2927,0,2930,23,2930,320000,2933,61,2932,68,2934,1958400,2923,0,,
3021,63,3021,0,3022,1958400,3022,0,3023,0,3023,0,3024,0,3026,29,3027,320000,3028,80,3027,71,3029,1958400,3022,0,,
3121,30,3122,0,3122,1958400,3122,0,3123,0,3123,0,3124,0,3127,27,3128,320000,3130,100,3129,63,3130,1958400,3123,0,,
3221,44,3222,0,3222,1958400,3223,0,3223,0,3224,0,3224,0,3227,24,3227,320000,3229,70,3228,60,3230,1958400,3223,0,,
3327,60,3327,0,3328,1958400,3328,0,3329,0,3329,0,3330,0,3332,23,3333,320000,3376,66,3360,52,3395,1958400,3328,0,,
3430,100,3430,0,3431,1958400,3434,0,3434,0,3435,0,3435,0,3462,43,3463,320000,3464,100,3463,87,3465,1958400,3434,0,,
3531,80,3531,1958400,3532,1497600,3533,960000,3535,43,3536,41,3537,0,3543,39,3544,320000,3547,0,3545,41,3548,960000,3533,0,,
3630,60,3631,1958400,3631,1958400,3632,1958400,3633,0,3634,20,3637,0,3663,19,3663,320000,3666,20,3665,31,3667,1958400,3632,0,,
3731,54,3732,960000,3733,1958400,3734,1958400,3735,55,3737,30,3738,0,3743,13,3743,320000,3746,16,3745,32,3746,1497600,3734,0,,
3831,55,3832,0,3832,1958400,3832,0,3833,0,3833,0,3834,0,3838,24,3846,320000,3863,75,3847,71,3864,1958400,3833,0,,
3932,100,3933,1958400,3934,1958400,3934,0,3937,100,3938,0,3939,0,3943,43,3943,320000,3946,87,3944,95,3951,1958400,3934,0,,
4033,75,4033,1958400,4034,1958400,4034,1958400,4036,70,4037,90,4037,0,4059,65,4060,320000,4064,88,4063,80,4064,1958400,4035,0,,
4133,70,4134,1958400,4134,1958400,4135,1958400,4136,71,4137,66,4138,0,4150,63,4151,320000,4154,71,4152,73,4155,1958400,4135,0,,
4234,66,4234,1497600,4235,1958400,4236,1958400,4238,72,4239,55,4239,0,4261,54,4261,320000,4264,72,4262,64,4264,1958400,4236,0,,
4335,33,4335,1958400,4336,960000,4337,960000,4338,60,4339,50,4339,0,4343,46,4344,320000,4346,57,4345,46,4346,1958400,4337,0,,
4436,57,4437,1958400,4438,1958400,4438,1958400,4440,54,4444,50,4445,0,4464,40,4464,320000,4467,50,4466,53,4468,1958400,4438,0,,
4536,55,4537,1958400,4537,1190400,4538,1958400,4540,72,4540,44,4541,0,4546,57,4547,320000,4549,100,4548,69,4549,1958400,4539,0,,
4637,81,4638,1497600,4639,1958400,4639,1958400,4641,60,4642,62,4642,0,4656,51,4656,320000,4660,54,4659,62,4660,1958400,4640,0,,
4737,80,4738,1958400,4738,1958400,4739,1728000,4740,100,4741,54,4742,0,4747,61,4747,320000,4751,57,4750,75,4751,1958400,4739,0,,
4838,80,4839,1958400,4839,1958400,4840,1958400,4841,100,4842,80,4842,0,4847,69,4848,320000,4850,66,4849,80,4851,1958400,4840,0,,
4939,80,4940,1958400,4941,1958400,4942,1958400,4943,100,4945,90,4945,0,4966,80,4967,320000,4969,83,4968,91,4969,1958400,4942,0,,
5041,77,5041,1958400,5042,1958400,5042,1958400,5044,90,5045,80,5046,0,5050,72,5052,320000,5058,100,5053,81,5059,1958400,5042,0,,
5142,80,5143,1958400,5144,1958400,5144,1958400,5146,60,5147,91,5148,0,5174,60,5174,320000,5179,63,5175,76,5180,1958400,5145,0,,
5245,90,5245,1958400,5246,1958400,5246,1958400,5248,70,5249,75,5249,0,5254,67,5254,320000,5259,71,5258,77,5260,1958400,5247,0,,
5345,66,5346,1958400,5347,1958400,5347,1190400,5349,44,5350,37,5351,0,5370,45,5371,200000,5373,58,5372,52,5373,1958400,5347,0,,
5445,70,5446,1958400,5446,1958400,5447,1958400,5448,40,5450,30,5450,0,5454,38,5455,200000,5457,62,5456,41,5457,1958400,5447,0,,
5546,44,5547,1190400,5548,1497600,5549,0,5557,40,5558,0,5559,0,5584,32,5585,200000,5589,69,5586,61,5590,1497600,5550,0,,
5648,90,5648,1958400,5649,1958400,5649,0,5651,88,5651,0,5652,0,5656,45,5657,200000,5659,60,5658,85,5659,1958400,5649,0,,
5748,63,5749,1958400,5749,1958400,5750,0,5751,80,5751,0,5752,0,5769,44,5769,200000,5771,70,5770,69,5771,1958400,5750,0,,
5847,63,5848,1958400,5848,1958400,5849,0,5851,50,5851,0,5852,0,5857,33,5858,320000,5861,40,5859,50,5861,960000,5849,0,,
5947,50,5948,1574400,5949,1574400,5949,0,5951,11,5952,0,5952,0,5959,17,5959,320000,5962,66,5961,37,5963,960000,5950,0,,
6047,20,6048,0,6048,1958400,6049,0,6049,0,6049,0,6050,0,6052,20,6052,320000,6054,90,6053,50,6054,1958400,6049,0,,
6147,55,6148,0,6148,1958400,6158,0,6159,0,6161,0,6161,0,6165,23,6165,320000,6168,58,6167,63,6168,1958400,6158,0,,
6248,100,6248,0,6249,1958400,6249,0,6250,0,6250,0,6250,0,6258,33,6258,320000,6271,60,6270,77,6271,1958400,6249,0,,
6348,90,6349,0,6349,1958400,6349,0,6350,0,6350,0,6351,0,6353,28,6354,320000,6355,42,6354,70,6356,1958400,6350,0,,
