App,Package,Start Time,Duration,Filename
"System",,"May 3, 2014 @ 10:03:47 AM","1 min 49 sec",""

Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"GPU3D Load [%]",Time  [ms],"CPU Load - Normalized [%]",Time  [ms],"GPU3D Frequency [kHz]",Time  [ms],"CPU0 Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU0 Frequency [kHz]",Time  [ms],"Application State",Description,
0,12,1,0,2,1512000,8,0,3,1289560,9,0,10,0,11,0,15,0,16,320000,19,8,18,4,26,1512000,9,0,:: :: :: ::,
111,91,113,1512000,113,1512000,115,0,114,1290392,119,51,120,0,120,0,125,45,126,320000,133,91,127,0,134,1512000,117,0,:: :: :: ::,
212,45,214,1026000,215,1512000,216,0,215,1308444,218,55,219,0,220,0,227,45,227,320000,231,100,229,63,232,1512000,217,0,:: :: :: ::,
313,40,314,1512000,315,1512000,316,0,315,1299216,318,100,319,0,319,0,324,46,325,320000,329,54,326,67,330,1512000,316,0,:: :: :: ::,
414,50,415,0,416,1512000,418,0,417,1299572,419,0,419,0,420,0,424,20,424,320000,428,25,426,0,428,1512000,418,0,:: :: :: ::,
517,40,518,0,519,1512000,520,0,519,1299076,521,0,521,0,522,0,536,21,537,320000,540,45,538,40,541,1512000,520,0,:: :: :: ::,
616,11,617,0,618,1134000,620,0,619,1299076,621,0,621,0,622,0,628,11,629,320000,633,45,631,26,634,1134000,620,0,:: :: :: ::,
717,41,718,0,719,1134000,721,0,720,1299076,722,0,723,0,724,0,728,12,729,320000,733,30,731,33,733,1134000,722,0,:: :: :: ::,
819,30,820,0,821,1026000,823,0,822,1299316,824,0,824,0,825,0,845,12,846,320000,851,30,849,41,853,1026000,823,0,:: :: :: ::,
919,40,920,0,922,1026000,924,0,923,1299168,925,0,926,0,927,0,934,11,935,320000,940,28,938,26,942,1026000,925,0,:: :: :: ::,
1020,54,1021,0,1022,1026000,1024,0,1023,1299044,1025,0,1026,0,1027,0,1032,18,1033,320000,1038,60,1035,55,1039,1026000,1025,0,:: :: :: ::,
1122,20,1124,0,1125,1026000,1127,0,1126,1299044,1128,0,1129,0,1129,0,1151,9,1152,320000,1157,33,1155,33,1159,1026000,1127,0,:: :: :: ::,
1223,25,1224,0,1226,1026000,1228,0,1227,1299044,1229,0,1230,0,1231,0,1239,11,1240,320000,1245,50,1243,33,1246,1026000,1228,0,:: :: :: ::,
1322,40,1323,0,1324,1026000,1327,0,1326,1299044,1328,0,1329,0,1330,0,1336,11,1337,320000,1341,0,1339,29,1342,1026000,1327,0,:: :: :: ::,
1425,41,1426,0,1427,1026000,1429,0,1428,1299044,1430,0,1431,0,1432,0,1453,9,1455,320000,1459,30,1457,34,1461,1026000,1429,0,:: :: :: ::,
1523,33,1524,0,1525,1026000,1528,0,1527,1299044,1530,0,1530,0,1531,0,1540,10,1541,320000,1546,44,1544,33,1547,1026000,1529,0,:: :: :: ::,
1624,40,1625,0,1626,1026000,1629,0,1628,1299044,1630,0,1631,0,1632,0,1637,15,1638,320000,1642,44,1640,38,1643,1026000,1629,0,:: :: :: ::,
1727,25,1728,0,1729,1026000,1735,0,1731,1298920,1737,0,1737,0,1738,0,1758,11,1759,320000,1763,45,1761,43,1764,1512000,1736,0,:: :: :: ::,
1823,60,1824,0,1825,1512000,1826,0,1825,1300192,1827,0,1827,0,1828,0,1833,36,1834,320000,1837,85,1835,68,1843,1512000,1826,0,:: :: :: ::,
1924,55,1925,0,1925,1512000,1927,0,1926,1301200,1928,0,1928,0,1929,0,1933,37,1933,320000,1936,100,1935,75,1937,1512000,1927,0,:: :: :: ::,
2025,60,2026,0,2028,1512000,2029,0,2029,1300160,2030,0,2031,0,2031,0,2046,30,2046,320000,2050,54,2049,61,2051,1512000,2030,0,:: :: :: ::,
2125,70,2126,0,2127,1512000,2128,0,2128,1300160,2129,0,2130,0,2130,0,2135,34,2136,320000,2139,66,2138,66,2140,1512000,2128,0,:: :: :: ::,
2225,100,2226,1512000,2227,1512000,2230,0,2229,1300656,2232,100,2232,0,2233,0,2238,47,2238,320000,2243,90,2240,0,2244,1512000,2230,0,:: :: :: ::,
2326,54,2327,1512000,2328,1512000,2329,0,2328,1300656,2331,45,2332,0,2332,0,2338,51,2339,320000,2346,100,2341,65,2347,1512000,2329,0,:: :: :: ::,
2427,66,2427,1512000,2428,1512000,2430,0,2429,1302896,2432,58,2433,0,2433,0,2438,47,2439,320000,2443,64,2440,63,2444,1512000,2430,0,:: :: :: ::,
2527,40,2528,1512000,2528,1512000,2530,0,2529,1293808,2536,20,2536,0,2537,0,2541,20,2543,320000,2548,30,2545,31,2549,1512000,2530,0,:: :: :: ::,
2628,25,2629,1512000,2629,1512000,2632,0,2630,1310660,2638,50,2640,0,2643,0,2649,24,2650,320000,2655,12,2652,37,2656,1512000,2633,0,:: :: :: ::,
2728,40,2729,1512000,2729,1512000,2731,0,2730,1305084,2732,55,2733,0,2733,0,2738,28,2738,400000,2743,44,2740,33,2745,1512000,2731,0,:: :: :: ::,
2829,0,2829,1512000,2830,1512000,2831,0,2830,1305208,2833,22,2833,0,2834,0,2838,12,2839,400000,2846,33,2840,18,2847,1512000,2831,0,:: :: :: ::,
2930,12,2931,0,2932,1026000,2933,0,2933,1304676,2935,0,2936,0,2936,0,2943,7,2944,400000,2948,20,2946,0,2949,1026000,2934,0,:: :: :: ::,
