App,Package,Start Time,Duration,Filename
"System",,"May 3, 2014 @ 01:29:21 PM","8 min 20 sec",""

Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"GPU3D Load [%]",Time  [ms],"CPU Load - Normalized [%]",Time  [ms],"GPU3D Frequency [kHz]",Time  [ms],"CPU0 Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU0 Frequency [kHz]",Time  [ms],"Application State",Description,
0,28,2,0,3,1958400,3,0,4,0,4,0,5,0,23,2,23,320000,41,24,38,24,43,1958400,3,0,,
103,81,104,960000,104,1958400,105,0,106,18,106,0,107,0,113,27,114,320000,116,37,115,47,116,1958400,105,0,,
203,20,204,960000,204,1958400,205,0,206,33,207,0,207,0,212,17,212,320000,214,33,213,28,214,1267200,205,0,,
304,11,304,960000,305,1958400,306,0,307,22,308,0,309,0,315,11,316,320000,319,27,317,20,320,1267200,306,0,,
404,22,404,0,405,1267200,406,0,407,0,407,0,408,0,414,7,415,320000,418,25,417,24,420,1267200,406,0,,
504,0,505,0,506,1267200,506,0,507,0,507,0,508,0,515,4,516,320000,519,22,518,17,520,1267200,506,0,,
604,37,605,0,606,1267200,606,0,607,0,608,0,608,0,612,9,613,320000,617,40,615,36,620,1267200,607,0,,
705,36,706,0,706,1267200,707,0,708,0,708,0,711,0,715,11,715,320000,718,33,716,31,718,1267200,707,0,,
805,11,806,0,807,1267200,807,0,808,0,811,0,812,0,817,4,817,320000,820,25,819,17,820,1267200,808,0,,
911,0,912,0,912,1267200,913,0,914,0,914,0,915,0,932,3,933,320000,936,27,934,28,937,1267200,913,0,,
1006,37,1007,0,1008,1267200,1008,0,1009,0,1010,0,1010,0,1015,12,1016,320000,1019,37,1018,28,1020,1267200,1009,0,,
1107,12,1107,0,1108,1267200,1109,0,1110,0,1110,0,1111,0,1117,5,1118,320000,1120,30,1119,22,1121,1267200,1109,0,,
1207,33,1208,0,1209,1267200,1209,0,1210,0,1211,0,1211,0,1216,9,1217,320000,1220,30,1218,31,1220,1267200,1210,0,,
1307,22,1308,0,1309,1267200,1309,0,1310,0,1310,0,1311,0,1316,4,1316,320000,1319,12,1318,17,1320,1267200,1310,0,,
1413,12,1413,0,1415,1267200,1417,0,1418,0,1419,0,1421,0,1450,4,1452,320000,1456,33,1454,33,1457,1267200,1417,0,,
1509,45,1510,0,1512,1267200,1518,0,1519,0,1520,0,1521,0,1532,14,1534,320000,1542,57,1540,43,1543,1267200,1518,0,,
1608,33,1609,0,1610,1267200,1611,0,1612,0,1613,0,1613,0,1632,12,1633,320000,1634,62,1634,52,1635,1958400,1612,0,,
1708,75,1710,0,1711,1958400,1712,0,1713,0,1713,0,1713,0,1716,35,1719,320000,1724,87,1720,78,1725,1958400,1712,0,,
1810,45,1811,0,1812,1958400,1812,0,1813,0,1813,0,1814,0,1818,31,1819,320000,1821,100,1820,71,1822,1958400,1812,0,,
1923,57,1923,0,1924,1958400,1924,0,1925,0,1926,0,1926,0,1938,30,1939,320000,1945,92,1944,75,1945,1958400,1924,0,,
2009,62,2010,0,2010,1958400,2011,0,2012,0,2013,0,2013,0,2018,33,2019,320000,2025,87,2020,71,2028,1958400,2012,0,,
2109,66,2110,0,2110,1958400,2111,0,2112,0,2112,0,2112,0,2115,27,2115,320000,2121,55,2116,63,2122,1958400,2111,0,,
2210,40,2210,0,2211,1958400,2211,0,2212,0,2212,0,2213,0,2216,26,2217,320000,2219,88,2218,57,2219,1958400,2212,0,,
2310,10,2311,0,2311,1958400,2312,0,2312,0,2313,0,2313,0,2316,6,2317,320000,2321,12,2320,16,2322,1958400,2312,0,,
2412,72,2412,0,2413,1574400,2421,0,2422,0,2423,0,2424,0,2439,26,2439,320000,2443,64,2442,65,2444,1958400,2422,0,,
2512,81,2513,1958400,2514,1958400,2514,0,2516,30,2516,0,2517,0,2520,35,2520,320000,2522,85,2521,82,2524,1958400,2515,0,,
2613,20,2614,1958400,2615,1267200,2615,0,2617,66,2617,0,2618,0,2647,25,2648,320000,2650,46,2649,48,2650,1958400,2616,0,,
2713,37,2713,1497600,2714,1958400,2714,0,2715,10,2716,0,2716,0,2719,28,2719,320000,2723,100,2720,36,2724,1958400,2714,0,,
2814,12,2814,1958400,2815,1267200,2815,0,2816,20,2817,0,2817,0,2824,23,2824,320000,2842,63,2840,41,2843,1958400,2815,0,,
2914,87,2915,960000,2915,1958400,2916,0,2919,40,2919,0,2920,0,2925,24,2926,320000,2928,12,2927,41,2929,1958400,2916,0,,
3014,63,3014,1958400,3015,1958400,3015,0,3016,20,3017,0,3017,0,3022,19,3022,320000,3024,0,3023,33,3025,1958400,3016,0,,
3125,60,3125,0,3126,1497600,3127,0,3127,0,3128,0,3129,0,3133,20,3134,320000,3136,54,3135,46,3137,1497600,3127,0,,
3216,100,3216,1958400,3217,1958400,3218,1958400,3225,40,3226,8,3226,0,3246,39,3252,320000,3254,100,3253,100,3255,1958400,3219,0,,
3316,66,3317,1958400,3317,1958400,3318,1958400,3319,88,3320,88,3320,0,3326,65,3327,320000,3329,85,3328,75,3330,1958400,3318,0,,
3416,72,3417,1728000,3417,1958400,3418,1958400,3419,63,3420,90,3421,0,3439,62,3440,320000,3441,70,3441,75,3442,1958400,3418,0,,
3520,55,3521,1958400,3521,1958400,3522,1958400,3523,90,3525,60,3529,0,3533,58,3533,320000,3535,66,3534,69,3536,1958400,3522,0,,
3618,75,3619,1958400,3619,1958400,3620,1958400,3621,70,3622,50,3623,0,3636,51,3636,320000,3638,50,3637,62,3639,1958400,3620,0,,
3720,90,3721,1958400,3721,1958400,3722,1958400,3723,70,3725,50,3725,0,3731,62,3732,320000,3735,100,3733,77,3736,1958400,3722,0,,
3818,80,3818,1497600,3819,1958400,3820,1958400,3822,60,3824,58,3825,0,3829,59,3829,320000,3831,75,3830,65,3832,1958400,3820,0,,
3918,25,3919,1958400,3919,1958400,3920,1958400,3921,63,3922,75,3922,0,3941,37,3942,320000,3944,36,3943,52,3944,1958400,3920,0,,
4026,100,4027,1958400,4027,1958400,4028,1958400,4030,80,4032,91,4032,0,4038,81,4039,320000,4045,100,4040,97,4046,1958400,4028,0,,
4127,90,4128,1958400,4128,1958400,4129,1958400,4131,100,4133,90,4134,0,4154,82,4155,320000,4157,84,4156,92,4158,1958400,4130,0,,
4228,100,4228,1958400,4229,1958400,4229,1958400,4231,100,4232,100,4233,0,4239,82,4239,320000,4244,100,4240,100,4244,1958400,4230,0,,
4328,90,4329,1958400,4329,1958400,4330,1958400,4331,100,4334,100,4334,0,4341,80,4345,320000,4348,81,4347,91,4349,1958400,4330,0,,
4428,57,4429,1958400,4429,1958400,4430,1958400,4431,81,4432,90,4433,0,4459,60,4460,320000,4462,69,4461,72,4463,1958400,4430,0,,
4529,70,4530,1958400,4531,1958400,4531,1958400,4533,77,4534,75,4534,0,4539,68,4539,320000,4543,88,4542,81,4544,1958400,4531,0,,
4629,81,4630,1958400,4631,1958400,4631,1958400,4634,81,4635,90,4636,0,4651,71,4651,320000,4654,76,4653,84,4655,1958400,4632,0,,
4730,90,4730,1958400,4731,1958400,4732,1958400,4733,83,4734,100,4734,0,4738,77,4739,320000,4744,85,4740,84,4745,1958400,4732,0,,
