App,Package,Start Time,Duration,Filename
"System",,"May 3, 2014 @ 10:06:00 AM","15 min 57 sec",""

Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"GPU3D Load [%]",Time  [ms],"CPU Load - Normalized [%]",Time  [ms],"GPU3D Frequency [kHz]",Time  [ms],"CPU0 Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU0 Frequency [kHz]",Time  [ms],"Application State",Description,
0,26,2,0,3,1512000,5,0,4,1277172,5,0,6,0,7,0,25,3,29,320000,56,19,33,9,57,1512000,5,0,:: :: :: ::,
107,77,108,0,109,1134000,110,0,109,1286632,111,0,112,0,112,0,124,34,124,320000,136,71,132,65,137,1512000,111,0,:: :: :: ::,
207,45,208,0,209,1512000,210,0,210,1295592,211,0,211,0,214,0,237,20,238,320000,241,45,240,43,242,1512000,210,0,:: :: :: ::,
308,22,309,0,310,1512000,311,0,310,1295456,312,0,313,0,313,0,318,16,319,320000,324,42,322,23,324,1512000,311,0,:: :: :: ::,
408,36,409,0,410,1512000,411,0,411,1295456,412,0,413,0,414,0,419,16,419,320000,424,22,421,33,425,1026000,412,0,:: :: :: ::,
509,0,509,0,510,1512000,513,0,512,1295456,514,0,514,0,515,0,538,9,539,320000,542,25,541,26,543,1512000,513,0,:: :: :: ::,
609,40,609,0,610,1512000,611,0,611,1295456,612,0,612,0,613,0,618,13,619,320000,622,28,620,21,622,1512000,611,0,:: :: :: ::,
709,40,710,0,711,1512000,712,0,711,1295456,713,0,713,0,714,0,717,15,718,320000,721,30,719,33,722,1512000,712,0,:: :: :: ::,
812,20,813,0,814,1026000,816,0,815,1295568,818,0,819,0,820,0,845,10,846,320000,851,28,849,37,852,1026000,817,0,:: :: :: ::,
911,58,912,0,913,1026000,915,0,914,1295568,917,0,917,0,918,0,927,14,928,320000,933,33,930,37,934,1026000,916,0,:: :: :: ::,
1012,50,1013,0,1014,1026000,1016,0,1015,1295568,1018,0,1019,0,1020,0,1027,16,1028,320000,1033,44,1031,47,1035,1026000,1017,0,:: :: :: ::,
1115,33,1116,0,1117,1026000,1119,0,1118,1295568,1120,0,1121,0,1122,0,1148,14,1149,320000,1154,57,1151,46,1155,1026000,1119,0,:: :: :: ::,
1213,25,1214,0,1216,1026000,1218,0,1217,1295568,1219,0,1220,0,1221,0,1229,11,1230,320000,1235,33,1232,31,1236,1026000,1218,0,:: :: :: ::,
1314,40,1315,0,1316,1026000,1318,0,1317,1295568,1319,0,1320,0,1320,0,1326,15,1326,320000,1331,37,1329,42,1332,1026000,1318,0,:: :: :: ::,
1417,46,1418,0,1419,1026000,1421,0,1420,1295568,1422,0,1424,0,1425,0,1447,14,1448,320000,1453,42,1451,44,1454,1026000,1421,0,:: :: :: ::,
1515,33,1516,0,1517,1026000,1518,0,1518,1295568,1520,0,1520,0,1521,0,1529,10,1530,320000,1535,44,1532,28,1536,1026000,1519,0,:: :: :: ::,
