App,Package,Start Time,Duration,Filename
"System",,"Apr 30, 2014 @ 12:59:08 PM","4 min 37 sec","Trepn_System_2014.04.30_125908.db"

Time  [ms],"CPU Load [%]",Time  [ms],"CPU Load - Normalized [%]",Time  [ms],"CPU0 Frequency [kHz]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU0 Load [%]",Time  [ms],"CPU1 Load [%]",Time  [ms],"Application State",Description,
11,28,5,11,12,1000000,1,1000000,9,32,0,25,1,0,,
210,76,208,54,211,1000000,205,1000000,210,77,204,80,205,0,,
232,66,230,29,233,1000000,213,1000000,231,50,212,0,213,0,,
313,6,311,6,313,1000000,308,1000000,312,12,308,12,309,0,,
413,15,411,8,414,1000000,409,1000000,412,20,408,10,409,0,,
530,21,521,6,530,1000000,512,300000,529,25,510,10,513,0,,
629,23,622,11,631,300000,613,300000,626,25,611,33,614,0,,
734,76,730,33,735,1000000,711,1000000,732,80,710,50,712,0,,
821,70,816,53,823,1000000,811,1000000,820,66,810,80,811,0,,
924,71,923,51,925,1400000,912,1400000,924,88,911,58,912,0,,
1015,63,1013,49,1016,1300000,1011,1300000,1014,63,1010,66,1011,0,,
1117,57,1115,36,1119,1000000,1112,1000000,1116,55,1111,60,1112,0,,
1219,65,1215,36,1220,1000000,1212,1000000,1218,75,1211,50,1212,0,,
1556,89,1554,75,1556,1500000,1551,1500000,1555,90,1550,88,1551,0,,
1565,66,1563,0,1566,1500000,1558,1500000,1564,100,1557,0,1558,0,,
1573,100,1570,44,1574,1500000,1567,1500000,1572,100,1567,100,1568,0,,
1636,38,1635,36,1637,1500000,1632,1500000,1635,50,1631,42,1632,0,,
1741,57,1739,38,1741,1200000,1736,1200000,1740,70,1735,37,1736,0,,
1846,33,1842,19,1850,900000,1837,700000,1844,50,1836,20,1837,0,,
1970,45,1968,17,1971,1000000,1942,600000,1969,63,1940,30,1942,0,,
2065,21,2060,10,2066,1000000,2043,200000,2064,0,2040,20,2044,0,,
2158,12,2156,5,2158,1000000,2144,200000,2157,0,2140,33,2145,0,,
2247,6,2242,6,2248,1000000,2239,1000000,2245,12,2238,20,2239,0,,
2573,78,2571,57,2573,1500000,2568,1500000,2572,93,2567,61,2568,0,,
2579,78,2577,0,2580,1500000,2575,1500000,2579,93,2574,100,2575,0,,
2588,66,2586,88,2589,1500000,2583,1500000,2587,50,2582,100,2584,0,,
2675,47,2672,20,2675,1000000,2644,1000000,2674,50,2643,16,2645,0,,
2755,35,2746,31,2757,1000000,2743,1000000,2747,42,2742,60,2743,0,,
2854,38,2849,18,2857,300000,2842,900000,2852,50,2841,20,2843,0,,
2969,15,2964,4,2969,1000000,2949,200000,2967,30,2946,0,2951,0,,
3068,26,3066,8,3069,1000000,3050,200000,3067,30,3046,11,3051,0,,
3174,20,3162,12,3175,1000000,3149,200000,3166,10,3146,27,3150,0,,
