App,Package,Start Time,Duration,Filename
"System",,"Apr 30, 2014 @ 02:01:20 PM","6 min 20 sec","Trepn_System_2014.04.30_140120.db"

Time  [ms],"GPU3D Frequency [kHz]",Time  [ms],"GPU3D Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU Load - Normalized [%]",Time  [ms],"CPU0 Frequency [kHz]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU0 Load [%]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"Application State",Description,
12,320000,9,0,12,21,11,8,17,2265600,7,2265600,1,0,8,0,14,24,0,20,8,0,8,0,8,0,,
115,320000,111,0,116,36,114,14,117,2265600,110,1497600,109,0,110,0,117,0,108,63,111,0,111,0,110,0,,
216,320000,212,0,217,42,215,15,219,1497600,210,1497600,209,0,211,0,218,40,209,44,211,0,212,0,211,0,,
317,320000,313,0,318,28,316,9,320,1497600,310,1497600,310,0,311,0,319,27,309,30,312,0,312,0,311,0,,
418,320000,414,0,420,22,417,5,422,1267200,411,1267200,410,0,412,0,421,22,410,22,412,0,413,0,412,0,,
518,320000,514,0,520,40,518,11,522,1267200,512,1267200,511,0,512,0,521,45,510,33,513,0,513,0,512,0,,
622,320000,619,0,625,75,621,24,626,2265600,612,2265600,612,0,616,0,626,70,611,77,617,0,618,0,617,0,,
721,320000,717,0,722,64,721,41,724,2265600,714,2265600,713,2265600,714,1497600,723,80,712,87,716,25,716,19,715,0,,
820,320000,816,0,821,33,819,28,823,2265600,813,2265600,812,2265600,813,2265600,822,70,812,30,814,0,815,27,813,0,,
931,320000,924,0,932,30,930,27,933,2265600,918,2265600,914,2265600,919,2265600,933,20,913,90,923,0,924,9,920,0,,
1020,320000,1017,0,1021,52,1020,29,1023,2265600,1015,2265600,1014,0,1015,0,1022,66,1013,50,1016,0,1016,0,1015,0,,
1122,200000,1120,0,1123,35,1122,13,1124,2265600,1118,2265600,1117,0,1118,0,1124,40,1116,27,1119,0,1119,0,1118,0,,
1226,200000,1222,0,1227,31,1226,13,1229,2265600,1217,2265600,1216,0,1217,0,1229,33,1215,30,1218,0,1222,0,1217,0,,
1327,200000,1320,0,1328,41,1326,17,1330,1497600,1318,1497600,1317,0,1318,0,1329,50,1316,37,1319,0,1320,0,1318,0,,
1425,200000,1421,0,1426,6,1425,2,1428,1497600,1418,1497600,1417,0,1419,0,1427,14,1417,0,1420,0,1420,0,1419,0,,
1526,200000,1522,0,1527,5,1525,1,1529,1267200,1520,1497600,1519,0,1520,0,1528,11,1517,0,1521,0,1521,0,1520,0,,
1628,320000,1620,0,1629,65,1627,26,1631,2265600,1619,2265600,1618,0,1619,0,1630,77,1617,50,1620,0,1620,0,1619,0,,
1725,320000,1721,0,1726,41,1724,41,1727,2265600,1719,1267200,1718,2265600,1719,2265600,1726,30,1718,55,1720,38,1721,41,1719,0,,
1829,320000,1822,0,1831,7,1829,6,1832,2265600,1819,2265600,1819,2265600,1820,2265600,1831,0,1818,20,1820,10,1821,0,1820,0,,
1931,320000,1924,0,1933,20,1928,8,1935,1267200,1921,1267200,1920,0,1922,0,1934,41,1919,20,1922,0,1923,0,1922,0,,
2095,320000,2023,0,2095,60,2094,23,2097,2265600,2021,2265600,2020,0,2021,0,2096,80,2019,50,2022,0,2022,0,2022,0,,
2124,320000,2121,0,2125,20,2124,23,2126,2265600,2120,2265600,2119,0,2120,0,2126,0,2119,25,2121,0,2121,0,2120,0,,
2225,320000,2222,0,2226,9,2225,5,2234,2265600,2220,2265600,2220,0,2221,0,2233,16,2219,10,2221,0,2221,0,2221,0,,
2327,320000,2323,0,2328,20,2326,9,2330,1267200,2321,2265600,2321,0,2321,0,2329,11,2320,30,2322,0,2322,0,2322,0,,
2428,320000,2425,0,2430,18,2428,6,2432,1267200,2422,1267200,2421,0,2423,0,2431,20,2421,16,2423,0,2424,0,2423,0,,
2553,320000,2529,0,2554,20,2552,2,2556,1267200,2523,1267200,2522,0,2524,0,2555,8,2522,10,2525,0,2525,0,2524,0,,
2627,320000,2624,0,2628,71,2627,22,2629,2265600,2622,2265600,2622,0,2623,0,2629,100,2622,54,2623,0,2624,0,2623,0,,
2728,320000,2726,0,2729,23,2728,11,2733,2265600,2724,2265600,2723,0,2724,0,2733,36,2722,10,2725,0,2725,0,2725,0,,
2840,320000,2829,0,2841,54,2839,25,2843,2265600,2826,2265600,2824,0,2826,0,2842,66,2823,44,2827,0,2828,0,2827,0,,
2935,320000,2928,0,2936,72,2934,34,2937,2265600,2924,2265600,2924,0,2925,0,2937,66,2923,70,2927,0,2927,0,2925,0,,
3046,320000,3033,0,3047,60,3045,31,3049,2265600,3025,2265600,3024,0,3031,0,3049,60,3024,66,3032,0,3033,0,3032,0,,
3133,320000,3127,0,3143,61,3129,31,3145,2265600,3125,2265600,3125,0,3125,0,3144,33,3124,88,3126,0,3126,0,3126,0,,
3239,200000,3229,0,3249,68,3238,27,3254,1267200,3226,2265600,3226,0,3227,0,3252,44,3225,80,3228,0,3229,0,3227,0,,
3334,200000,3331,0,3336,88,3333,41,3338,2265600,3329,2265600,3328,0,3329,0,3337,87,3328,90,3330,0,3330,0,3329,0,,
3436,200000,3433,0,3438,63,3435,32,3439,2265600,3429,2265600,3428,0,3429,0,3439,80,3428,44,3431,0,3432,0,3431,0,,
3555,200000,3539,0,3556,72,3555,33,3560,2265600,3530,2265600,3530,0,3531,0,3559,80,3529,60,3532,0,3532,0,3531,0,,
3636,200000,3633,0,3640,100,3635,50,3645,2265600,3631,2265600,3631,0,3632,0,3642,100,3630,100,3632,0,3633,0,3632,0,,
3741,200000,3735,0,3753,50,3741,24,3754,1497600,3731,2265600,3731,2265600,3732,2265600,3754,66,3730,45,3733,9,3734,50,3732,0,,
3840,200000,3836,3,3841,38,3840,39,3843,2265600,3833,2265600,3832,2265600,3833,960000,3842,87,3831,20,3834,9,3835,44,3833,0,,
3960,200000,3935,3,3962,42,3960,29,3964,2265600,3933,2265600,3932,2265600,3933,0,3963,83,3931,27,3934,18,3935,0,3934,0,,
4040,200000,4036,3,4041,53,4039,38,4042,2265600,4033,1728000,4032,2265600,4033,0,4042,87,4032,45,4035,27,4035,0,4034,0,,
4149,200000,4138,3,4160,51,4146,25,4162,2265600,4134,1497600,4133,1497600,4135,0,4161,63,4132,30,4136,50,4137,0,4135,0,,
4240,200000,4237,3,4241,43,4240,32,4242,2265600,4234,2265600,4233,2265600,4234,0,4242,14,4233,22,4236,100,4236,0,4235,0,,
4345,200000,4336,3,4346,46,4344,31,4356,2265600,4334,2265600,4333,2265600,4334,0,4355,50,4333,80,4335,11,4336,0,4334,0,,
4445,200000,4439,3,4449,51,4445,34,4452,1728000,4435,2265600,4435,960000,4436,0,4451,77,4434,55,4438,20,4439,0,4437,0,,
4549,200000,4538,3,4550,48,4549,32,4552,2265600,4535,1267200,4534,1267200,4536,0,4551,100,4534,20,4537,22,4538,0,4536,0,,
4641,200000,4637,3,4642,82,4641,59,4643,2265600,4635,2265600,4634,2265600,4635,0,4643,88,4634,75,4637,75,4637,0,4636,0,,
4744,200000,4739,3,4745,54,4743,36,4747,2265600,4737,2265600,4736,2265600,4737,0,4746,50,4736,80,4738,33,4739,0,4737,0,,
4843,200000,4840,1,4844,46,4843,31,4845,2265600,4837,1958400,4837,2265600,4838,0,4845,80,4836,40,4839,11,4839,0,4838,0,,
4947,200000,4942,1,4948,59,4946,31,4959,2265600,4941,2265600,4940,0,4941,0,4959,66,4940,63,4941,0,4942,0,4941,0,,
5043,200000,5040,1,5043,78,5042,38,5048,2265600,5038,2265600,5037,0,5038,0,5046,55,5037,100,5039,0,5039,0,5039,0,,
5143,200000,5140,1,5143,60,5142,29,5146,2265600,5138,2265600,5138,0,5138,0,5146,70,5137,55,5139,0,5139,0,5139,0,,
5260,200000,5246,1,5262,70,5260,33,5264,2265600,5238,2265600,5238,0,5239,0,5263,81,5237,50,5239,0,5240,0,5239,0,,
5344,200000,5341,1,5346,64,5343,30,5347,2265600,5339,2265600,5338,0,5339,0,5347,100,5338,33,5340,0,5340,0,5339,0,,
5443,200000,5441,1,5453,63,5443,28,5461,2265600,5439,2265600,5438,0,5439,0,5460,80,5438,55,5440,0,5440,0,5439,0,,
5546,200000,5542,1,5553,75,5545,34,5555,2265600,5540,1574400,5539,0,5540,0,5554,80,5538,55,5541,0,5542,0,5540,0,,
5648,200000,5642,1,5649,95,5647,46,5655,2265600,5640,2265600,5639,2265600,5640,0,5654,100,5639,90,5641,50,5642,0,5641,0,,
5749,200000,5743,1,5750,44,5748,45,5751,2265600,5740,2265600,5740,2265600,5740,1497600,5751,75,5739,40,5741,60,5742,20,5741,0,,
5860,200000,5842,1,5861,35,5860,30,5862,2265600,5840,2265600,5840,960000,5841,1497600,5862,80,5839,40,5841,22,5842,0,5841,0,,
5946,200000,5942,1,5948,37,5946,29,5949,2265600,5940,2265600,5940,0,5941,0,5949,37,5940,80,5941,0,5942,0,5941,0,,
6046,200000,6042,1,6061,68,6046,33,6071,2265600,6041,2265600,6040,0,6041,0,6070,54,6040,90,6041,0,6042,0,6041,0,,
6150,200000,6143,1,6151,75,6149,37,6152,2265600,6141,1958400,6141,0,6142,0,6152,75,6140,66,6142,0,6142,0,6142,0,,
6246,200000,6243,1,6248,60,6246,29,6249,2265600,6241,2265600,6241,0,6241,0,6249,66,6240,54,6242,0,6242,0,6242,0,,
6360,200000,6353,1,6361,70,6359,35,6362,2265600,6342,2265600,6341,0,6342,0,6362,54,6341,87,6343,0,6343,0,6342,0,,
6448,200000,6444,1,6450,68,6447,31,6451,2265600,6442,2265600,6442,0,6442,0,6451,88,6441,50,6443,0,6443,0,6443,0,,
6560,200000,6553,1,6561,66,6559,31,6565,2265600,6544,2265600,6543,0,6545,0,6564,41,6542,90,6548,0,6552,0,6545,0,,
6653,200000,6647,1,6654,91,6652,45,6655,2265600,6643,2265600,6643,2265600,6644,2265600,6655,88,6642,100,6645,33,6646,10,6644,0,,
6764,200000,6746,1,6765,50,6762,49,6767,2265600,6744,2265600,6743,2265600,6744,960000,6766,30,6742,80,6745,62,6746,44,6744,0,,
6853,200000,6848,1,6854,33,6852,37,6856,1267200,6844,2265600,6843,2265600,6844,2265600,6855,62,6843,40,6846,20,6848,18,6845,0,,
6970,200000,6949,1,6971,38,6970,26,6972,1190400,6944,2265600,6944,2265600,6945,0,6972,63,6943,50,6947,22,6948,0,6945,0,,
7050,200000,7046,1,7052,47,7050,29,7053,2265600,7045,2265600,7044,0,7045,0,7052,50,7043,70,7045,0,7046,0,7045,0,,
7149,200000,7147,1,7152,66,7149,29,7163,2265600,7145,2265600,7144,0,7145,0,7153,100,7144,25,7146,0,7146,0,7145,0,,
7251,200000,7248,1,7253,65,7251,32,7255,2265600,7246,2265600,7246,0,7247,0,7254,30,7245,100,7247,0,7248,0,7247,0,,
7352,200000,7349,1,7352,75,7351,37,7355,2265600,7347,2265600,7346,0,7347,0,7354,77,7344,72,7348,0,7348,0,7347,0,,
7464,200000,7447,1,7465,66,7463,28,7466,2265600,7446,2265600,7445,0,7446,0,7466,75,7445,44,7447,0,7447,0,7446,0,,
7556,200000,7550,1,7557,68,7556,34,7559,2265600,7546,2265600,7546,0,7548,0,7558,100,7545,44,7549,0,7550,0,7549,0,,
7653,200000,7649,1,7654,91,7653,47,7656,2265600,7646,2265600,7646,2265600,7647,0,7655,90,7645,100,7648,20,7649,0,7647,0,,
7772,200000,7756,1,7773,55,7770,42,7775,2265600,7747,2265600,7746,2265600,7747,0,7774,63,7746,80,7753,30,7756,0,7747,0,,
7853,200000,7849,1,7854,43,7853,31,7855,2265600,7847,2265600,7846,2265600,7847,0,7855,88,7846,44,7849,0,7849,0,7848,0,,
7977,200000,7950,1,7978,53,7977,28,7981,2265600,7948,2265600,7947,960000,7948,0,7979,69,7946,50,7949,12,7950,0,7948,0,,
8054,200000,8050,1,8055,45,8053,33,8056,2265600,8048,2265600,8047,2265600,8048,0,8056,28,8047,75,8049,60,8050,0,8048,0,,
8161,200000,8150,1,8162,45,8158,31,8171,2265600,8148,2265600,8147,0,8148,0,8164,63,8147,66,8149,0,8149,0,8148,0,,
8252,200000,8249,1,8252,66,8251,34,8255,2265600,8248,2265600,8247,0,8248,0,8255,44,8247,88,8249,0,8249,0,8248,0,,
8353,200000,8350,1,8354,61,8353,29,8355,2265600,8349,2265600,8348,0,8349,0,8355,40,8347,77,8349,0,8350,0,8349,0,,
8470,200000,8458,1,8470,61,8469,31,8472,2265600,8449,2265600,8449,0,8450,0,8471,58,8448,75,8450,0,8451,0,8450,0,,
8555,200000,8552,1,8556,62,8555,28,8558,2265600,8550,2265600,8550,0,8550,0,8557,66,8549,50,8551,0,8551,0,8551,0,,
8663,200000,8654,1,8673,84,8662,43,8675,2265600,8650,2265600,8650,2265600,8651,2265600,8674,78,8649,90,8652,22,8653,45,8651,0,,
8762,200000,8754,1,8763,36,8761,40,8765,2265600,8751,2265600,8750,2265600,8751,2265600,8765,33,8750,70,8752,60,8754,10,8751,0,,
8885,200000,8862,1,8885,34,8884,31,8887,2265600,8851,2265600,8851,960000,8852,2265600,8886,63,8850,50,8853,20,8854,0,8852,0,,
8956,200000,8953,1,8957,45,8955,29,8958,2265600,8951,2265600,8951,0,8952,0,8957,85,8950,60,8952,0,8953,0,8952,0,,
9057,200000,9053,1,9058,66,9057,32,9060,2265600,9052,1728000,9051,0,9052,0,9059,72,9051,60,9052,0,9053,0,9052,0,,
9159,200000,9156,1,9160,65,9159,32,9167,2265600,9155,2265600,9154,0,9155,0,9165,70,9154,63,9155,0,9156,0,9155,0,,
9259,200000,9256,1,9260,64,9259,30,9262,2265600,9255,2265600,9254,0,9255,0,9261,44,9254,87,9256,0,9256,0,9255,0,,
9377,200000,9359,1,9378,65,9376,24,9380,1574400,9356,1574400,9355,0,9356,0,9379,50,9354,80,9357,0,9357,0,9356,0,,
9459,200000,9457,1,9460,66,9459,29,9466,2265600,9455,2265600,9455,0,9456,0,9463,100,9454,50,9456,0,9456,0,9456,0,,
9561,200000,9558,1,9562,66,9560,31,9568,2265600,9556,2265600,9556,0,9556,0,9567,70,9555,60,9557,0,9557,0,9557,0,,
9674,200000,9670,1,9675,77,9673,41,9676,2265600,9663,2265600,9662,2265600,9663,2265600,9676,84,9662,80,9668,27,9669,27,9666,0,,
9772,200000,9767,1,9773,35,9772,32,9786,2265600,9763,2265600,9763,2265600,9764,2265600,9785,20,9762,20,9765,0,9766,100,9764,0,,
9874,200000,9869,1,9875,42,9873,35,9876,1036800,9864,1497600,9864,2265600,9865,2265600,9876,20,9863,25,9866,80,9868,27,9865,0,,
10004,200000,9976,1,10006,55,10002,8,10007,729600,9970,729600,9968,0,9971,0,10007,41,9966,58,9973,0,9974,0,9972,0,,
