App,Package,Start Time,Duration,Filename
"System",,"Apr 30, 2014 @ 07:31:45 PM","5 min 3 sec",""

Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"GPU3D Load [%]",Time  [ms],"CPU Load - Normalized [%]",Time  [ms],"GPU3D Frequency [kHz]",Time  [ms],"CPU0 Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU0 Frequency [kHz]",Time  [ms],"Application State",Description,
0,14,1,0,2,1512000,3,0,3,1292876,4,0,5,0,7,0,18,1,18,320000,22,6,20,3,22,1512000,4,0,,
103,37,105,0,106,1026000,108,0,107,1302316,110,0,110,0,111,0,134,28,135,320000,140,75,138,59,144,1512000,109,0,,
207,41,208,0,209,1512000,210,0,209,1311164,211,0,211,0,211,0,217,22,217,320000,234,50,219,43,235,1512000,210,0,,
311,12,312,0,314,1512000,315,0,314,1311164,316,0,317,0,318,0,323,14,323,320000,327,45,325,26,328,1026000,316,0,,
410,18,411,0,412,1512000,413,0,412,1311412,414,0,414,0,415,0,435,15,438,320000,442,25,440,34,442,1512000,413,0,,
510,45,510,0,511,1512000,513,0,512,1311164,514,0,514,0,515,0,520,15,521,320000,539,22,523,23,540,1512000,513,0,,
610,41,611,0,612,1512000,613,0,612,1311164,614,0,614,0,615,0,619,16,620,320000,623,25,621,38,623,1512000,613,0,,
712,22,713,0,714,1512000,716,0,715,1311196,717,0,717,0,718,0,733,10,734,320000,737,25,735,22,738,1512000,716,0,,
811,30,812,0,813,1026000,815,0,814,1311196,816,0,816,0,817,0,824,8,824,320000,841,22,826,27,842,1512000,815,0,,
912,27,914,0,915,1026000,918,0,917,1311196,919,0,920,0,921,0,927,11,928,320000,933,0,931,21,934,1026000,918,0,,
1013,55,1014,0,1015,1026000,1017,0,1016,1311196,1019,0,1023,0,1026,0,1034,17,1035,320000,1040,54,1038,52,1041,1026000,1018,0,,
