App,Package,Start Time,Duration,Filename
"System",,"May 2, 2014 @ 05:33:17 PM","1 min 55 sec","Trepn_System_2014.05.02_173317.db"

Time  [ms],"GPU3D Frequency [kHz]",Time  [ms],"GPU3D Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU Load - Normalized [%]",Time  [ms],"CPU0 Frequency [kHz]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU0 Load [%]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"Application State",Description,
12,320000,9,0,13,20,12,7,15,2265600,7,2265600,6,0,8,0,14,16,0,33,8,0,9,0,8,0,:: :: :: ::,
119,320000,115,0,121,42,119,21,127,1574400,113,1574400,113,0,114,0,126,40,112,58,114,0,114,0,114,0,:: :: :: ::,
219,320000,215,0,222,52,219,17,224,1574400,214,1574400,213,0,214,0,223,16,213,70,215,0,215,0,214,0,:: :: :: ::,
321,320000,317,0,325,35,321,9,327,1267200,315,1267200,314,0,315,0,326,33,313,40,316,0,316,0,315,0,:: :: :: ::,
430,320000,416,0,439,47,430,16,441,2265600,414,2265600,414,0,414,0,440,63,413,25,415,0,415,0,415,0,:: :: :: ::,
520,320000,516,0,521,28,519,16,523,1497600,515,2265600,514,0,515,0,522,37,514,30,515,0,516,0,515,0,:: :: :: ::,
622,320000,618,0,623,56,622,28,630,1497600,615,2265600,615,2265600,616,0,630,60,614,55,617,32,618,0,616,0,:: :: :: ::,
726,200000,719,0,730,53,725,36,736,2265600,715,2265600,715,2265600,716,0,731,50,714,50,718,40,718,0,716,0,:: :: :: ::,
825,200000,822,0,826,37,825,27,828,2265600,819,2265600,818,2265600,819,0,828,66,817,36,821,12,821,0,820,0,:: :: :: ::,
928,200000,922,0,930,26,928,19,932,2265600,917,2265600,916,2265600,919,0,931,20,915,33,921,22,921,0,919,0,:: :: :: ::,
1030,200000,1026,0,1031,47,1029,25,1033,2265600,1021,2265600,1020,0,1021,0,1032,60,1017,50,1025,0,1025,0,1024,0,:: :: :: ::,
1139,200000,1122,19,1141,31,1139,12,1142,2265600,1118,2265600,1118,0,1119,0,1142,40,1117,12,1121,0,1121,0,1120,0,:: :: :: ::,
1224,200000,1220,19,1225,18,1223,8,1227,1267200,1218,2265600,1218,0,1219,0,1226,14,1217,30,1219,0,1219,0,1219,0,:: :: :: ::,
1323,320000,1321,0,1324,18,1323,9,1325,2265600,1319,2265600,1318,0,1319,0,1325,18,1318,9,1320,0,1320,0,1319,0,:: :: :: ::,
1435,320000,1422,0,1436,47,1435,19,1437,2265600,1420,2265600,1420,0,1421,0,1437,30,1418,60,1421,0,1422,0,1421,0,:: :: :: ::,
1526,320000,1523,0,1528,53,1525,27,1530,2265600,1520,2265600,1519,0,1520,0,1529,14,1519,88,1521,0,1522,0,1520,0,:: :: :: ::,
1628,320000,1624,0,1629,12,1627,5,1631,1728000,1621,1267200,1620,0,1622,0,1630,0,1620,25,1623,0,1623,0,1622,0,:: :: :: ::,
1746,320000,1730,0,1748,27,1745,9,1750,1267200,1728,1728000,1727,0,1728,0,1749,18,1727,33,1729,0,1730,0,1729,0,:: :: :: ::,
1840,320000,1833,0,1842,26,1840,6,1844,1267200,1829,1267200,1829,0,1830,0,1843,25,1827,33,1831,0,1832,0,1830,0,:: :: :: ::,
1929,320000,1924,0,1930,6,1928,3,1934,1267200,1922,1267200,1921,0,1923,0,1931,22,1920,11,1923,0,1924,0,1923,0,:: :: :: ::,
2030,320000,2025,0,2031,33,2029,9,2033,1267200,2023,1267200,2022,0,2023,0,2033,30,2021,40,2024,0,2025,0,2024,0,:: :: :: ::,
2130,320000,2126,0,2132,15,2130,2,2134,1267200,2123,1267200,2122,0,2124,0,2133,20,2122,0,2125,0,2125,0,2124,0,:: :: :: ::,
2232,320000,2225,0,2233,18,2231,4,2248,1267200,2223,1267200,2222,0,2224,0,2247,16,2222,9,2224,0,2225,0,2224,0,:: :: :: ::,
2328,320000,2325,0,2328,21,2327,7,2330,2265600,2323,2265600,2323,0,2323,0,2329,22,2322,30,2324,0,2324,0,2324,0,:: :: :: ::,
2429,320000,2425,0,2430,42,2428,19,2431,2265600,2423,2265600,2423,0,2424,0,2430,53,2422,25,2425,0,2425,0,2424,0,:: :: :: ::,
2544,320000,2526,0,2555,35,2543,9,2557,2265600,2523,1958400,2523,0,2525,0,2557,30,2522,33,2525,0,2525,0,2525,0,:: :: :: ::,
