App,Package,Start Time,Duration,Filename
"System",,"May 3, 2014 @ 09:58:03 AM","2 min 39 sec",""

Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"GPU3D Load [%]",Time  [ms],"CPU Load - Normalized [%]",Time  [ms],"GPU3D Frequency [kHz]",Time  [ms],"CPU0 Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU0 Frequency [kHz]",Time  [ms],"Application State",Description,
0,50,3,0,6,1026000,9,0,8,1270672,22,0,23,0,24,0,27,0,28,320000,40,7,31,4,41,1026000,9,0,:: :: :: ::,
109,66,112,0,113,1512000,114,0,114,1280132,116,0,116,0,117,0,138,0,139,320000,142,75,141,61,144,1512000,115,0,:: :: :: ::,
209,55,210,0,211,1512000,212,0,211,1288708,213,0,214,0,214,0,219,27,219,320000,223,37,221,46,224,1512000,212,0,:: :: :: ::,
311,22,312,0,313,1026000,316,0,314,1288708,317,0,318,0,319,0,327,12,328,320000,334,45,331,38,336,1026000,316,0,:: :: :: ::,
411,45,412,0,413,1026000,418,0,417,1288956,420,0,421,0,423,0,447,16,448,320000,454,53,452,54,456,1026000,419,0,:: :: :: ::,
512,54,513,0,515,1026000,517,0,516,1288956,519,0,520,0,521,0,531,14,532,320000,538,50,536,42,540,1026000,518,0,:: :: :: ::,
612,40,613,0,615,1026000,617,0,616,1288956,619,0,620,0,621,0,629,15,630,320000,636,50,633,38,637,1026000,618,0,:: :: :: ::,
716,20,717,0,718,1026000,721,0,720,1288956,723,0,724,0,725,0,744,13,745,320000,752,36,749,41,753,1026000,721,0,:: :: :: ::,
815,54,816,0,817,1026000,820,0,818,1288956,821,0,822,0,823,0,832,12,833,320000,839,44,836,40,841,1026000,820,0,:: :: :: ::,
916,45,917,0,918,1026000,920,0,919,1288956,927,0,928,0,929,0,937,16,939,320000,946,55,942,52,948,1026000,921,0,:: :: :: ::,
1018,45,1019,0,1020,1026000,1023,0,1021,1287020,1024,0,1025,0,1026,0,1046,20,1048,320000,1054,63,1051,57,1056,1026000,1023,0,:: :: :: ::,
1116,33,1117,0,1119,1026000,1121,0,1120,1287020,1123,0,1123,0,1125,0,1135,12,1136,320000,1142,50,1139,38,1143,1026000,1121,0,:: :: :: ::,
1216,44,1217,0,1218,1026000,1221,0,1220,1287020,1223,0,1223,0,1224,0,1232,16,1233,320000,1239,54,1236,45,1240,1026000,1221,0,:: :: :: ::,
1318,18,1320,0,1322,1026000,1324,0,1323,1287020,1326,0,1327,0,1329,0,1348,12,1350,320000,1356,50,1353,40,1357,1026000,1325,0,:: :: :: ::,
1417,25,1418,0,1420,1026000,1422,0,1421,1287020,1423,0,1425,0,1426,0,1436,10,1437,320000,1443,42,1440,28,1445,1026000,1423,0,:: :: :: ::,
1518,45,1519,0,1520,1026000,1523,0,1522,1287020,1525,0,1526,0,1527,0,1535,14,1536,320000,1542,40,1539,40,1543,1026000,1524,0,:: :: :: ::,
1620,0,1621,0,1623,1026000,1626,0,1625,1287020,1627,0,1628,0,1630,0,1651,8,1653,320000,1660,41,1656,36,1661,1026000,1627,0,:: :: :: ::,
1719,30,1720,0,1721,1026000,1725,0,1724,1287020,1727,0,1728,0,1729,0,1739,11,1740,320000,1746,55,1743,26,1748,1026000,1726,0,:: :: :: ::,
1821,40,1823,0,1824,1026000,1826,0,1825,1287020,1828,0,1829,0,1830,0,1837,15,1838,320000,1843,50,1841,45,1845,1026000,1827,0,:: :: :: ::,
1920,12,1926,0,1929,1512000,1931,0,1930,1288168,1932,0,1933,0,1934,0,1948,16,1949,320000,1954,50,1952,45,1955,1512000,1932,0,:: :: :: ::,
2020,72,2021,0,2022,1512000,2025,0,2023,1288560,2027,25,2027,0,2028,0,2035,40,2036,320000,2048,90,2046,0,2048,1512000,2025,0,:: :: :: ::,
2121,40,2122,1512000,2123,1512000,2124,0,2123,1289552,2126,60,2127,0,2128,0,2137,43,2138,320000,2142,75,2140,53,2143,1026000,2124,0,:: :: :: ::,
2221,60,2222,1134000,2223,1134000,2226,0,2224,1281836,2228,58,2229,0,2230,0,2237,37,2238,320000,2245,50,2241,56,2246,1134000,2226,0,:: :: :: ::,
2323,44,2324,1134000,2325,1134000,2328,0,2326,1281836,2330,40,2331,0,2332,0,2341,17,2342,400000,2348,12,2344,32,2349,1134000,2328,0,:: :: :: ::,
2425,54,2427,1134000,2429,1134000,2433,0,2431,1301352,2436,54,2438,0,2439,0,2447,28,2448,400000,2455,44,2450,53,2456,1512000,2434,0,:: :: :: ::,
2524,50,2525,1512000,2526,1512000,2527,0,2526,1293032,2529,44,2530,0,2531,0,2539,36,2540,400000,2545,50,2542,48,2546,1026000,2527,0,:: :: :: ::,
2624,20,2625,1512000,2626,1512000,2628,0,2627,1293048,2630,30,2630,0,2631,0,2637,12,2637,400000,2642,14,2639,19,2643,1512000,2628,0,:: :: :: ::,
2725,30,2726,0,2727,1512000,2728,0,2728,1292572,2730,0,2730,0,2731,0,2736,6,2737,400000,2740,11,2738,0,2741,1512000,2729,0,:: :: :: ::,
2826,0,2827,0,2829,1512000,2831,0,2830,1292572,2832,0,2832,0,2833,0,2850,9,2851,320000,2855,25,2853,25,2856,1512000,2831,0,:: :: :: ::,
2926,30,2927,0,2928,1512000,2930,0,2929,1292572,2931,0,2931,0,2932,0,2938,10,2939,320000,2943,11,2941,6,2944,1512000,2930,0,:: :: :: ::,
3027,36,3028,0,3029,1512000,3030,0,3030,1292524,3031,0,3033,0,3034,0,3040,16,3041,320000,3045,44,3043,33,3046,1512000,3031,0,:: :: :: ::,
3127,0,3130,0,3130,1512000,3133,0,3131,1292524,3134,0,3135,0,3135,0,3162,9,3163,320000,3167,33,3165,37,3168,1512000,3133,0,:: :: :: ::,
3228,100,3229,0,3230,1512000,3232,0,3231,1292896,3233,0,3234,0,3235,0,3251,33,3261,320000,3288,40,3263,70,3310,1512000,3232,0,:: :: :: ::,
3329,100,3330,0,3336,1512000,3340,1512000,3338,1308296,3344,66,3346,43,3347,0,3359,46,3359,320000,3363,100,3361,0,3364,1512000,3341,0,:: :: :: ::,
3430,50,3431,1512000,3432,1512000,3434,1512000,3433,1306684,3436,62,3437,50,3438,0,3447,53,3448,320000,3453,50,3451,50,3454,1026000,3434,0,:: :: :: ::,
3533,10,3534,1026000,3535,1512000,3537,1512000,3536,1306684,3539,30,3541,20,3542,0,3556,16,3557,320000,3561,10,3559,19,3566,1512000,3537,0,:: :: :: ::,
3630,18,3631,1026000,3636,1026000,3638,0,3638,1287964,3640,0,3640,0,3641,0,3652,13,3652,320000,3658,33,3656,0,3659,1512000,3639,0,:: :: :: ::,
3732,33,3734,0,3738,1026000,3740,0,3739,1277852,3742,0,3743,0,3744,0,3771,12,3773,320000,3779,41,3776,40,3780,1026000,3741,0,:: :: :: ::,
3833,33,3834,0,3836,1026000,3838,0,3837,1277780,3839,0,3840,0,3841,0,3851,11,3852,320000,3858,14,3855,26,3860,1026000,3838,0,:: :: :: ::,
3934,41,3936,0,3937,1026000,3940,0,3938,1277780,3941,0,3942,0,3943,0,3951,12,3952,320000,3957,30,3955,33,3959,1026000,3940,0,:: :: :: ::,
4036,50,4037,0,4039,1026000,4041,0,4040,1277724,4043,0,4044,0,4045,0,4069,13,4071,320000,4077,50,4074,40,4079,1026000,4042,0,:: :: :: ::,
4134,11,4136,0,4137,1026000,4140,0,4139,1277724,4142,0,4143,0,4144,0,4154,8,4155,320000,4161,14,4158,25,4162,1026000,4141,0,:: :: :: ::,
4236,40,4237,0,4239,1026000,4241,0,4240,1277724,4243,0,4244,0,4245,0,4253,13,4254,320000,4260,60,4257,40,4261,1026000,4242,0,:: :: :: ::,
4336,9,4339,0,4342,1026000,4344,0,4343,1277972,4346,0,4347,0,4348,0,4371,7,4373,320000,4379,27,4376,29,4380,1026000,4345,0,:: :: :: ::,
4436,33,4438,0,4439,1026000,4442,0,4441,1277724,4444,0,4445,0,4446,0,4456,9,4457,320000,4463,33,4460,15,4465,1026000,4443,0,:: :: :: ::,
4537,30,4539,0,4540,1026000,4543,0,4541,1277724,4545,0,4546,0,4547,0,4555,11,4556,320000,4562,11,4559,31,4564,1026000,4544,0,:: :: :: ::,
4637,44,4639,0,4643,1026000,4646,0,4645,1286812,4647,0,4648,0,4651,0,4675,17,4676,320000,4681,66,4679,54,4683,1026000,4646,0,:: :: :: ::,
4737,40,4738,0,4739,1512000,4740,0,4740,1286812,4741,0,4742,0,4743,0,4750,16,4751,320000,4756,33,4754,35,4757,1512000,4740,0,:: :: :: ::,
4838,50,4838,0,4839,1512000,4841,0,4840,1286456,4842,0,4844,0,4845,0,4853,21,4853,320000,4857,40,4855,40,4857,1512000,4841,0,:: :: :: ::,
4940,0,4945,0,4947,1026000,4950,0,4949,1286580,4951,0,4952,0,4954,0,4977,6,4978,320000,4986,25,4983,22,4987,1026000,4950,0,:: :: :: ::,
5041,50,5042,0,5044,1026000,5046,0,5045,1286456,5048,0,5048,0,5050,0,5060,15,5061,320000,5067,57,5064,47,5068,1026000,5047,0,:: :: :: ::,
5141,30,5143,0,5144,1026000,5147,0,5145,1286456,5149,0,5150,0,5151,0,5159,12,5160,320000,5166,40,5163,27,5167,1026000,5148,0,:: :: :: ::,
5241,0,5245,0,5246,1026000,5249,0,5248,1286456,5251,0,5252,0,5253,0,5278,7,5279,320000,5285,25,5283,28,5287,1026000,5250,0,:: :: :: ::,
5342,37,5344,0,5345,1026000,5347,0,5346,1286456,5350,0,5351,0,5352,0,5362,10,5363,320000,5369,44,5366,31,5370,1026000,5348,0,:: :: :: ::,
5443,30,5445,0,5446,1026000,5449,0,5447,1286456,5450,0,5451,0,5452,0,5460,11,5461,320000,5466,44,5464,33,5468,1026000,5449,0,:: :: :: ::,
5544,0,5547,0,5549,1026000,5551,0,5550,1286456,5553,0,5554,0,5555,0,5581,6,5582,320000,5588,18,5586,26,5590,1026000,5552,0,:: :: :: ::,
5643,50,5644,0,5645,1512000,5646,0,5646,1286456,5647,0,5648,0,5649,0,5655,13,5656,320000,5660,14,5658,23,5660,1512000,5647,0,:: :: :: ::,
5744,11,5745,0,5746,1512000,5747,0,5747,1286580,5748,0,5749,0,5750,0,5755,8,5756,320000,5759,20,5758,16,5760,1512000,5748,0,:: :: :: ::,
5844,11,5845,0,5849,1512000,5851,0,5850,1286580,5852,0,5853,0,5853,0,5871,4,5872,320000,5875,10,5874,13,5876,1512000,5851,0,:: :: :: ::,
5946,22,5950,0,5952,1026000,5955,0,5954,1286456,5956,0,5957,0,5958,0,5969,8,5970,320000,5975,20,5973,16,5977,1026000,5955,0,:: :: :: ::,
6047,44,6050,0,6051,1026000,6055,0,6053,1286704,6056,0,6057,0,6059,0,6067,16,6068,320000,6073,66,6070,50,6075,1026000,6055,0,:: :: :: ::,
6146,10,6147,0,6149,1026000,6155,0,6154,1286704,6157,0,6158,0,6160,0,6189,8,6191,320000,6197,10,6195,29,6198,1026000,6156,0,:: :: :: ::,
6246,50,6247,0,6248,1512000,6249,0,6249,1286704,6250,0,6251,0,6252,0,6258,11,6259,320000,6264,14,6261,9,6265,1026000,6250,0,:: :: :: ::,
6347,27,6348,0,6349,1512000,6350,0,6350,1286704,6351,0,6352,0,6353,0,6358,11,6358,320000,6362,11,6360,25,6363,1512000,6351,0,:: :: :: ::,
