App,Package,Start Time,Duration,Filename
"RSBench",com.cs598sva.rsbench,"Apr 26, 2014 @ 03:34:14 AM","9 min 40 sec",""

Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU Load - Normalized [%]",Time  [ms],"CPU0 Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU0 Frequency [kHz]",Time  [ms],"Application State",Description,
57,17,59,1900000,59,1900000,61,1900000,60,2243216,67,13,68,15,82,2,87,18,84,16,94,1900000,61,0,,
112,83,113,1900000,114,1900000,115,1900000,115,2247448,117,75,119,100,125,85,135,75,133,70,136,1900000,116,0,,
216,44,217,1900000,217,1900000,219,1900000,218,2265588,220,90,222,84,233,69,238,66,237,74,239,1900000,219,0,,
314,10,314,1800000,315,1800000,316,1800000,315,2274912,316,44,317,37,321,28,323,40,322,24,323,1800000,316,0,,
414,20,415,1800000,416,1800000,417,1800000,417,2275596,419,33,421,30,427,37,429,41,428,40,430,1800000,418,0,,
515,36,516,1800000,517,1800000,519,1800000,517,2276668,520,63,521,30,533,35,542,44,535,43,544,1900000,519,0,,
615,55,616,1900000,616,1900000,618,1800000,617,2295268,620,100,621,50,625,69,629,77,627,68,630,1800000,619,0,,
715,20,716,1800000,716,1800000,717,1800000,717,2299732,718,33,719,30,724,30,726,44,725,27,727,1800000,718,0,,
816,9,817,1800000,817,1800000,818,1800000,818,2299732,819,27,820,18,823,20,826,20,825,21,827,1800000,818,0,,
916,20,917,1800000,917,1800000,918,1800000,918,2267860,919,10,920,18,923,11,925,10,924,15,925,1800000,919,0,,
1023,20,1027,350000,1031,350000,1043,600000,1041,2267924,1046,25,1049,25,1092,18,1094,50,1093,44,1095,1800000,1043,0,,
1127,70,1128,1900000,1128,1900000,1129,1900000,1129,2268208,1130,66,1131,77,1135,65,1136,66,1136,53,1137,1900000,1129,0,,
1230,10,1232,250000,1234,250000,1238,250000,1236,2268208,1243,9,1247,0,1256,7,1260,8,1258,14,1262,600000,1239,0,,
1333,40,1337,250000,1339,250000,1346,250000,1343,2268208,1350,10,1354,0,1368,3,1373,16,1370,14,1375,600000,1347,0,,
1429,60,1431,800000,1432,800000,1434,800000,1433,2268208,1435,25,1437,0,1491,10,1496,54,1493,28,1497,600000,1434,0,,
1532,9,1534,300000,1535,300000,1539,300000,1537,2268208,1543,45,1547,0,1559,5,1565,0,1562,14,1566,600000,1539,0,,
1632,22,1634,600000,1635,600000,1639,600000,1637,2268208,1642,50,1645,0,1654,7,1661,10,1659,27,1662,800000,1639,0,,
1732,45,1734,800000,1735,800000,1737,800000,1736,2268208,1740,60,1743,27,1753,14,1759,36,1755,36,1761,800000,1737,0,,
1833,20,1834,800000,1835,800000,1838,450000,1836,2268208,1842,40,1844,20,1900,11,1909,61,1904,32,1910,600000,1839,0,,
1935,12,1936,600000,1937,600000,1940,600000,1938,2268208,1942,40,1944,25,1955,10,1958,20,1957,36,1959,800000,1940,0,,
2038,30,2039,600000,2040,600000,2043,600000,2042,2268192,2046,22,2049,27,2058,11,2064,45,2061,28,2065,800000,2044,0,,
2134,63,2135,1100000,2135,1100000,2137,1100000,2136,2268216,2138,0,2139,11,2149,11,2153,0,2151,21,2153,600000,2137,0,,
2239,10,2242,250000,2244,250000,2256,250000,2252,2268216,2261,0,2265,30,2281,2,2288,25,2284,14,2289,600000,2257,0,,
2337,0,2338,600000,2339,600000,2342,600000,2340,2268332,2344,0,2348,0,2356,2,2361,28,2358,6,2362,550000,2342,0,,
2440,0,2443,250000,2446,250000,2452,300000,2449,2268332,2457,16,2463,0,2471,5,2475,50,2473,23,2476,600000,2452,0,,
2542,50,2544,350000,2546,350000,2563,600000,2549,2268332,2566,0,2570,0,2616,5,2619,30,2618,20,2620,800000,2563,0,,
2639,0,2640,800000,2641,800000,2643,800000,2642,2268332,2645,62,2646,0,2653,9,2655,50,2654,13,2656,800000,2643,0,,
2744,0,2748,250000,2751,250000,2757,250000,2754,2268332,2768,16,2769,7,2773,5,2775,36,2774,20,2775,1600000,2758,0,,
2840,30,2841,1600000,2842,1600000,2845,1600000,2844,2269324,2850,44,2851,28,2858,29,2860,37,2859,35,2861,1800000,2847,0,,
2940,10,2941,1900000,2941,1900000,2942,1900000,2942,2270068,2943,90,2944,30,2964,36,2966,33,2965,40,2967,1900000,2864,8914,Sgemm::Java::IO::StartTime,
3041,0,3042,1900000,3043,1900000,3044,1900000,3043,2270704,3045,70,3046,20,3051,40,3053,66,3052,40,3054,1900000,2943,8914,Sgemm::Java::IO::StartTime,
3141,0,3142,1900000,3142,1900000,3143,1900000,3143,2271596,3144,33,3145,20,3148,33,3150,88,3149,30,3150,1900000,3044,8914,Sgemm::Java::IO::StartTime,
3242,0,3242,1900000,3243,1900000,3244,1900000,3243,2271844,3245,0,3246,10,3252,25,3253,91,3253,30,3254,1900000,3144,8914,Sgemm::Java::IO::StartTime,
3342,0,3343,1900000,3343,1900000,3344,1900000,3344,2271844,3345,9,3346,18,3365,31,3367,100,3366,33,3368,1900000,3244,8914,Sgemm::Java::IO::StartTime,
3442,9,3443,1900000,3443,1900000,3444,1900000,3444,2272092,3445,20,3446,11,3449,35,3451,100,3450,32,3451,1900000,3344,8914,Sgemm::Java::IO::StartTime,
3547,50,3548,1900000,3548,1900000,3549,1900000,3549,2272588,3550,0,3551,18,3554,43,3556,100,3555,39,3556,1900000,3445,8914,Sgemm::Java::IO::StartTime,
3648,0,3648,1900000,3649,1900000,3650,1900000,3649,2272588,3650,0,3651,10,3654,27,3656,100,3655,30,3656,1900000,3549,8914,Sgemm::Java::IO::StartTime,
3748,0,3749,1900000,3749,1900000,3750,1900000,3750,2272588,3751,0,3752,18,3755,27,3756,100,3755,27,3756,1900000,3650,8914,Sgemm::Java::IO::StartTime,
