App,Package,Start Time,Duration,Filename
"System",,"Apr 30, 2014 @ 12:59:51 PM","3 min 30 sec","Trepn_System_2014.04.30_125951.db"

Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU Load - Normalized [%]",Time  [ms],"CPU0 Frequency [kHz]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU0 Load [%]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"Application State",Description,
3,2577824,21,26,20,14,22,1900000,2,1900000,1,1900000,3,1900000,22,25,0,28,10,26,13,26,4,0,,
102,2593932,111,60,110,65,113,1900000,101,1900000,101,1900000,102,1900000,112,50,100,88,104,50,105,77,103,0,,
203,2594180,212,68,211,62,214,1900000,202,1900000,202,1900000,204,1900000,213,87,201,88,205,33,206,50,204,0,,
363,2596708,370,48,369,49,371,1900000,362,1900000,361,1900000,363,1900000,371,6,360,100,364,75,365,18,363,0,,
404,2596932,411,26,410,31,412,1900000,403,1900000,403,1900000,404,1900000,412,0,402,100,405,25,406,0,405,0,,
504,2597428,511,35,510,34,512,1900000,504,1900000,503,1900000,505,1900000,512,10,503,100,506,20,507,9,505,0,,
605,2597676,611,35,611,32,613,1900000,604,1900000,604,1900000,605,1900000,612,0,603,100,606,20,607,11,606,0,,
707,2601396,727,55,723,52,729,1700000,706,1700000,705,1700000,708,1700000,728,54,704,63,712,50,716,45,708,0,,
806,2602636,819,62,818,57,820,1700000,806,1700000,805,1700000,807,1700000,820,55,805,90,809,75,812,55,807,0,,
911,2602884,919,35,918,27,920,1600000,911,1600000,910,1600000,912,1600000,920,100,909,11,913,27,914,0,912,0,,
1011,2603380,1017,43,1017,37,1019,1900000,1010,1900000,1010,1900000,1011,1900000,1018,44,1009,20,1012,33,1013,60,1011,0,,
1113,2603876,1129,36,1128,33,1131,900000,1112,650000,1111,650000,1115,650000,1131,54,1110,18,1117,27,1120,50,1115,0,,
1212,2604620,1223,47,1222,24,1225,1500000,1211,1100000,1211,1100000,1213,1100000,1224,62,1210,72,1214,44,1215,11,1213,0,,
1507,2612504,1566,78,1564,70,1568,1900000,1506,1900000,1506,1900000,1508,1900000,1567,94,1505,55,1510,79,1512,65,1508,0,,
1575,2614488,1591,90,1589,92,1593,1900000,1571,1900000,1570,1900000,1577,1900000,1592,100,1570,100,1579,80,1580,100,1577,0,,
1597,2614984,1607,100,1606,100,1609,1900000,1596,1900000,1595,1900000,1598,1900000,1608,100,1594,100,1599,100,1600,100,1598,0,,
1614,2615232,1625,100,1623,100,1627,1900000,1613,1900000,1613,1900000,1615,1900000,1626,100,1612,100,1617,100,1618,100,1615,0,,
