App,Package,Start Time,Duration,Filename
"System",,"May 3, 2014 @ 01:22:17 PM","1 min 46 sec",""

Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"GPU3D Load [%]",Time  [ms],"CPU Load - Normalized [%]",Time  [ms],"GPU3D Frequency [kHz]",Time  [ms],"CPU0 Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU0 Frequency [kHz]",Time  [ms],"Application State",Description,
0,41,1,0,1,2265600,2,0,2,0,3,0,3,0,6,11,6,320000,8,25,7,29,9,2265600,2,0,,
108,83,108,0,109,2265600,109,0,110,0,110,0,110,0,113,37,113,320000,115,72,114,78,116,2265600,109,0,,
208,66,209,0,209,2265600,209,0,210,0,211,0,211,0,214,31,214,320000,218,60,216,62,219,2265600,210,0,,
308,70,309,0,310,2265600,311,0,311,0,312,0,312,0,316,31,316,320000,318,55,317,63,319,1958400,311,0,,
409,42,409,0,410,2265600,410,0,411,0,411,0,411,0,414,28,414,320000,418,63,417,52,419,2265600,410,0,,
509,57,510,0,511,2265600,515,0,518,0,518,0,519,0,529,29,530,320000,534,58,531,61,535,2265600,516,0,,
610,42,610,0,611,2265600,611,0,612,0,612,0,612,0,616,28,617,320000,620,70,618,56,621,2265600,611,0,,
711,33,711,0,712,2265600,712,0,712,0,713,0,714,0,720,23,720,320000,722,63,721,50,722,2265600,712,0,,
811,80,812,0,812,2265600,813,0,814,0,815,0,815,0,819,31,819,320000,822,50,821,65,822,1267200,814,0,,
912,100,913,0,913,2265600,914,0,914,0,915,0,915,0,918,33,918,320000,920,50,919,77,921,2265600,914,0,,
1012,66,1012,2265600,1015,2265600,1016,0,1019,35,1020,0,1020,0,1028,34,1029,320000,1031,75,1030,58,1031,2265600,1016,0,,
1112,50,1113,2265600,1114,2265600,1114,0,1115,30,1116,0,1116,0,1119,27,1120,320000,1122,37,1121,37,1122,2265600,1114,0,,
