App,Package,Start Time,Duration,Filename
"System",,"May 3, 2014 @ 12:40:29 PM","6 min 14 sec",""

Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"GPU3D Load [%]",Time  [ms],"CPU Load - Normalized [%]",Time  [ms],"GPU3D Frequency [kHz]",Time  [ms],"CPU0 Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU0 Frequency [kHz]",Time  [ms],"Application State",Description,
0,39,1,0,1,1958400,2,0,3,0,3,0,4,0,7,3,7,320000,19,30,14,34,25,1958400,2,0,:: :: :: ::,
108,33,109,0,109,1958400,110,0,110,0,111,0,111,0,114,24,114,320000,116,66,115,57,116,1958400,110,0,:: :: :: ::,
209,36,209,0,210,1267200,211,0,211,0,212,0,212,0,216,15,216,320000,219,40,217,38,219,1958400,211,0,:: :: :: ::,
309,53,310,0,311,1267200,311,0,312,0,313,0,315,0,352,12,353,320000,356,50,354,53,356,1267200,312,0,:: :: :: ::,
409,90,410,0,410,1958400,411,0,411,0,412,0,412,0,415,22,415,320000,417,40,416,72,418,1267200,411,0,:: :: :: ::,
510,81,510,0,511,1958400,511,0,512,0,512,0,512,0,515,30,515,320000,517,72,516,77,518,1958400,511,0,:: :: :: ::,
610,41,610,0,611,1958400,611,0,612,0,612,0,612,0,615,15,615,320000,621,33,618,37,623,1958400,611,0,:: :: :: ::,
710,81,711,1958400,712,1958400,713,0,714,47,715,0,715,0,721,32,722,320000,727,69,726,70,728,1958400,713,0,:: :: :: ::,
811,30,811,1958400,812,1958400,813,1036800,814,58,815,47,816,0,843,29,844,320000,846,33,845,38,847,1958400,813,0,:: :: :: ::,
911,45,912,1267200,913,1267200,914,1958400,915,44,916,0,917,0,925,24,926,320000,928,14,927,25,929,1267200,914,0,:: :: :: ::,
1011,44,1012,422400,1013,1267200,1014,0,1017,20,1018,0,1019,0,1049,14,1050,200000,1056,22,1051,33,1057,1267200,1014,0,:: :: :: ::,
1112,60,1113,1267200,1114,1267200,1115,0,1117,70,1118,0,1118,0,1125,22,1126,200000,1130,62,1128,52,1130,1267200,1115,0,:: :: :: ::,
1215,12,1216,1267200,1217,1267200,1218,0,1220,33,1221,0,1221,0,1250,11,1251,200000,1256,30,1252,34,1257,1267200,1218,0,:: :: :: ::,
1313,0,1315,1267200,1316,1267200,1316,0,1318,50,1318,0,1319,0,1327,10,1328,200000,1333,14,1331,15,1335,1267200,1316,0,:: :: :: ::,
1413,20,1415,0,1416,1267200,1417,0,1418,0,1419,0,1420,0,1424,4,1424,320000,1431,0,1430,26,1432,1267200,1417,0,:: :: :: ::,
1514,33,1514,0,1515,1267200,1516,0,1517,0,1517,0,1520,0,1524,9,1524,320000,1527,44,1526,29,1528,1267200,1516,0,:: :: :: ::,
1620,18,1621,0,1622,1958400,1622,0,1623,0,1624,0,1628,0,1632,9,1632,320000,1636,36,1634,31,1637,1267200,1623,0,:: :: :: ::,
1714,100,1715,0,1715,1958400,1716,0,1716,0,1717,0,1717,0,1731,22,1732,320000,1734,11,1733,57,1735,1958400,1716,0,:: :: :: ::,
1815,60,1816,0,1817,1958400,1819,0,1820,0,1820,0,1821,0,1828,29,1828,320000,1833,77,1829,68,1833,1958400,1819,0,:: :: :: ::,
1916,33,1916,0,1917,1958400,1919,0,1920,0,1921,0,1922,0,1924,12,1924,320000,1928,22,1925,22,1928,1958400,1920,0,:: :: :: ::,
2016,50,2017,0,2019,1958400,2019,0,2027,0,2028,0,2029,0,2032,25,2032,320000,2038,66,2033,63,2039,1958400,2021,0,:: :: :: ::,
2116,41,2117,0,2117,1958400,2118,0,2118,0,2119,0,2119,0,2122,15,2123,320000,2124,36,2124,38,2125,1267200,2118,0,:: :: :: ::,
2217,27,2218,0,2219,1267200,2220,0,2221,0,2221,0,2222,0,2245,6,2246,320000,2249,9,2247,24,2249,1267200,2220,0,:: :: :: ::,
2317,40,2318,0,2319,1267200,2320,0,2321,0,2322,0,2322,0,2326,4,2327,320000,2329,0,2328,13,2330,1267200,2320,0,:: :: :: ::,
2418,20,2419,0,2420,1267200,2420,0,2421,0,2422,0,2423,0,2426,2,2427,320000,2433,9,2428,10,2434,1267200,2421,0,:: :: :: ::,
2518,36,2519,0,2520,1958400,2521,0,2522,0,2522,0,2523,0,2526,8,2527,320000,2530,22,2528,23,2531,1958400,2521,0,:: :: :: ::,
2618,11,2619,0,2620,1728000,2620,0,2621,0,2621,0,2622,0,2626,6,2627,320000,2631,30,2629,22,2632,1958400,2620,0,:: :: :: ::,
2719,55,2720,0,2720,1728000,2721,0,2721,0,2722,0,2726,0,2747,30,2747,320000,2749,81,2748,75,2750,1958400,2721,0,:: :: :: ::,
2820,91,2820,1958400,2821,1958400,2821,0,2823,100,2823,0,2824,0,2827,41,2828,320000,2832,87,2830,88,2832,1958400,2758,0,:: :: :: ::,
2920,45,2920,1728000,2921,1728000,2922,0,2926,66,2927,0,2928,0,2943,37,2944,320000,2952,83,2951,66,2953,1958400,2759,0,:: :: :: ::,
