App,Package,Start Time,Duration,Filename
"System",,"May 4, 2014 @ 01:22:25 AM","6 min 16 sec",""

Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"GPU3D Load [%]",Time  [ms],"CPU Load - Normalized [%]",Time  [ms],"GPU3D Frequency [kHz]",Time  [ms],"CPU0 Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU0 Frequency [kHz]",Time  [ms],"Application State",Description,
0,53,1,0,6,1512000,7,0,7,1291080,8,0,9,0,9,0,16,0,16,320000,23,38,18,20,24,1512000,8,0,,
100,77,100,1512000,101,1512000,103,0,102,1291700,105,43,105,0,106,0,111,44,111,320000,114,100,113,0,115,1512000,103,0,,
201,33,202,1512000,203,1512000,205,0,204,1309552,207,40,208,0,208,0,213,35,214,320000,218,60,216,42,221,1512000,205,0,,
302,40,304,1026000,305,1026000,310,0,308,1309888,313,0,314,0,315,0,387,9,389,320000,395,7,392,0,398,1026000,310,0,,
402,63,404,0,405,1026000,407,0,406,1309536,409,0,409,0,410,0,418,11,418,320000,424,0,420,60,424,1512000,408,0,,
507,36,508,0,509,1512000,510,0,509,1309152,511,0,512,0,513,0,518,19,519,320000,523,63,521,40,524,1026000,510,0,,
608,10,610,0,611,1026000,614,0,613,1309152,615,0,616,0,617,0,627,6,628,320000,676,38,673,33,677,1026000,614,0,,
711,40,712,0,714,1026000,716,0,715,1309028,718,0,719,0,720,0,727,17,729,320000,734,60,731,33,735,1026000,717,0,,
812,0,814,0,815,1026000,817,0,816,1309028,819,0,820,0,824,0,876,11,877,320000,881,40,879,46,882,1026000,818,0,,
911,75,912,0,913,1026000,917,0,915,1309152,921,0,922,0,923,0,930,22,931,320000,936,80,934,58,938,1026000,920,0,,
1012,12,1022,0,1024,1026000,1026,0,1025,1309152,1027,0,1028,0,1029,0,1070,12,1071,320000,1075,50,1073,48,1076,1026000,1027,0,,
