App,Package,Start Time,Duration,Filename
"System",,"May 3, 2014 @ 12:47:27 PM","19 sec",""

Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"GPU3D Load [%]",Time  [ms],"CPU Load - Normalized [%]",Time  [ms],"GPU3D Frequency [kHz]",Time  [ms],"CPU0 Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU0 Frequency [kHz]",Time  [ms],"Application State",Description,
0,44,1,0,8,1574400,9,0,10,0,11,0,11,0,36,0,37,320000,50,32,45,38,60,1574400,10,0,,
112,91,113,1574400,114,1574400,114,1574400,116,48,117,55,117,0,142,30,142,320000,144,80,143,60,145,1574400,115,0,,
215,77,216,1574400,216,1574400,217,1574400,219,66,220,20,221,0,230,37,231,320000,233,44,232,52,234,1574400,217,0,,
315,63,316,1574400,317,1574400,317,0,322,44,322,0,323,0,328,27,329,320000,337,55,335,48,337,1574400,318,0,,
416,55,417,1574400,418,1574400,418,1574400,423,83,425,30,426,0,432,38,432,320000,435,81,433,73,438,1574400,419,0,,
519,63,521,1267200,522,1267200,523,1267200,525,33,526,30,527,0,552,25,553,320000,556,45,554,43,557,1267200,523,0,,
621,42,621,1574400,623,1574400,623,1574400,625,90,626,62,627,0,632,38,633,320000,635,42,634,66,636,1574400,624,0,,
723,88,724,1574400,728,1574400,729,1574400,731,50,733,25,733,0,747,34,748,320000,751,45,749,52,752,1574400,729,0,,
820,72,821,1574400,822,1574400,822,1574400,824,80,825,55,826,0,832,45,833,320000,836,57,835,66,837,1574400,823,0,,
921,54,925,1574400,925,1574400,926,1574400,927,80,928,90,929,0,934,44,934,320000,936,33,935,65,937,1574400,926,0,,
1021,88,1021,1574400,1022,1574400,1023,1574400,1024,11,1027,20,1028,0,1052,25,1053,320000,1056,40,1054,42,1057,1574400,1023,0,,
1122,70,1123,1574400,1124,1574400,1125,1574400,1129,81,1130,66,1131,0,1138,52,1139,320000,1145,87,1143,79,1146,1574400,1126,0,,
1222,70,1223,960000,1224,1574400,1225,1574400,1227,57,1229,63,1230,0,1249,38,1250,320000,1253,45,1251,59,1254,1267200,1226,0,,
1323,37,1324,1574400,1324,1574400,1325,1574400,1326,63,1328,66,1329,0,1334,36,1334,200000,1337,33,1336,51,1338,1574400,1325,0,,
1427,80,1428,1574400,1429,1574400,1429,0,1431,42,1431,0,1432,0,1448,28,1449,200000,1452,60,1450,71,1452,1574400,1429,0,,
1523,77,1524,1574400,1524,1574400,1525,0,1527,66,1528,0,1529,0,1533,35,1534,200000,1536,50,1535,58,1537,1574400,1526,0,,
1624,70,1624,1574400,1625,1574400,1625,0,1627,60,1627,0,1635,0,1650,34,1651,320000,1653,72,1652,71,1654,1267200,1625,0,,
1724,33,1725,1574400,1725,1574400,1726,0,1727,22,1727,0,1728,0,1731,15,1732,320000,1734,28,1733,18,1734,1267200,1726,0,,
1824,11,1828,1574400,1829,1267200,1829,0,1831,20,1831,0,1832,0,1852,7,1853,320000,1855,10,1854,21,1857,1574400,1829,0,,
1925,60,1926,1190400,1927,1574400,1927,0,1929,55,1930,0,1930,0,1934,27,1935,320000,1940,55,1936,50,1941,1267200,1928,0,,
2027,11,2028,1267200,2029,1267200,2029,0,2031,22,2032,0,2032,0,2042,8,2043,320000,2062,36,2060,37,2062,1267200,2030,0,,
2128,40,2129,1574400,2129,1574400,2130,0,2131,40,2132,0,2132,0,2138,17,2139,320000,2142,28,2141,22,2142,1574400,2130,0,,
2228,0,2229,960000,2229,1574400,2230,0,2231,20,2231,0,2232,0,2239,11,2239,320000,2241,30,2240,24,2242,1267200,2230,0,,
2330,27,2331,0,2332,1267200,2333,0,2334,0,2335,0,2336,0,2340,2,2341,320000,2344,0,2342,14,2345,1267200,2334,0,,
2429,11,2430,0,2431,1267200,2431,0,2432,0,2433,0,2433,0,2437,1,2437,320000,2440,12,2439,11,2441,1267200,2432,0,,
2530,27,2530,0,2531,1267200,2532,0,2532,0,2533,0,2534,0,2539,6,2540,320000,2560,18,2558,23,2560,1267200,2532,0,,
2630,22,2631,0,2632,1574400,2632,0,2633,0,2634,0,2634,0,2640,5,2641,320000,2643,0,2642,11,2643,1574400,2632,0,,
2732,18,2733,0,2734,1267200,2734,0,2735,0,2736,0,2736,0,2740,2,2741,320000,2744,11,2742,10,2744,1267200,2735,0,,
2834,0,2834,0,2835,1574400,2835,0,2836,0,2837,0,2837,0,2852,5,2853,320000,2856,20,2854,20,2856,1267200,2836,0,,
2931,22,2932,0,2933,1267200,2935,0,2936,0,2937,0,2937,0,2942,6,2942,320000,2947,25,2944,18,2948,1267200,2935,0,,
3032,33,3033,0,3034,1267200,3034,0,3035,0,3035,0,3036,0,3041,6,3042,320000,3047,27,3043,30,3047,1267200,3035,0,,
3132,40,3133,0,3134,1267200,3135,0,3136,0,3136,0,3137,0,3143,12,3144,320000,3147,41,3145,38,3147,1267200,3135,0,,
