App,Package,Start Time,Duration,Filename
"System",,"May 3, 2014 @ 10:33:41 AM","41 sec",""

Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"GPU3D Load [%]",Time  [ms],"CPU Load - Normalized [%]",Time  [ms],"GPU3D Frequency [kHz]",Time  [ms],"CPU0 Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU0 Frequency [kHz]",Time  [ms],"Application State",Description,
0,47,6,0,6,1512000,8,0,7,1291636,9,0,9,0,10,0,15,2,15,320000,19,21,17,10,20,1512000,8,0,,
108,60,109,0,110,1512000,111,0,111,1309996,112,0,112,0,113,0,119,30,120,320000,123,60,121,66,124,1512000,111,0,,
208,30,209,0,210,1026000,212,0,211,1310368,213,0,213,0,214,0,219,14,220,320000,224,20,222,25,225,1512000,212,0,,
308,36,309,0,310,1512000,311,0,311,1310616,312,0,314,0,315,0,377,13,379,320000,384,50,382,40,385,1512000,312,0,,
409,30,409,0,410,1512000,412,0,411,1311112,413,0,413,0,414,0,418,24,418,320000,423,0,420,25,424,1512000,412,0,,
511,40,512,0,513,1026000,515,0,514,1310728,517,0,518,0,519,0,525,15,526,320000,531,40,529,38,532,1026000,516,0,,
614,45,615,0,616,1026000,618,0,617,1310776,620,0,621,0,622,0,655,10,661,320000,666,50,664,42,667,1026000,618,0,,
712,36,713,0,714,1026000,717,0,716,1310776,718,0,719,0,720,0,729,15,730,320000,734,28,732,40,736,1026000,717,0,,
813,50,814,0,816,1026000,818,0,817,1310776,819,0,820,0,821,0,828,16,829,320000,834,33,832,42,835,1026000,818,0,,
913,30,915,0,916,1026000,920,0,919,1310776,922,0,923,0,924,0,960,7,961,320000,966,41,964,30,967,1026000,921,0,,
1013,28,1014,0,1015,1026000,1017,0,1016,1310776,1019,0,1020,0,1021,0,1030,17,1031,320000,1036,55,1034,53,1038,1026000,1018,0,,
1114,54,1115,0,1122,1512000,1124,0,1122,1312436,1125,0,1126,0,1126,0,1130,22,1131,320000,1134,66,1132,60,1135,1512000,1124,0,,
1214,55,1215,0,1217,1512000,1226,0,1225,1311724,1227,0,1229,0,1232,0,1250,37,1250,320000,1254,91,1252,78,1254,1512000,1226,0,,
1314,80,1315,1512000,1316,1512000,1317,0,1317,1313368,1319,38,1320,0,1320,0,1326,36,1327,320000,1348,66,1328,0,1349,1026000,1318,0,,
1415,100,1416,1026000,1417,1512000,1419,0,1418,1313336,1421,41,1422,0,1422,0,1428,41,1429,320000,1436,22,1433,58,1437,1026000,1419,0,,
1515,100,1516,1512000,1517,1512000,1518,0,1517,1313120,1520,40,1520,0,1521,0,1526,39,1527,320000,1536,30,1530,55,1537,1512000,1518,0,,
1617,72,1618,1512000,1619,1512000,1620,0,1620,1304796,1622,60,1623,0,1624,0,1629,45,1629,320000,1638,55,1634,63,1639,1512000,1621,0,,
1717,45,1718,1512000,1718,1512000,1720,0,1719,1304796,1722,33,1722,0,1723,0,1727,29,1728,400000,1732,36,1729,35,1733,1512000,1720,0,,
1817,40,1818,1512000,1820,1512000,1824,0,1823,1314212,1829,27,1831,0,1832,0,1839,26,1840,400000,1848,36,1843,41,1850,1026000,1825,0,,
1919,55,1919,0,1921,1512000,1923,0,1922,1315316,1924,0,1924,0,1925,0,1929,25,1930,400000,1934,55,1933,0,1935,1512000,1923,0,,
2019,40,2020,0,2020,1512000,2023,0,2022,1315316,2024,0,2024,0,2025,0,2049,15,2050,400000,2053,40,2052,39,2054,1512000,2023,0,,
2119,30,2120,0,2121,1512000,2122,0,2121,1315316,2122,0,2123,0,2123,0,2131,16,2132,400000,2141,14,2138,15,2142,1026000,2122,0,,
2221,50,2223,0,2224,1026000,2226,0,2225,1315440,2228,0,2229,0,2230,0,2237,12,2238,320000,2242,18,2240,37,2244,1026000,2227,0,,
2322,22,2323,0,2324,1026000,2329,0,2328,1315440,2330,0,2331,0,2332,0,2371,7,2373,320000,2377,38,2375,25,2379,1026000,2329,0,,
2421,11,2422,0,2422,1026000,2424,0,2423,1315316,2425,0,2425,0,2426,0,2430,11,2430,320000,2435,40,2432,18,2436,1512000,2424,0,,
2522,40,2523,0,2524,1512000,2525,0,2524,1315284,2526,0,2526,0,2527,0,2533,13,2534,320000,2539,10,2536,30,2540,1026000,2525,0,,
2623,27,2625,0,2626,1026000,2630,0,2629,1315188,2632,0,2633,0,2634,0,2669,5,2670,320000,2680,0,2677,26,2683,1026000,2631,0,,
2723,60,2724,0,2725,1512000,2726,0,2725,1315312,2727,0,2727,0,2728,0,2734,17,2735,320000,2739,33,2737,33,2740,1512000,2726,0,,
