App,Package,Start Time,Duration,Filename
"System",,"May 4, 2014 @ 01:34:19 AM","14 min 11 sec",""

Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Battery Power [uW]",Time  [ms],"Application State",Description,
0,0,5,1282892,10,699000,6,0,,
74,0,106,1286724,109,699000,106,0,,
105,0,206,1286848,209,699000,206,0,,
205,0,306,1286848,309,699000,307,0,,
306,0,407,1284160,410,699000,407,0,,
406,0,507,1284160,510,1408000,507,0,,
506,0,608,1284160,611,1408000,608,0,,
607,0,708,1284240,711,1408000,708,0,,
707,0,809,1284240,812,1408000,809,0,,
807,0,909,1284240,912,1408000,909,0,,
908,0,1009,1286272,1013,1408000,1009,0,,
1008,0,1110,1286396,1113,1408000,1110,0,,
1109,0,1210,1286708,1213,1408000,1210,0,,
1209,0,1310,1286304,1314,1408000,1311,0,,
1309,0,1412,1286428,1415,1408000,1413,0,,
1410,0,1511,1285036,1515,1619000,1511,0,,
1510,0,1612,1286280,1617,1619000,1612,0,,
1610,0,1712,1277240,1716,1619000,1712,0,,
1711,0,1813,1277240,1817,1619000,1814,0,,
1812,0,1918,1289324,1923,1619000,1918,0,,
1917,0,2018,1288684,2021,1619000,2018,0,,
2017,0,2118,1288808,2121,1619000,2118,0,,
2117,0,2219,1288808,2222,1619000,2219,0,,
2218,0,2319,1288808,2329,1619000,2319,0,,
2318,0,2421,1289612,2424,1619000,2421,0,,
2420,0,2521,1284388,2524,1961000,2521,0,,
2520,0,2621,1274852,2626,1961000,2621,0,,
2620,0,2724,1275688,2736,1961000,2724,0,,
2721,0,2822,1265264,2825,1961000,2822,0,,
2821,0,2923,1265264,2926,1961000,2923,0,,
2922,0,3023,1265264,3026,1961000,3023,0,,
3022,0,3124,1265264,3127,1961000,3124,0,,
3122,0,3224,1265124,3228,1961000,3225,0,,
3223,0,3325,1265124,3329,1961000,3325,0,,
3323,0,3425,1265124,3429,1961000,3426,0,,
3424,0,3526,1265124,3530,1499000,3526,0,,
3524,0,3626,1265124,3630,1499000,3627,0,,
3625,0,3726,1283424,3730,1499000,3727,0,,
3725,0,3827,1288776,3833,1499000,3827,0,,
3826,0,3927,1297920,3931,1499000,3907,417,Cutcp::Java::IO::Start,
3926,0,4028,1298292,4032,1499000,3927,417,Cutcp::Java::IO::Start,
4027,0,4128,1298416,4131,1499000,4028,417,Cutcp::Java::IO::Start,
4127,0,4229,1298912,4232,1499000,4128,417,Cutcp::Java::IO::Start,
4228,0,4329,1298912,4333,1499000,4229,417,Cutcp::Java::IO::Start,
4329,0,4430,1299036,4434,1499000,4330,417,Cutcp::Java::IO::Start,
4429,0,4531,1299036,4535,2114000,4430,417,Cutcp::Java::IO::Start,
4530,0,4631,1298920,4635,2114000,4531,417,Cutcp::Java::IO::Start,
4630,0,4731,1298920,4735,2114000,4631,417,Cutcp::Java::IO::Start,
4730,0,4833,1299044,4841,2114000,4731,417,Cutcp::Java::IO::Start,
4833,0,4932,1298920,4936,2114000,4834,417,Cutcp::Java::IO::Start,
4931,0,5032,1298920,5036,2114000,4932,417,Cutcp::Java::IO::Start,
5031,0,5133,1298920,5137,2114000,5032,417,Cutcp::Java::IO::Start,
5132,0,5235,1299168,5239,2114000,5133,417,Cutcp::Java::IO::Start,
5232,0,5333,1299292,5337,2114000,5235,417,Cutcp::Java::IO::Start,
5332,0,5434,1299292,5438,2114000,5333,417,Cutcp::Java::IO::Start,
5433,0,5534,1299416,5538,2393000,5434,417,Cutcp::Java::IO::Start,
5533,0,5634,1299292,5639,2393000,5534,417,Cutcp::Java::IO::Start,
5633,0,5735,1299292,5740,2393000,5634,417,Cutcp::Java::IO::Start,
5734,0,5836,1299292,5841,2393000,5736,417,Cutcp::Java::IO::Start,
5835,0,5936,1299292,5942,2393000,5836,417,Cutcp::Java::IO::Start,
5935,0,6038,1299416,6042,2393000,5937,417,Cutcp::Java::IO::Start,
6036,0,6137,1299292,6141,2393000,6038,417,Cutcp::Java::IO::Start,
6136,0,6237,1299292,6242,2393000,6137,417,Cutcp::Java::IO::Start,
6237,0,6338,1299416,6342,2393000,6238,417,Cutcp::Java::IO::Start,
6337,0,6438,1299292,6442,2393000,6338,417,Cutcp::Java::IO::Start,
6437,0,6539,1299540,6543,2364000,6439,417,Cutcp::Java::IO::Start,
6538,0,6639,1299788,6643,2364000,6539,417,Cutcp::Java::IO::Start,
6638,0,6739,1299664,6743,2364000,6639,417,Cutcp::Java::IO::Start,
