App,Package,Start Time,Duration,Filename
"System",,"May 3, 2014 @ 03:39:43 PM","1 min 33 sec",""

Time  [ms],"Battery Status",Time  [ms],"Battery Power [uW]",Time  [ms],"Application State",Description,
0,0,20,2855651,0,0,,
49,0,121,2340110,101,0,,
101,0,222,1744826,202,0,,
201,0,351,1185574,302,0,,
302,0,422,1285197,402,0,,
402,0,523,1258360,503,0,,
502,0,623,1431664,603,0,,
603,0,724,2414486,705,0,,
704,0,825,2360688,805,0,,
805,0,929,4177101,906,0,,
905,0,1026,1668489,1006,0,,
1006,0,1126,1684022,1106,0,,
1106,0,1226,1631444,1206,0,,
1206,0,1327,1235621,1307,0,,
1306,0,1456,1295573,1407,0,,
1407,0,1552,1532774,1507,0,,
1507,0,1628,1444737,1607,0,,
1607,0,1730,3063636,1708,0,,
1707,0,1828,4042814,1808,0,,
1808,0,1928,3723676,1909,0,,
1908,0,2030,1950475,2009,0,,
2009,0,2130,1410990,2109,0,,
2109,0,2230,1186456,2210,0,,
2210,0,2330,1195681,2310,0,,
2310,0,2432,3323358,2412,0,,
2412,0,2532,2953247,2512,0,,
2512,0,2655,2655571,2612,0,,
2612,0,2733,2305586,2712,0,,
2712,0,2832,2508229,2813,0,,
2812,0,2933,3186343,2913,0,,
2913,0,3034,3058796,3013,0,,
3013,0,3134,2965175,3114,0,,
3114,0,3235,2978821,3185,598,Histogram::NativeC::IO::Start,
3214,0,3334,2851451,3214,598,Histogram::NativeC::IO::Start,
3314,0,3435,2712598,3314,598,Histogram::NativeC::IO::Start,
3415,0,3535,2708045,3415,598,Histogram::NativeC::IO::Start,
3515,0,3635,2421595,3515,598,Histogram::NativeC::IO::Start,
3615,0,3763,2788504,3615,598,Histogram::NativeC::IO::Start,
3715,0,3848,2294224,3715,598,Histogram::NativeC::IO::Start,
3815,0,3938,2157096,3816,598,Histogram::NativeC::IO::Start,
3916,0,4038,2964199,3916,598,Histogram::NativeC::IO::Start,
4018,0,4137,2737272,4018,598,Histogram::NativeC::IO::Start,
4117,0,4237,2788519,4117,598,Histogram::NativeC::IO::Start,
4217,0,4338,2759288,4217,598,Histogram::NativeC::IO::Start,
4317,0,4438,2692718,4318,598,Histogram::NativeC::IO::Start,
4418,0,4538,2708239,4418,598,Histogram::NativeC::IO::Start,
