App,Package,Start Time,Duration,Filename
"System",,"May 4, 2014 @ 01:08:15 AM","4 min 23 sec",""

Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Battery Power [uW]",Time  [ms],"Application State",Description,
0,0,1,1280888,5,53000,2,0,,
80,0,155,1284596,159,53000,155,0,,
154,0,205,1284596,210,53000,205,0,,
204,0,305,1284596,310,1549000,305,0,,
304,0,405,1281948,408,1549000,406,0,,
405,0,506,1281948,509,1549000,506,0,,
505,0,606,1281948,611,1549000,607,0,,
605,0,707,1281948,711,1549000,707,0,,
706,0,807,1281948,811,1549000,807,0,,
806,0,908,1281948,912,1549000,908,0,,
907,0,1008,1282072,1012,1549000,1008,0,,
1007,0,1110,1282072,1114,1549000,1110,0,,
1107,0,1209,1282072,1213,1549000,1209,0,,
1208,0,1309,1282072,1314,1381000,1310,0,,
1308,0,1409,1283920,1413,1381000,1409,0,,
1408,0,1510,1283144,1513,1381000,1510,0,,
1451,0,1610,1282880,1615,1381000,1610,0,,
1509,0,1711,1275472,1719,1381000,1711,0,,
1609,0,1811,1275472,1816,1381000,1811,0,,
1709,0,1911,1275472,1917,1381000,1913,0,,
1810,0,2011,1286604,2015,1381000,2012,0,,
1910,0,2113,1286540,2117,1381000,2113,0,,
2010,0,2212,1286664,2218,1381000,2212,0,,
2111,0,2312,1286788,2318,2227000,2313,0,,
2211,0,2413,1287532,2417,2227000,2413,0,,
2311,0,2513,1293908,2517,2227000,2513,0,,
2412,0,2614,1272936,2618,2227000,2614,0,,
2512,0,2715,1272936,2720,2227000,2715,0,,
2613,0,2815,1262676,2819,2227000,2815,0,,
2713,0,2916,1262676,2921,2227000,2917,0,,
2814,0,3017,1262676,3022,2227000,3017,0,,
2915,0,3118,1262596,3122,2227000,3118,0,,
3015,0,3218,1262596,3223,2227000,3218,0,,
3116,0,3318,1262596,3323,1526000,3319,0,,
3216,0,3418,1272444,3423,1526000,3419,0,,
3317,0,3519,1285044,3526,1526000,3521,0,,
3417,0,3619,1291672,3622,1526000,3609,598,Histogram::NativeC::IO::Start,
3518,0,3720,1295268,3723,1526000,3619,598,Histogram::NativeC::IO::Start,
3618,0,3821,1295516,3825,1526000,3720,598,Histogram::NativeC::IO::Start,
3719,0,3921,1295648,3925,1526000,3821,598,Histogram::NativeC::IO::Start,
3820,0,4021,1295648,4025,1526000,3921,598,Histogram::NativeC::IO::Start,
3920,0,4122,1295772,4126,1526000,4021,598,Histogram::NativeC::IO::Start,
4020,0,4222,1295772,4225,1526000,4122,598,Histogram::NativeC::IO::Start,
4121,0,4322,1295772,4325,2068000,4222,598,Histogram::NativeC::IO::Start,
4221,0,4422,1295772,4426,2068000,4322,598,Histogram::NativeC::IO::Start,
4321,0,4523,1295896,4532,2068000,4423,598,Histogram::NativeC::IO::Start,
4422,0,4623,1296268,4626,2068000,4523,598,Histogram::NativeC::IO::Start,
4522,0,4723,1296268,4726,2068000,4623,598,Histogram::NativeC::IO::Start,
4622,0,4824,1296268,4827,2068000,4723,598,Histogram::NativeC::IO::Start,
4722,0,4924,1296392,4927,2068000,4824,598,Histogram::NativeC::IO::Start,
4823,0,5024,1296392,5028,2068000,4924,598,Histogram::NativeC::IO::Start,
4923,0,5131,1296516,5136,2068000,5024,598,Histogram::NativeC::IO::Start,
5023,0,5226,1296516,5230,2068000,5131,598,Histogram::NativeC::IO::Start,
5124,0,5326,1296392,5330,2195000,5226,598,Histogram::NativeC::IO::Start,
5225,0,5428,1296392,5431,2195000,5326,598,Histogram::NativeC::IO::Start,
5325,0,5527,1296392,5531,2195000,5428,598,Histogram::NativeC::IO::Start,
5425,0,5628,1296392,5631,2195000,5527,598,Histogram::NativeC::IO::Start,
5526,0,5728,1296516,5731,2195000,5628,598,Histogram::NativeC::IO::Start,
5627,0,5828,1296640,5832,2195000,5728,598,Histogram::NativeC::IO::Start,
5727,0,5929,1296640,5933,2195000,5829,598,Histogram::NativeC::IO::Start,
5828,0,6029,1296640,6033,2195000,5929,598,Histogram::NativeC::IO::Start,
5928,0,6129,1296640,6133,2195000,6029,598,Histogram::NativeC::IO::Start,
6028,0,6230,1296764,6233,2195000,6130,598,Histogram::NativeC::IO::Start,
6129,0,6330,1296764,6333,2248000,6230,598,Histogram::NativeC::IO::Start,
6229,0,6431,1296764,6435,2248000,6330,598,Histogram::NativeC::IO::Start,
6329,0,6532,1296764,6537,2248000,6431,598,Histogram::NativeC::IO::Start,
6430,0,6632,1296888,6637,2248000,6532,598,Histogram::NativeC::IO::Start,
6531,0,6733,1296888,6737,2248000,6632,598,Histogram::NativeC::IO::Start,
6631,0,6834,1296888,6839,2248000,6733,598,Histogram::NativeC::IO::Start,
6732,0,6935,1296888,6939,2248000,6834,598,Histogram::NativeC::IO::Start,
6833,0,7036,1296888,7040,2248000,6935,598,Histogram::NativeC::IO::Start,
6934,0,7137,1297012,7141,2248000,7036,598,Histogram::NativeC::IO::Start,
7035,0,7237,1297012,7241,2248000,7137,598,Histogram::NativeC::IO::Start,
7136,0,7337,1297012,7342,2149000,7237,598,Histogram::NativeC::IO::Start,
7236,0,7438,1297012,7442,2149000,7338,598,Histogram::NativeC::IO::Start,
7337,0,7539,1297136,7544,2149000,7439,598,Histogram::NativeC::IO::Start,
7437,0,7639,1297136,7644,2149000,7539,598,Histogram::NativeC::IO::Start,
7538,0,7739,1297136,7744,2149000,7639,598,Histogram::NativeC::IO::Start,
7638,0,7840,1297136,7845,2149000,7739,598,Histogram::NativeC::IO::Start,
7738,0,7940,1297260,7944,2149000,7840,598,Histogram::NativeC::IO::Start,
7839,0,8040,1297260,8045,2149000,7940,598,Histogram::NativeC::IO::Start,
7939,0,8141,1297260,8146,2149000,8040,598,Histogram::NativeC::IO::Start,
8039,0,8241,1297260,8245,2149000,8141,598,Histogram::NativeC::IO::Start,
8140,0,8341,1297384,8345,2113000,8241,598,Histogram::NativeC::IO::Start,
8240,0,8442,1297384,8446,2113000,8341,598,Histogram::NativeC::IO::Start,
8340,0,8542,1297384,8547,2113000,8442,598,Histogram::NativeC::IO::Start,
8441,0,8642,1297384,8652,2113000,8542,598,Histogram::NativeC::IO::Start,
8541,0,8743,1297508,8747,2113000,8643,598,Histogram::NativeC::IO::Start,
8641,0,8844,1297508,8849,2113000,8743,598,Histogram::NativeC::IO::Start,
8742,0,8945,1297384,8949,2113000,8844,598,Histogram::NativeC::IO::Start,
8843,0,9045,1297508,9049,2113000,8945,598,Histogram::NativeC::IO::Start,
8944,0,9145,1297632,9149,2113000,9046,598,Histogram::NativeC::IO::Start,
9044,0,9246,1297632,9250,2113000,9146,598,Histogram::NativeC::IO::Start,
9145,0,9346,1297632,9350,2093000,9246,598,Histogram::NativeC::IO::Start,
9245,0,9446,1297632,9450,2093000,9346,598,Histogram::NativeC::IO::Start,
9345,0,9548,1297756,9551,2093000,9447,598,Histogram::NativeC::IO::Start,
9446,0,9648,1297756,9654,2093000,9548,598,Histogram::NativeC::IO::Start,
9547,0,9748,1297756,9752,2093000,9648,598,Histogram::NativeC::IO::Start,
9647,0,9849,1297756,9853,2093000,9748,598,Histogram::NativeC::IO::Start,
9747,0,9949,1297756,9953,2093000,9849,598,Histogram::NativeC::IO::Start,
9848,0,10049,1297880,10053,2093000,9949,598,Histogram::NativeC::IO::Start,
9948,0,10150,1297880,10154,2093000,10049,598,Histogram::NativeC::IO::Start,
10048,0,10250,1297880,10255,2093000,10150,598,Histogram::NativeC::IO::Start,
10149,0,10351,1297880,10355,2101000,10250,598,Histogram::NativeC::IO::Start,
10249,0,10451,1298128,10456,2101000,10351,598,Histogram::NativeC::IO::Start,
10350,0,10552,1298128,10557,2101000,10451,598,Histogram::NativeC::IO::Start,
10450,0,10652,1298004,10658,2101000,10552,598,Histogram::NativeC::IO::Start,
10550,0,10752,1297880,10756,2101000,10652,598,Histogram::NativeC::IO::Start,
10651,0,10853,1297756,10857,2101000,10753,598,Histogram::NativeC::IO::Start,
10751,0,10953,1297632,10958,2101000,10854,598,Histogram::NativeC::IO::Start,
10852,0,11053,1297632,11057,2101000,10954,598,Histogram::NativeC::IO::Start,
10952,0,11154,1297756,11158,2101000,11054,598,Histogram::NativeC::IO::Start,
11052,0,11254,1297632,11258,2101000,11154,598,Histogram::NativeC::IO::Start,
11153,0,11356,1297632,11360,2084000,11255,598,Histogram::NativeC::IO::Start,
11253,0,11455,1297632,11459,2084000,11356,598,Histogram::NativeC::IO::Start,
11354,0,11555,1297632,11559,2084000,11455,598,Histogram::NativeC::IO::Start,
11454,0,11656,1297632,11660,2084000,11556,598,Histogram::NativeC::IO::Start,
11554,0,11757,1297756,11761,2084000,11656,598,Histogram::NativeC::IO::Start,
11655,0,11857,1297756,11861,2084000,11757,598,Histogram::NativeC::IO::Start,
11756,0,11957,1297880,11962,2084000,11857,598,Histogram::NativeC::IO::Start,
11856,0,12058,1297756,12061,2084000,11958,598,Histogram::NativeC::IO::Start,
11956,0,12158,1297880,12162,2084000,12058,598,Histogram::NativeC::IO::Start,
12057,0,12258,1297880,12263,2084000,12158,598,Histogram::NativeC::IO::Start,
12157,0,12359,1297880,12364,2080000,12259,598,Histogram::NativeC::IO::Start,
12257,0,12459,1297880,12464,2080000,12359,598,Histogram::NativeC::IO::Start,
12358,0,12569,1298004,12573,2080000,12459,598,Histogram::NativeC::IO::Start,
12458,0,12669,1298004,12673,2080000,12569,598,Histogram::NativeC::IO::Start,
12568,0,12769,1298004,12774,2080000,12669,598,Histogram::NativeC::IO::Start,
12668,0,12870,1298004,12874,2080000,12770,598,Histogram::NativeC::IO::Start,
12769,0,12970,1298252,12974,2080000,12870,598,Histogram::NativeC::IO::Start,
12869,0,13070,1298128,13075,2080000,12970,598,Histogram::NativeC::IO::Start,
12969,0,13171,1298128,13176,2080000,13071,598,Histogram::NativeC::IO::Start,
13070,0,13271,1298128,13276,2088000,13171,598,Histogram::NativeC::IO::Start,
13170,0,13371,1298128,13376,2088000,13271,598,Histogram::NativeC::IO::Start,
13270,0,13472,1298128,13477,2088000,13372,598,Histogram::NativeC::IO::Start,
13371,0,13573,1298128,13577,2088000,13472,598,Histogram::NativeC::IO::Start,
13471,0,13673,1298004,13678,2088000,13573,598,Histogram::NativeC::IO::Start,
13571,0,13776,1298252,13782,2088000,13674,598,Histogram::NativeC::IO::Start,
13672,0,13877,1298376,13880,2088000,13776,598,Histogram::NativeC::IO::Start,
13775,0,13977,1298376,13981,2088000,13877,598,Histogram::NativeC::IO::Start,
13876,0,14078,1298376,14086,2088000,13978,598,Histogram::NativeC::IO::Start,
13976,0,14178,1298500,14181,2088000,14078,598,Histogram::NativeC::IO::Start,
14077,0,14278,1298500,14282,2088000,14178,598,Histogram::NativeC::IO::Start,
14177,0,14379,1298500,14383,2088000,14278,598,Histogram::NativeC::IO::Start,
14277,0,14479,1298500,14483,2088000,14379,598,Histogram::NativeC::IO::Start,
14378,0,14579,1298500,14583,2088000,14479,598,Histogram::NativeC::IO::Start,
14478,0,14680,1298748,14685,2088000,14579,598,Histogram::NativeC::IO::Start,
14578,0,14782,1298748,14789,2088000,14680,598,Histogram::NativeC::IO::Start,
14679,0,14882,1298748,14890,2088000,14782,598,Histogram::NativeC::IO::Start,
14781,0,14982,1298748,14996,2088000,14882,598,Histogram::NativeC::IO::Start,
14881,0,15084,1298748,15099,2088000,14982,598,Histogram::NativeC::IO::Start,
14981,0,15185,1298872,15189,2088000,15085,598,Histogram::NativeC::IO::Start,
15083,0,15285,1298872,15289,2108000,15185,598,Histogram::NativeC::IO::Start,
15183,0,15385,1298748,15389,2108000,15285,598,Histogram::NativeC::IO::Start,
15284,0,15486,1298996,15490,2108000,15386,598,Histogram::NativeC::IO::Start,
15384,0,15586,1298996,15590,2108000,15486,598,Histogram::NativeC::IO::Start,
15485,0,15686,1298996,15690,2108000,15586,598,Histogram::NativeC::IO::Start,
15585,0,15787,1298996,15791,2108000,15687,598,Histogram::NativeC::IO::Start,
15685,0,15887,1299244,15891,2108000,15787,598,Histogram::NativeC::IO::Start,
15786,0,15987,1299120,15992,2108000,15887,598,Histogram::NativeC::IO::Start,
15886,0,16088,1299120,16092,2108000,15988,598,Histogram::NativeC::IO::Start,
15986,0,16188,1299244,16198,2108000,16088,598,Histogram::NativeC::IO::Start,
16087,0,16288,1299120,16292,2079000,16188,598,Histogram::NativeC::IO::Start,
16187,0,16389,1299120,16393,2079000,16289,598,Histogram::NativeC::IO::Start,
16287,0,16490,1299244,16495,2079000,16389,598,Histogram::NativeC::IO::Start,
16388,0,16592,1299120,16596,2079000,16490,598,Histogram::NativeC::IO::Start,
16489,0,16693,1299120,16697,2079000,16592,598,Histogram::NativeC::IO::Start,
16591,0,16793,1299120,16798,2079000,16693,598,Histogram::NativeC::IO::Start,
16691,0,16893,1299120,16898,2079000,16794,598,Histogram::NativeC::IO::Start,
16791,0,16993,1299988,16997,2079000,16894,598,Histogram::NativeC::IO::Start,
16892,0,17094,1300236,17098,2079000,16967,599,Histogram::NativeC::IO::Stop,
16992,0,17194,1300112,17198,2079000,16968,669,Histogram::NativeC::Allocate::Start,
17093,0,17300,1300608,17304,2137000,16972,670,Histogram::NativeC::Allocate::Stop,
17193,0,17400,1300608,17404,2137000,16973,592,Histogram::NativeC::Init::Start,
17299,0,17501,1300608,17504,2137000,16975,593,Histogram::NativeC::Init::Stop,
17399,0,17601,1300608,17606,2137000,16977,27,Histogram::NativeC::Setup::Start,
17500,0,17702,1300608,17707,2137000,16980,28,Histogram::NativeC::Setup::Stop,
17600,0,17802,1300608,17807,2137000,16981,669,Histogram::NativeC::Allocate::Start,
17701,0,17902,1300608,17906,2137000,16982,670,Histogram::NativeC::Allocate::Stop,
17801,0,18003,1300608,18008,2137000,16994,670,Histogram::NativeC::Allocate::Stop,
17902,0,18104,1300608,18108,2137000,17026,911,Histogram::NativeC::Compute::Start,
18002,0,18204,1300484,18209,2137000,17094,911,Histogram::NativeC::Compute::Start,
18102,0,18305,1300608,18309,2184000,17195,911,Histogram::NativeC::Compute::Start,
18203,0,18406,1300608,18410,2184000,17300,911,Histogram::NativeC::Compute::Start,
18304,0,18506,1300484,18517,2184000,17401,911,Histogram::NativeC::Compute::Start,
18404,0,18606,1300608,18609,2184000,17501,911,Histogram::NativeC::Compute::Start,
18505,0,18706,1300608,18710,2184000,17602,911,Histogram::NativeC::Compute::Start,
18605,0,18807,1300608,18811,2184000,17702,911,Histogram::NativeC::Compute::Start,
18705,0,18907,1300732,18911,2184000,17802,911,Histogram::NativeC::Compute::Start,
18806,0,19007,1300608,19011,2184000,17903,911,Histogram::NativeC::Compute::Start,
18906,0,19108,1300608,19112,2184000,18003,911,Histogram::NativeC::Compute::Start,
19006,0,19208,1300732,19212,2184000,18104,911,Histogram::NativeC::Compute::Start,
19107,0,19308,1300608,19312,2185000,18205,911,Histogram::NativeC::Compute::Start,
19207,0,19409,1300608,19411,2185000,18305,911,Histogram::NativeC::Compute::Start,
19308,0,19509,1300856,19512,2185000,18406,911,Histogram::NativeC::Compute::Start,
19408,0,19609,1296020,19617,2185000,18506,911,Histogram::NativeC::Compute::Start,
19508,0,19711,1296268,19714,2185000,18606,911,Histogram::NativeC::Compute::Start,
19609,0,19812,1296268,19817,2185000,18706,911,Histogram::NativeC::Compute::Start,
19710,0,19912,1296268,19919,2185000,18807,911,Histogram::NativeC::Compute::Start,
19811,0,20013,1296144,20017,2185000,18907,911,Histogram::NativeC::Compute::Start,
