App,Package,Start Time,Duration,Filename
"System",,"May 3, 2014 @ 03:41:56 PM","5 min 18 sec",""

Time  [ms],"Battery Status",Time  [ms],"Battery Power [uW]",Time  [ms],"Application State",Description,
0,0,22,2328311,0,0,,
27,0,123,1702303,101,0,,
101,0,223,1361919,202,0,,
202,0,323,1370931,302,0,,
302,0,449,2039798,403,0,,
402,0,523,1297920,503,0,,
503,0,624,1379160,604,0,,
603,0,723,1809885,704,0,,
703,0,826,2128252,804,0,,
804,0,924,2646725,904,0,,
904,0,1027,3331871,1005,0,,
1004,0,1126,4019889,1106,0,,
1105,0,1228,3834213,1207,0,,
1205,0,1334,3211635,1306,0,,
1306,0,1430,2918247,1407,0,,
1406,0,1563,2461610,1508,0,,
1508,0,1660,2861307,1608,0,,
1608,0,1728,2441604,1708,0,,
1708,0,1829,3760457,1808,0,,
1808,0,1928,2720846,1909,0,,
1908,0,2039,4011035,2011,0,,
2009,0,2129,3167897,2109,0,,
2109,0,2229,3550693,2210,0,,
2209,0,2330,1447358,2310,0,,
2310,0,2430,2429599,2410,0,,
2410,0,2530,3419846,2510,0,,
2510,0,2630,2494753,2611,0,,
2610,0,2753,2955512,2711,0,,
2711,0,2831,1365099,2811,0,,
2811,0,2931,1340485,2911,0,,
2911,0,3032,1719406,3012,0,,
3012,0,3132,1775585,3112,0,,
3112,0,3233,1683480,3213,0,,
3213,0,3334,1534781,3314,0,,
3314,0,3435,1359412,3414,0,,
3414,0,3536,1372927,3515,0,,
3515,0,3636,2687112,3615,0,,
3615,0,3738,3471827,3715,0,,
3715,0,3859,2544212,3763,27,Mriq::Java::IO::Start,
3815,0,3955,3585270,3815,27,Mriq::Java::IO::Start,
3916,0,4036,3094762,3916,27,Mriq::Java::IO::Start,
4016,0,4136,3451217,4016,27,Mriq::Java::IO::Start,
4116,0,4237,2749126,4116,27,Mriq::Java::IO::Start,
4216,0,4336,2617692,4216,27,Mriq::Java::IO::Start,
4316,0,4437,2664284,4317,27,Mriq::Java::IO::Start,
4417,0,4537,2790411,4417,27,Mriq::Java::IO::Start,
4517,0,4637,2663558,4517,27,Mriq::Java::IO::Start,
4617,0,4737,2659836,4617,27,Mriq::Java::IO::Start,
4717,0,4837,2642047,4717,27,Mriq::Java::IO::Start,
4817,0,4944,3036029,4818,27,Mriq::Java::IO::Start,
4918,0,5061,3415522,4918,27,Mriq::Java::IO::Start,
5018,0,5138,2200567,5018,27,Mriq::Java::IO::Start,
5118,0,5238,2658386,5118,27,Mriq::Java::IO::Start,
