App,Package,Start Time,Duration,Filename
"System",,"May 4, 2014 @ 12:44:41 AM","8 min 27 sec",""

Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Battery Power [uW]",Time  [ms],"Application State",Description,
0,0,1,1286916,8,872000,1,0,,
79,0,105,1286916,108,872000,105,0,,
104,0,205,1296260,209,872000,206,0,,
205,0,306,1296260,310,872000,306,0,,
305,0,408,1296632,412,872000,408,0,,
405,0,507,1295620,512,872000,507,0,,
506,0,608,1295620,613,872000,608,0,,
606,0,708,1295620,715,872000,708,0,,
707,0,809,1295620,814,872000,809,0,,
807,0,909,1295620,915,872000,910,0,,
908,0,1010,1295620,1014,1345000,1010,0,,
1008,0,1110,1295620,1114,1345000,1110,0,,
1109,0,1213,1297276,1217,1345000,1213,0,,
1210,0,1310,1296752,1313,1345000,1310,0,,
1310,0,1411,1297900,1414,1345000,1411,0,,
1410,0,1511,1297248,1514,1345000,1511,0,,
1510,0,1612,1297372,1615,1345000,1612,0,,
1611,0,1714,1306988,1717,1345000,1714,0,,
1711,0,1812,1288396,1815,1345000,1813,0,,
1811,0,1913,1288396,1916,1345000,1913,0,,
1912,0,2013,1309896,2016,1826000,2014,0,,
2013,0,2114,1299656,2118,1826000,2114,0,,
2113,0,2214,1299528,2218,1826000,2215,0,,
2213,0,2315,1299528,2322,1826000,2315,0,,
2314,0,2416,1299528,2419,1826000,2416,0,,
2414,0,2518,1299528,2521,1826000,2518,0,,
2516,0,2618,1299900,2625,1826000,2618,0,,
2616,0,2718,1300272,2721,1826000,2718,0,,
2717,0,2820,1287048,2823,1826000,2820,0,,
2817,0,2919,1286528,2922,1826000,2919,0,,
2918,0,3019,1286528,3022,1708000,3019,0,,
3018,0,3119,1276228,3122,1708000,3119,0,,
3118,0,3220,1276228,3223,1708000,3220,0,,
3219,0,3320,1276212,3324,1708000,3320,0,,
3319,0,3420,1276212,3424,1708000,3421,0,,
3419,0,3521,1276212,3525,1708000,3521,0,,
3520,0,3621,1276212,3625,1708000,3622,0,,
3620,0,3721,1276212,3725,1708000,3722,0,,
3720,0,3822,1276088,3827,1708000,3823,0,,
3821,0,3923,1276088,3928,1708000,3924,0,,
3922,0,4024,1294264,4029,1198000,4024,0,,
4022,0,4124,1294528,4130,1198000,4124,0,,
4123,0,4225,1298384,4228,1198000,4225,0,,
4223,0,4324,1305720,4327,1198000,4324,0,,
4323,0,4425,1304832,4428,1198000,4346,27,Mriq::Java::IO::Start,
4424,0,4525,1304832,4529,1198000,4425,27,Mriq::Java::IO::Start,
4524,0,4625,1304864,4629,1198000,4525,27,Mriq::Java::IO::Start,
4624,0,4726,1304616,4729,1198000,4625,27,Mriq::Java::IO::Start,
4725,0,4826,1304740,4835,1198000,4726,27,Mriq::Java::IO::Start,
4825,0,4927,1304616,4931,1198000,4826,27,Mriq::Java::IO::Start,
4926,0,5027,1304492,5031,2043000,4927,27,Mriq::Java::IO::Start,
5026,0,5127,1304616,5131,2043000,5027,27,Mriq::Java::IO::Start,
5126,0,5228,1304616,5234,2043000,5128,27,Mriq::Java::IO::Start,
5227,0,5329,1304740,5334,2043000,5228,27,Mriq::Java::IO::Start,
5327,0,5429,1304740,5434,2043000,5329,27,Mriq::Java::IO::Start,
5428,0,5529,1304740,5534,2043000,5429,27,Mriq::Java::IO::Start,
5528,0,5630,1304492,5633,2043000,5529,27,Mriq::Java::IO::Start,
5628,0,5730,1304616,5735,2043000,5630,27,Mriq::Java::IO::Start,
5729,0,5830,1304616,5841,2043000,5730,27,Mriq::Java::IO::Start,
5830,0,5932,1304616,5936,2043000,5831,27,Mriq::Java::IO::Start,
5931,0,6032,1304368,6036,2224000,5932,27,Mriq::Java::IO::Start,
6031,0,6132,1304740,6136,2224000,6032,27,Mriq::Java::IO::Start,
6131,0,6232,1304740,6236,2224000,6132,27,Mriq::Java::IO::Start,
6232,0,6333,1304740,6337,2224000,6233,27,Mriq::Java::IO::Start,
6332,0,6433,1304368,6437,2224000,6333,27,Mriq::Java::IO::Start,
6432,0,6533,1304740,6537,2224000,6433,27,Mriq::Java::IO::Start,
6533,0,6634,1304740,6638,2224000,6534,27,Mriq::Java::IO::Start,
6633,0,6734,1304740,6738,2224000,6634,27,Mriq::Java::IO::Start,
6733,0,6836,1304740,6843,2224000,6734,27,Mriq::Java::IO::Start,
6834,0,6935,1304616,6939,2224000,6836,27,Mriq::Java::IO::Start,
6934,0,7036,1304368,7040,2191000,6935,27,Mriq::Java::IO::Start,
