App,Package,Start Time,Duration,Filename
"System",,"May 3, 2014 @ 02:32:55 PM","1 min 54 sec",""

Time  [ms],"Battery Status",Time  [ms],"Battery Power [uW]",Time  [ms],"Application State",Description,
0,0,25,3081846,1,0,,
29,0,125,2708642,105,0,,
104,0,226,2340938,205,0,,
204,0,327,3003802,305,0,,
305,0,425,2245144,405,0,,
405,0,531,3337120,509,0,,
508,0,629,2256898,609,0,,
609,0,730,3163006,709,0,,
709,0,834,4156298,812,0,,
812,0,957,4429275,910,0,,
910,0,1031,4120511,1010,0,,
1010,0,1132,3930582,1111,0,,
1110,0,1232,3191294,1211,0,,
1211,0,1332,2230592,1311,0,,
1311,0,1435,3315697,1412,0,,
1412,0,1532,3742662,1512,0,,
1512,0,1632,3797214,1612,0,,
1612,0,1735,2651860,1712,0,,
1712,0,1834,2897865,1813,0,,
1813,0,1935,4084265,1914,0,,
1913,0,2062,2519033,2014,0,,
2014,0,2156,3016339,2114,0,,
2114,0,2234,1456409,2214,0,,
2214,0,2334,1502515,2314,0,,
2314,0,2436,1329326,2415,0,,
2414,0,2536,1277021,2515,0,,
2515,0,2638,1726681,2615,0,,
2615,0,2736,1792985,2716,0,,
2715,0,2836,1527317,2816,0,,
2815,0,2936,1323288,2916,0,,
2916,0,3037,1361860,3017,0,,
3016,0,3137,2515513,3117,0,,
3116,0,3262,3141216,3196,145,Sgemm::NativeC::IO::Start,
3217,0,3338,2741023,3217,145,Sgemm::NativeC::IO::Start,
3317,0,3438,2691188,3317,145,Sgemm::NativeC::IO::Start,
3417,0,3538,3335525,3417,145,Sgemm::NativeC::IO::Start,
3517,0,3639,2710666,3518,145,Sgemm::NativeC::IO::Start,
3618,0,3740,2665795,3618,145,Sgemm::NativeC::IO::Start,
3718,0,3838,3383452,3718,145,Sgemm::NativeC::IO::Start,
3818,0,3940,2618255,3818,145,Sgemm::NativeC::IO::Start,
3920,0,4041,2593287,3921,145,Sgemm::NativeC::IO::Start,
4021,0,4142,2384284,4021,145,Sgemm::NativeC::IO::Start,
4121,0,4242,2895474,4121,145,Sgemm::NativeC::IO::Start,
4221,0,4367,2685993,4221,145,Sgemm::NativeC::IO::Start,
4321,0,4464,2791931,4322,145,Sgemm::NativeC::IO::Start,
4422,0,4543,2997276,4422,145,Sgemm::NativeC::IO::Start,
4523,0,4643,2783799,4523,145,Sgemm::NativeC::IO::Start,
4623,0,4751,2472184,4623,145,Sgemm::NativeC::IO::Start,
4724,0,4844,2820316,4724,145,Sgemm::NativeC::IO::Start,
4824,0,4944,3292294,4824,145,Sgemm::NativeC::IO::Start,
4924,0,5044,3104888,4924,145,Sgemm::NativeC::IO::Start,
5024,0,5145,2700500,5024,145,Sgemm::NativeC::IO::Start,
5124,0,5245,2662198,5125,145,Sgemm::NativeC::IO::Start,
5224,0,5348,2158872,5225,145,Sgemm::NativeC::IO::Start,
5325,0,5452,2231286,5327,145,Sgemm::NativeC::IO::Start,
5427,0,5592,2396898,5427,145,Sgemm::NativeC::IO::Start,
5527,0,5648,2657061,5528,145,Sgemm::NativeC::IO::Start,
5628,0,5748,2661296,5628,145,Sgemm::NativeC::IO::Start,
5728,0,5848,3271400,5728,145,Sgemm::NativeC::IO::Start,
5828,0,5948,2663916,5828,145,Sgemm::NativeC::IO::Start,
5928,0,6049,2666225,5929,145,Sgemm::NativeC::IO::Start,
6029,0,6149,2649914,6029,145,Sgemm::NativeC::IO::Start,
6129,0,6253,3333121,6129,145,Sgemm::NativeC::IO::Start,
6231,0,6351,2597896,6231,145,Sgemm::NativeC::IO::Start,
6331,0,6452,2611341,6331,145,Sgemm::NativeC::IO::Start,
6431,0,6553,2897908,6431,145,Sgemm::NativeC::IO::Start,
6531,0,6684,2651506,6532,145,Sgemm::NativeC::IO::Start,
6631,0,6758,2572457,6632,145,Sgemm::NativeC::IO::Start,
6732,0,6852,2646570,6732,145,Sgemm::NativeC::IO::Start,
6832,0,6954,2619666,6833,145,Sgemm::NativeC::IO::Start,
6933,0,7055,2639653,6933,145,Sgemm::NativeC::IO::Start,
7033,0,7154,2665037,7034,145,Sgemm::NativeC::IO::Start,
7134,0,7255,2000028,7134,145,Sgemm::NativeC::IO::Start,
7234,0,7354,2521071,7234,145,Sgemm::NativeC::IO::Start,
7334,0,7454,2532212,7334,145,Sgemm::NativeC::IO::Start,
7434,0,7555,2466905,7434,145,Sgemm::NativeC::IO::Start,
7535,0,7660,3301488,7535,145,Sgemm::NativeC::IO::Start,
7635,0,7758,2545109,7635,145,Sgemm::NativeC::IO::Start,
7735,0,7864,2645145,7735,145,Sgemm::NativeC::IO::Start,
7835,0,7960,3507529,7835,145,Sgemm::NativeC::IO::Start,
7935,0,8065,3074225,7936,145,Sgemm::NativeC::IO::Start,
8036,0,8158,2465887,8036,145,Sgemm::NativeC::IO::Start,
8137,0,8257,2574065,8137,145,Sgemm::NativeC::IO::Start,
8237,0,8358,2590983,8238,145,Sgemm::NativeC::IO::Start,
8337,0,8458,3144137,8338,145,Sgemm::NativeC::IO::Start,
8438,0,8558,2600201,8438,145,Sgemm::NativeC::IO::Start,
8538,0,8660,2582843,8538,145,Sgemm::NativeC::IO::Start,
8638,0,8763,3018568,8639,145,Sgemm::NativeC::IO::Start,
8739,0,8863,2985874,8739,145,Sgemm::NativeC::IO::Start,
8839,0,8971,2518763,8839,145,Sgemm::NativeC::IO::Start,
8939,0,9060,3306623,8939,145,Sgemm::NativeC::IO::Start,
9039,0,9160,2629746,9040,145,Sgemm::NativeC::IO::Start,
9139,0,9260,2618242,9140,145,Sgemm::NativeC::IO::Start,
9240,0,9360,2602824,9240,145,Sgemm::NativeC::IO::Start,
9340,0,9462,2557868,9340,145,Sgemm::NativeC::IO::Start,
9440,0,9561,2564784,9441,145,Sgemm::NativeC::IO::Start,
9540,0,9663,3068786,9541,145,Sgemm::NativeC::IO::Start,
9641,0,9761,2606030,9641,145,Sgemm::NativeC::IO::Start,
9741,0,9861,2600201,9741,145,Sgemm::NativeC::IO::Start,
9841,0,9969,2529903,9841,145,Sgemm::NativeC::IO::Start,
9941,0,10064,2624790,9942,145,Sgemm::NativeC::IO::Start,
10042,0,10163,3119169,10042,145,Sgemm::NativeC::IO::Start,
10142,0,10263,3010842,10142,145,Sgemm::NativeC::IO::Start,
10242,0,10364,2533833,10243,145,Sgemm::NativeC::IO::Start,
10343,0,10463,3224320,10343,145,Sgemm::NativeC::IO::Start,
10443,0,10563,2760525,10443,145,Sgemm::NativeC::IO::Start,
10543,0,10664,2651990,10544,145,Sgemm::NativeC::IO::Start,
10643,0,10764,2609424,10644,145,Sgemm::NativeC::IO::Start,
10744,0,10864,2242739,10744,145,Sgemm::NativeC::IO::Start,
10844,0,10964,3122937,10844,145,Sgemm::NativeC::IO::Start,
10944,0,11065,2659611,10944,145,Sgemm::NativeC::IO::Start,
11044,0,11172,3310996,11045,145,Sgemm::NativeC::IO::Start,
11145,0,11266,3101540,11145,145,Sgemm::NativeC::IO::Start,
11245,0,11367,2784221,11245,145,Sgemm::NativeC::IO::Start,
11345,0,11467,2506951,11345,145,Sgemm::NativeC::IO::Start,
11446,0,11568,3131540,11446,145,Sgemm::NativeC::IO::Start,
11547,0,11667,2500319,11547,145,Sgemm::NativeC::IO::Start,
11647,0,11770,2998774,11648,145,Sgemm::NativeC::IO::Start,
11748,0,11871,2812273,11748,145,Sgemm::NativeC::IO::Start,
11849,0,11972,2746641,11849,145,Sgemm::NativeC::IO::Start,
11950,0,12071,3008278,11951,145,Sgemm::NativeC::IO::Start,
12051,0,12182,2651990,12051,145,Sgemm::NativeC::IO::Start,
12151,0,12276,2674617,12152,145,Sgemm::NativeC::IO::Start,
12252,0,12372,2403237,12252,145,Sgemm::NativeC::IO::Start,
12352,0,12473,2473073,12352,145,Sgemm::NativeC::IO::Start,
12452,0,12581,2582147,12453,145,Sgemm::NativeC::IO::Start,
12554,0,12675,2290974,12554,145,Sgemm::NativeC::IO::Start,
12653,0,12774,2595592,12655,145,Sgemm::NativeC::IO::Start,
12754,0,12875,2543981,12754,145,Sgemm::NativeC::IO::Start,
12854,0,12974,2602322,12854,145,Sgemm::NativeC::IO::Start,
12954,0,13075,2550518,12954,145,Sgemm::NativeC::IO::Start,
13054,0,13177,2584203,13054,145,Sgemm::NativeC::IO::Start,
13154,0,13277,2595304,13155,145,Sgemm::NativeC::IO::Start,
13255,0,13395,2698087,13255,145,Sgemm::NativeC::IO::Start,
13355,0,13478,2628326,13355,145,Sgemm::NativeC::IO::Start,
13455,0,13575,2504647,13456,145,Sgemm::NativeC::IO::Start,
13555,0,13676,2561098,13556,145,Sgemm::NativeC::IO::Start,
13656,0,13776,2669393,13656,145,Sgemm::NativeC::IO::Start,
13756,0,13884,3625098,13756,145,Sgemm::NativeC::IO::Start,
13856,0,13977,2751393,13856,145,Sgemm::NativeC::IO::Start,
13956,0,14076,2740925,13957,145,Sgemm::NativeC::IO::Start,
14057,0,14182,2673679,14057,145,Sgemm::NativeC::IO::Start,
14161,0,14282,2709596,14161,145,Sgemm::NativeC::IO::Start,
14261,0,14382,2738637,14262,145,Sgemm::NativeC::IO::Start,
14361,0,14488,2492737,14362,145,Sgemm::NativeC::IO::Start,
14462,0,14582,2689008,14462,145,Sgemm::NativeC::IO::Start,
14562,0,14683,2945614,14562,145,Sgemm::NativeC::IO::Start,
14662,0,14783,3125626,14663,145,Sgemm::NativeC::IO::Start,
14762,0,14884,2623727,14763,145,Sgemm::NativeC::IO::Start,
14863,0,14984,2544768,14863,145,Sgemm::NativeC::IO::Start,
14963,0,15084,2640707,14963,145,Sgemm::NativeC::IO::Start,
15063,0,15187,2618059,15064,145,Sgemm::NativeC::IO::Start,
15164,0,15285,2622668,15165,145,Sgemm::NativeC::IO::Start,
15265,0,15389,2979201,15266,145,Sgemm::NativeC::IO::Start,
15366,0,15488,2446500,15366,145,Sgemm::NativeC::IO::Start,
15466,0,15595,2842976,15466,145,Sgemm::NativeC::IO::Start,
15566,0,15689,2617549,15567,145,Sgemm::NativeC::IO::Start,
15666,0,15787,2642132,15667,145,Sgemm::NativeC::IO::Start,
15767,0,15887,3277234,15767,145,Sgemm::NativeC::IO::Start,
15867,0,15988,2670736,15867,145,Sgemm::NativeC::IO::Start,
15967,0,16088,2661046,15967,145,Sgemm::NativeC::IO::Start,
16067,0,16193,3254055,16068,145,Sgemm::NativeC::IO::Start,
16168,0,16288,3141595,16168,145,Sgemm::NativeC::IO::Start,
16268,0,16389,2788876,16268,145,Sgemm::NativeC::IO::Start,
16368,0,16489,2626561,16368,145,Sgemm::NativeC::IO::Start,
16468,0,16594,2612611,16469,145,Sgemm::NativeC::IO::Start,
16569,0,16701,2657458,16569,145,Sgemm::NativeC::IO::Start,
16669,0,16791,3002051,16669,145,Sgemm::NativeC::IO::Start,
16769,0,16891,2516727,16770,145,Sgemm::NativeC::IO::Start,
16870,0,16991,2446872,16871,145,Sgemm::NativeC::IO::Start,
16971,0,17096,2762444,16971,145,Sgemm::NativeC::IO::Start,
17072,0,17197,4047212,17072,145,Sgemm::NativeC::IO::Start,
17172,0,17294,2502057,17173,145,Sgemm::NativeC::IO::Start,
17273,0,17395,2673861,17274,145,Sgemm::NativeC::IO::Start,
17374,0,17494,2662328,17374,145,Sgemm::NativeC::IO::Start,
17474,0,17594,2616647,17474,145,Sgemm::NativeC::IO::Start,
17574,0,17700,2758968,17575,145,Sgemm::NativeC::IO::Start,
17674,0,17808,2645309,17675,145,Sgemm::NativeC::IO::Start,
17777,0,17898,2681392,17777,145,Sgemm::NativeC::IO::Start,
17876,0,17997,2471819,17877,145,Sgemm::NativeC::IO::Start,
17976,0,18098,2809212,17977,145,Sgemm::NativeC::IO::Start,
18077,0,18198,2637690,18077,145,Sgemm::NativeC::IO::Start,
18177,0,18298,2625853,18177,145,Sgemm::NativeC::IO::Start,
18277,0,18399,2704879,18277,145,Sgemm::NativeC::IO::Start,
18378,0,18498,2700273,18378,145,Sgemm::NativeC::IO::Start,
18478,0,18599,2655008,18478,145,Sgemm::NativeC::IO::Start,
18578,0,18699,1730876,18578,145,Sgemm::NativeC::IO::Start,
18678,0,18808,2417689,18679,145,Sgemm::NativeC::IO::Start,
18779,0,18913,2613295,18779,145,Sgemm::NativeC::IO::Start,
18879,0,18999,2606786,18879,145,Sgemm::NativeC::IO::Start,
18979,0,19100,2504647,18979,145,Sgemm::NativeC::IO::Start,
19079,0,19210,2543053,19080,145,Sgemm::NativeC::IO::Start,
19180,0,19301,2618255,19180,145,Sgemm::NativeC::IO::Start,
19280,0,19400,2636309,19280,145,Sgemm::NativeC::IO::Start,
19380,0,19450,2647449,19380,145,Sgemm::NativeC::IO::Start,
19430,0,19551,2631165,19430,145,Sgemm::NativeC::IO::Start,
19530,0,19651,2795786,19531,145,Sgemm::NativeC::IO::Start,
19631,0,19751,2615433,19631,145,Sgemm::NativeC::IO::Start,
19731,0,19851,2611537,19731,145,Sgemm::NativeC::IO::Start,
19831,0,19954,3267875,19831,145,Sgemm::NativeC::IO::Start,
19931,0,20061,2692151,19932,145,Sgemm::NativeC::IO::Start,
20032,0,20153,2597601,20032,145,Sgemm::NativeC::IO::Start,
20132,0,20263,2649276,20132,145,Sgemm::NativeC::IO::Start,
20232,0,20353,2914275,20232,145,Sgemm::NativeC::IO::Start,
20332,0,20453,3002051,20332,145,Sgemm::NativeC::IO::Start,
20433,0,20553,3072261,20433,145,Sgemm::NativeC::IO::Start,
20533,0,20655,2735022,20534,145,Sgemm::NativeC::IO::Start,
20634,0,20754,2899239,20634,145,Sgemm::NativeC::IO::Start,
20734,0,20856,3209439,20734,145,Sgemm::NativeC::IO::Start,
20834,0,20954,2473819,20834,145,Sgemm::NativeC::IO::Start,
20934,0,21062,2565551,20935,145,Sgemm::NativeC::IO::Start,
21035,0,21165,2585888,21035,145,Sgemm::NativeC::IO::Start,
21136,0,21256,2466552,21136,145,Sgemm::NativeC::IO::Start,
21236,0,21357,3213578,21237,145,Sgemm::NativeC::IO::Start,
21337,0,21458,2478838,21337,145,Sgemm::NativeC::IO::Start,
21437,0,21558,3294665,21438,145,Sgemm::NativeC::IO::Start,
21537,0,21658,3433885,21537,145,Sgemm::NativeC::IO::Start,
21637,0,21758,3467546,21637,145,Sgemm::NativeC::IO::Start,
21737,0,21858,2712971,21738,145,Sgemm::NativeC::IO::Start,
21838,0,21959,2764745,21838,145,Sgemm::NativeC::IO::Start,
21938,0,22058,3395634,21938,145,Sgemm::NativeC::IO::Start,
22038,0,22167,2756799,22038,145,Sgemm::NativeC::IO::Start,
22138,0,22259,2473002,22139,145,Sgemm::NativeC::IO::Start,
22239,0,22359,2702521,22239,145,Sgemm::NativeC::IO::Start,
22339,0,22459,2642053,22339,145,Sgemm::NativeC::IO::Start,
