App,Package,Start Time,Duration,Filename
"System",,"May 3, 2014 @ 02:35:20 PM","2 min 54 sec",""

Time  [ms],"Battery Status",Time  [ms],"Battery Power [uW]",Time  [ms],"Application State",Description,
0,0,21,1845729,1,0,,
78,0,122,1870427,101,0,,
101,0,221,1369536,201,0,,
201,0,322,1608696,301,0,,
301,0,422,1352601,402,0,,
401,0,522,1343936,502,0,,
502,0,623,2256643,602,0,,
602,0,727,2143033,703,0,,
703,0,823,2252193,803,0,,
803,0,945,2476180,903,0,,
903,0,1050,2247382,1004,0,,
1003,0,1124,2431387,1104,0,,
1104,0,1224,2337089,1204,0,,
1204,0,1325,2418659,1305,0,,
1304,0,1425,2251920,1405,0,,
1405,0,1525,1653669,1505,0,,
1505,0,1628,2635909,1605,0,,
1605,0,1727,1764868,1706,0,,
1705,0,1828,1834341,1807,0,,
1807,0,1929,1660610,1908,0,,
1907,0,2028,1258060,2007,0,,
2007,0,2158,1292009,2108,0,,
2107,0,2241,1430120,2208,0,,
2208,0,2328,1273675,2308,0,,
2308,0,2429,1362328,2408,0,,
2408,0,2528,1368802,2509,0,,
2508,0,2629,1343733,2609,0,,
2608,0,2729,1260036,2709,0,,
2709,0,2830,1693071,2809,0,,
2809,0,2929,2614950,2909,0,,
2909,0,3030,3256566,3010,0,,
3010,0,3130,2688892,3081,766,Stencil::NativeC::IO::Start,
3110,0,3232,2511037,3110,766,Stencil::NativeC::IO::Start,
3210,0,3359,2368055,3210,766,Stencil::NativeC::IO::Start,
3310,0,3432,2449511,3311,766,Stencil::NativeC::IO::Start,
3411,0,3532,2351979,3411,766,Stencil::NativeC::IO::Start,
3511,0,3632,2783648,3478,767,Stencil::NativeC::IO::Stop,
3611,0,3732,2518448,3481,275,Stencil::NativeC::Allocate::Start,
3711,0,3832,2755246,3490,276,Stencil::NativeC::Allocate::Stop,
3812,0,3933,2559097,3492,880,Stencil::NativeC::Init::Start,
3912,0,4037,2716738,3494,881,Stencil::NativeC::Init::Stop,
4016,0,4138,2863316,3495,811,Stencil::NativeC::Setup::Start,
4116,0,4238,3149574,3497,812,Stencil::NativeC::Setup::Stop,
4217,0,4338,2737322,3499,275,Stencil::NativeC::Allocate::Start,
4317,0,4465,2829188,3500,276,Stencil::NativeC::Allocate::Stop,
4418,0,4558,3076652,3511,276,Stencil::NativeC::Allocate::Stop,
4518,0,4638,2771050,3558,135,Stencil::NativeC::Compute::Start,
4618,0,4739,2919072,3611,135,Stencil::NativeC::Compute::Start,
4718,0,4839,3141577,3712,135,Stencil::NativeC::Compute::Start,
4819,0,4940,2993235,3812,135,Stencil::NativeC::Compute::Start,
4919,0,5042,3268557,3912,135,Stencil::NativeC::Compute::Start,
5020,0,5144,3309055,4016,135,Stencil::NativeC::Compute::Start,
5120,0,5252,3657557,4117,135,Stencil::NativeC::Compute::Start,
5221,0,5344,3221255,4217,135,Stencil::NativeC::Compute::Start,
5321,0,5442,3375444,4318,135,Stencil::NativeC::Compute::Start,
5422,0,5548,4153114,4418,135,Stencil::NativeC::Compute::Start,
5523,0,5675,3962290,4518,135,Stencil::NativeC::Compute::Start,
5623,0,5744,4553566,4618,135,Stencil::NativeC::Compute::Start,
5724,0,5845,3179461,4719,135,Stencil::NativeC::Compute::Start,
5824,0,5946,3409112,4819,135,Stencil::NativeC::Compute::Start,
5925,0,6047,4244563,4920,135,Stencil::NativeC::Compute::Start,
6025,0,6147,3813411,5020,135,Stencil::NativeC::Compute::Start,
6126,0,6246,3384160,5121,135,Stencil::NativeC::Compute::Start,
6226,0,6347,2832976,5221,135,Stencil::NativeC::Compute::Start,
6326,0,6448,2846323,5322,135,Stencil::NativeC::Compute::Start,
6426,0,6549,2047876,5422,135,Stencil::NativeC::Compute::Start,
6527,0,6647,2720798,5523,135,Stencil::NativeC::Compute::Start,
6627,0,6771,2713073,5624,135,Stencil::NativeC::Compute::Start,
6727,0,6865,2609606,5724,135,Stencil::NativeC::Compute::Start,
6828,0,6948,2674750,5824,135,Stencil::NativeC::Compute::Start,
6928,0,7051,3202224,5925,135,Stencil::NativeC::Compute::Start,
