App,Package,Start Time,Duration,Filename
"System",,"May 4, 2014 @ 01:05:04 AM","1 min 31 sec",""

Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Battery Power [uW]",Time  [ms],"Application State",Description,
0,0,2,1274780,6,992000,2,0,,
90,0,104,1278684,107,992000,104,0,,
103,0,204,1278940,207,992000,205,0,,
203,0,308,1279064,311,992000,308,0,,
304,0,405,1275868,409,992000,405,0,,
404,0,506,1275868,509,992000,506,0,,
505,0,606,1275868,610,992000,607,0,,
605,0,709,1275868,713,992000,710,0,,
708,0,810,1275868,814,1502000,811,0,,
809,0,910,1275992,915,1502000,911,0,,
909,0,1011,1275868,1015,1502000,1011,0,,
1010,0,1111,1275868,1115,1502000,1112,0,,
1110,0,1212,1275868,1216,1502000,1213,0,,
1148,0,1313,1275868,1317,1502000,1313,0,,
1211,0,1412,1276240,1416,1502000,1413,0,,
1311,0,1513,1277000,1516,1502000,1513,0,,
1412,0,1613,1277436,1617,1502000,1614,0,,
1512,0,1714,1276924,1717,1502000,1714,0,,
1612,0,1814,1269640,1817,1504000,1814,0,,
1713,0,1914,1269640,1918,1504000,1915,0,,
1813,0,2015,1291324,2018,1504000,2015,0,,
1913,0,2116,1281248,2119,1504000,2116,0,,
2014,0,2216,1281124,2220,1504000,2216,0,,
2114,0,2316,1280464,2320,1504000,2317,0,,
2215,0,2417,1280464,2420,1504000,2417,0,,
2315,0,2517,1280464,2524,1504000,2517,0,,
2416,0,2619,1281580,2622,1504000,2619,0,,
2516,0,2719,1276620,2722,1504000,2719,0,,
2618,0,2819,1266972,2823,2018000,2820,0,,
2718,0,2920,1266972,2924,2018000,2920,0,,
2818,0,3021,1256860,3024,2018000,3021,0,,
2919,0,3121,1256860,3125,2018000,3122,0,,
3020,0,3222,1256860,3226,2018000,3222,0,,
3120,0,3322,1256860,3326,2018000,3323,0,,
3220,0,3423,1256860,3427,2018000,3423,0,,
3321,0,3523,1256860,3527,2018000,3523,0,,
3421,0,3625,1257216,3628,2018000,3625,0,,
3522,0,3723,1256968,3727,2018000,3723,0,,
3622,0,3824,1256968,3831,1292000,3824,0,,
3722,0,3924,1275080,3927,1292000,3924,0,,
3823,0,4024,1275112,4028,1292000,4025,0,,
3923,0,4125,1275112,4128,1292000,4125,0,,
4024,0,4225,1275112,4229,1292000,4226,0,,
4124,0,4326,1275112,4331,1292000,4327,0,,
4224,0,4427,1275112,4431,1292000,4427,0,,
4325,0,4527,1275112,4530,1292000,4527,0,,
4425,0,4627,1276228,4632,1292000,4627,0,,
4526,0,4729,1289480,4732,1292000,4729,0,,
4626,0,4828,1327280,4831,1483000,4731,766,Stencil::NativeC::IO::Start,
4726,0,4928,1355180,4933,1483000,4828,766,Stencil::NativeC::IO::Start,
4827,0,5029,1396100,5035,1483000,4929,766,Stencil::NativeC::IO::Start,
4927,0,5129,1422388,5133,1483000,5029,766,Stencil::NativeC::IO::Start,
5028,0,5229,1423628,5234,1483000,5124,767,Stencil::NativeC::IO::Stop,
5128,0,5330,1423752,5334,1483000,5125,275,Stencil::NativeC::Allocate::Start,
5228,0,5430,1423876,5435,1483000,5129,275,Stencil::NativeC::Allocate::Start,
5329,0,5531,1423876,5535,1483000,5135,276,Stencil::NativeC::Allocate::Stop,
5429,0,5634,1423876,5638,1483000,5137,880,Stencil::NativeC::Init::Start,
5530,0,5732,1423876,5743,1483000,5139,881,Stencil::NativeC::Init::Stop,
5630,0,5832,1424248,5837,2364000,5140,811,Stencil::NativeC::Setup::Start,
5731,0,5933,1424248,5937,2364000,5142,812,Stencil::NativeC::Setup::Stop,
5831,0,6033,1424372,6037,2364000,5144,275,Stencil::NativeC::Allocate::Start,
5931,0,6134,1424248,6139,2364000,5146,276,Stencil::NativeC::Allocate::Stop,
6032,0,6234,1424248,6239,2364000,5219,135,Stencil::NativeC::Compute::Start,
6132,0,6334,1424248,6339,2364000,5231,135,Stencil::NativeC::Compute::Start,
6233,0,6435,1424248,6439,2364000,5330,135,Stencil::NativeC::Compute::Start,
6333,0,6535,1424248,6540,2364000,5431,135,Stencil::NativeC::Compute::Start,
6434,0,6638,1424248,6643,2364000,5531,135,Stencil::NativeC::Compute::Start,
6534,0,6737,1424248,6743,2364000,5634,135,Stencil::NativeC::Compute::Start,
6635,0,6837,1424124,6851,2520000,5732,135,Stencil::NativeC::Compute::Start,
6735,0,6943,1424248,6949,2520000,5832,135,Stencil::NativeC::Compute::Start,
6836,0,7043,1424124,7047,2520000,5933,135,Stencil::NativeC::Compute::Start,
6942,0,7143,1424124,7148,2520000,6033,135,Stencil::NativeC::Compute::Start,
7042,0,7244,1424124,7248,2520000,6134,135,Stencil::NativeC::Compute::Start,
7143,0,7344,1424000,7349,2520000,6234,135,Stencil::NativeC::Compute::Start,
7243,0,7445,1424000,7449,2520000,6335,135,Stencil::NativeC::Compute::Start,
7343,0,7545,1424000,7549,2520000,6435,135,Stencil::NativeC::Compute::Start,
7444,0,7645,1424000,7650,2520000,6536,135,Stencil::NativeC::Compute::Start,
7544,0,7750,1424000,7755,2520000,6638,135,Stencil::NativeC::Compute::Start,
7645,0,7847,1424000,7852,2502000,6737,135,Stencil::NativeC::Compute::Start,
7745,0,7948,1424000,7957,2502000,6837,135,Stencil::NativeC::Compute::Start,
7846,0,8047,1424000,8052,2502000,6943,135,Stencil::NativeC::Compute::Start,
7946,0,8148,1424000,8152,2502000,7043,135,Stencil::NativeC::Compute::Start,
8046,0,8248,1423876,8253,2502000,7144,135,Stencil::NativeC::Compute::Start,
8147,0,8348,1424000,8354,2502000,7244,135,Stencil::NativeC::Compute::Start,
8247,0,8449,1424000,8454,2502000,7345,135,Stencil::NativeC::Compute::Start,
8347,0,8549,1424000,8553,2502000,7445,135,Stencil::NativeC::Compute::Start,
8448,0,8650,1424000,8654,2502000,7545,135,Stencil::NativeC::Compute::Start,
8548,0,8750,1424000,8754,2502000,7645,135,Stencil::NativeC::Compute::Start,
8649,0,8850,1424000,8855,2421000,7750,135,Stencil::NativeC::Compute::Start,
8749,0,8951,1424000,8955,2421000,7847,135,Stencil::NativeC::Compute::Start,
8850,0,9051,1424000,9056,2421000,7949,135,Stencil::NativeC::Compute::Start,
