App,Package,Start Time,Duration,Filename
"System",,"May 3, 2014 @ 03:47:45 PM","4 min 10 sec",""

Time  [ms],"Battery Status",Time  [ms],"Battery Power [uW]",Time  [ms],"Application State",Description,
0,0,24,1707585,3,0,,
40,0,124,1698797,104,0,,
104,0,224,1377603,204,0,,
204,0,324,1522699,304,0,,
304,0,424,1336975,404,0,,
404,0,524,1371039,505,0,,
505,0,649,2937569,605,0,,
605,0,755,2328555,705,0,,
705,0,830,2395313,809,0,,
807,0,928,2980550,908,0,,
907,0,1028,1660811,1007,0,,
1007,0,1137,3842782,1108,0,,
1107,0,1228,2929161,1208,0,,
1208,0,1328,3112583,1308,0,,
1308,0,1430,3251791,1408,0,,
1408,0,1528,2158995,1508,0,,
1508,0,1630,2728794,1609,0,,
1609,0,1732,3857363,1709,0,,
1709,0,1851,4999612,1809,0,,
1809,0,1936,4474080,1909,0,,
1909,0,2030,3201790,2010,0,,
2010,0,2130,2450717,2110,0,,
2110,0,2231,2928948,2210,0,,
2210,0,2332,3288858,2312,0,,
2311,0,2431,1358143,2412,0,,
2411,0,2532,1481106,2512,0,,
2512,0,2633,1326043,2612,0,,
2612,0,2735,2071178,2713,0,,
2712,0,2836,2169030,2816,0,,
2816,0,2946,1658718,2913,0,,
2913,0,3051,1902975,3013,0,,
3013,0,3134,1324606,3114,0,,
3113,0,3233,1409683,3214,0,,
3214,0,3334,2421072,3314,0,,
3314,0,3438,4353867,3385,368,Tpacf::Java::IO::Start,
3414,0,3534,2982919,3415,368,Tpacf::Java::IO::Start,
3515,0,3635,2767288,3436,369,Tpacf::Java::IO::Stop,
3615,0,3735,2760477,3438,207,Tpacf::Java::Allocate::Start,
3716,0,3836,2951392,3447,208,Tpacf::Java::Allocate::Stop,
3816,0,3936,3238535,3448,207,Tpacf::Java::Allocate::Start,
3916,0,4037,2778249,3449,208,Tpacf::Java::Allocate::Stop,
4016,0,4168,3542551,3455,207,Tpacf::Java::Allocate::Start,
4116,0,4237,3435953,3457,208,Tpacf::Java::Allocate::Stop,
4217,0,4337,3593580,3458,368,Tpacf::Java::IO::Start,
4317,0,4437,3171359,3515,368,Tpacf::Java::IO::Start,
4417,0,4537,3497944,3615,368,Tpacf::Java::IO::Start,
4517,0,4637,2927178,3716,368,Tpacf::Java::IO::Start,
4618,0,4738,2896178,3816,368,Tpacf::Java::IO::Start,
4718,0,4838,2670336,3916,368,Tpacf::Java::IO::Start,
4818,0,4939,2854767,4016,368,Tpacf::Java::IO::Start,
4918,0,5039,3685281,4117,368,Tpacf::Java::IO::Start,
5019,0,5139,2754435,4217,368,Tpacf::Java::IO::Start,
5119,0,5265,3084555,4317,368,Tpacf::Java::IO::Start,
5219,0,5346,2743500,4417,368,Tpacf::Java::IO::Start,
5319,0,5440,3323481,4518,368,Tpacf::Java::IO::Start,
5420,0,5540,2873184,4618,368,Tpacf::Java::IO::Start,
5520,0,5640,2948821,4718,368,Tpacf::Java::IO::Start,
5620,0,5740,2853140,4818,368,Tpacf::Java::IO::Start,
5720,0,5840,2828952,4919,368,Tpacf::Java::IO::Start,
5821,0,5942,2870735,5019,368,Tpacf::Java::IO::Start,
5922,0,6042,2835803,5119,368,Tpacf::Java::IO::Start,
6022,0,6143,2842212,5219,368,Tpacf::Java::IO::Start,
6123,0,6243,2806792,5320,368,Tpacf::Java::IO::Start,
6223,0,6361,2771067,5420,368,Tpacf::Java::IO::Start,
6323,0,6452,2933320,5520,368,Tpacf::Java::IO::Start,
6424,0,6551,2975298,5620,368,Tpacf::Java::IO::Start,
6529,0,6653,2528642,5721,368,Tpacf::Java::IO::Start,
6630,0,6753,3533142,5821,368,Tpacf::Java::IO::Start,
6731,0,6852,2852281,5922,368,Tpacf::Java::IO::Start,
6831,0,6952,2952399,6022,368,Tpacf::Java::IO::Start,
6932,0,7052,3015794,6123,368,Tpacf::Java::IO::Start,
7032,0,7153,2924774,6223,368,Tpacf::Java::IO::Start,
7133,0,7254,3484122,6323,368,Tpacf::Java::IO::Start,
7233,0,7353,2744500,6424,368,Tpacf::Java::IO::Start,
7333,0,7473,2826835,6530,368,Tpacf::Java::IO::Start,
7433,0,7559,3019511,6630,368,Tpacf::Java::IO::Start,
7534,0,7654,2799098,6731,368,Tpacf::Java::IO::Start,
7634,0,7754,2716917,6832,368,Tpacf::Java::IO::Start,
7734,0,7854,2600263,6932,368,Tpacf::Java::IO::Start,
7834,0,7955,2843169,7033,368,Tpacf::Java::IO::Start,
7935,0,8058,2921803,7133,368,Tpacf::Java::IO::Start,
8035,0,8156,3366797,7233,368,Tpacf::Java::IO::Start,
8135,0,8255,4028928,7333,368,Tpacf::Java::IO::Start,
8236,0,8356,3707274,7434,368,Tpacf::Java::IO::Start,
8336,0,8457,2909884,7534,368,Tpacf::Java::IO::Start,
8437,0,8559,3475280,7634,368,Tpacf::Java::IO::Start,
8537,0,8668,2753293,7734,368,Tpacf::Java::IO::Start,
8637,0,8758,2808889,7834,368,Tpacf::Java::IO::Start,
8737,0,8859,2773341,7935,368,Tpacf::Java::IO::Start,
8838,0,8958,3726404,8035,368,Tpacf::Java::IO::Start,
8938,0,9059,2593024,8136,368,Tpacf::Java::IO::Start,
9038,0,9162,3501058,8236,368,Tpacf::Java::IO::Start,
9138,0,9259,3744765,8337,368,Tpacf::Java::IO::Start,
9239,0,9359,2955994,8437,368,Tpacf::Java::IO::Start,
9339,0,9459,4379076,8537,368,Tpacf::Java::IO::Start,
9439,0,9563,3690070,8638,368,Tpacf::Java::IO::Start,
9541,0,9664,3692295,8738,368,Tpacf::Java::IO::Start,
9641,0,9762,2979151,8838,368,Tpacf::Java::IO::Start,
9742,0,9862,2904241,8938,368,Tpacf::Java::IO::Start,
9842,0,9962,2791306,9038,368,Tpacf::Java::IO::Start,
9942,0,10063,3463732,9139,368,Tpacf::Java::IO::Start,
10043,0,10163,3501523,9239,368,Tpacf::Java::IO::Start,
10143,0,10265,3226740,9339,368,Tpacf::Java::IO::Start,
10243,0,10364,2927681,9439,368,Tpacf::Java::IO::Start,
10343,0,10464,2865910,9541,368,Tpacf::Java::IO::Start,
