App,Package,Start Time,Duration,Filename
"System",,"May 4, 2014 @ 01:14:42 AM","7 min 22 sec",""

Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Battery Power [uW]",Time  [ms],"Application State",Description,
0,0,1,1277032,5,256000,2,0,,
76,0,104,1280748,109,256000,105,0,,
103,0,206,1280748,209,256000,207,0,,
203,0,305,1280364,308,256000,305,0,,
304,0,406,1277676,412,256000,407,0,,
404,0,507,1277676,511,256000,507,0,,
505,0,607,1277676,613,1676000,607,0,,
605,0,707,1277676,711,1676000,708,0,,
706,0,807,1279708,810,1676000,807,0,,
806,0,907,1278932,910,1676000,908,0,,
907,0,1008,1279772,1011,1676000,1008,0,,
1007,0,1108,1279252,1112,1676000,1109,0,,
1107,0,1209,1279252,1213,1676000,1209,0,,
1208,0,1309,1278244,1313,1676000,1309,0,,
1308,0,1409,1270960,1413,1676000,1409,0,,
1408,0,1510,1270960,1517,1676000,1510,0,,
1509,0,1611,1290280,1617,2069000,1612,0,,
1610,0,1710,1282208,1715,2069000,1711,0,,
1710,0,1811,1282208,1815,2069000,1811,0,,
1810,0,1911,1282340,1916,2069000,1912,0,,
1910,0,2012,1282588,2016,2069000,2012,0,,
2011,0,2112,1280368,2116,2069000,2113,0,,
2111,0,2213,1268680,2217,2069000,2213,0,,
2212,0,2313,1268680,2317,2069000,2313,0,,
2312,0,2414,1268680,2418,2069000,2414,0,,
2412,0,2514,1258568,2519,2069000,2515,0,,
2513,0,2618,1258752,2622,1885000,2618,0,,
2613,0,2715,1258504,2719,1885000,2715,0,,
2714,0,2815,1258504,2819,1885000,2815,0,,
2814,0,2915,1258504,2919,1885000,2915,0,,
2914,0,3016,1258504,3020,1885000,3016,0,,
3015,0,3116,1277268,3120,1885000,3116,0,,
3115,0,3216,1290576,3220,1885000,3217,0,,
3216,0,3317,1290948,3321,1885000,3231,368,Tpacf::Java::IO::Start,
3316,0,3417,1291320,3420,1885000,3272,369,Tpacf::Java::IO::Stop,
3416,0,3518,1291568,3522,1885000,3273,207,Tpacf::Java::Allocate::Start,
3517,0,3618,1291692,3626,1834000,3284,208,Tpacf::Java::Allocate::Stop,
3617,0,3720,1291756,3724,1834000,3287,207,Tpacf::Java::Allocate::Start,
3718,0,3819,1292004,3823,1834000,3291,208,Tpacf::Java::Allocate::Stop,
3818,0,3920,1292128,3925,1834000,3293,207,Tpacf::Java::Allocate::Start,
3919,0,4021,1292128,4026,1834000,3297,208,Tpacf::Java::Allocate::Stop,
4020,0,4121,1292252,4125,1834000,3298,368,Tpacf::Java::IO::Start,
4120,0,4222,1292252,4226,1834000,3318,368,Tpacf::Java::IO::Start,
4221,0,4322,1292252,4328,1834000,3417,368,Tpacf::Java::IO::Start,
4321,0,4423,1292252,4427,1834000,3518,368,Tpacf::Java::IO::Start,
4422,0,4523,1292252,4528,1834000,3619,368,Tpacf::Java::IO::Start,
4522,0,4625,1292252,4631,2324000,3720,368,Tpacf::Java::IO::Start,
4624,0,4725,1292252,4728,2324000,3819,368,Tpacf::Java::IO::Start,
4724,0,4825,1292252,4828,2324000,3920,368,Tpacf::Java::IO::Start,
4825,0,4926,1292252,4930,2324000,4021,368,Tpacf::Java::IO::Start,
4925,0,5027,1292252,5030,2324000,4121,368,Tpacf::Java::IO::Start,
5026,0,5127,1292252,5131,2324000,4222,368,Tpacf::Java::IO::Start,
5126,0,5228,1292252,5233,2324000,4323,368,Tpacf::Java::IO::Start,
5227,0,5328,1292252,5333,2324000,4423,368,Tpacf::Java::IO::Start,
5327,0,5428,1292252,5434,2324000,4523,368,Tpacf::Java::IO::Start,
5427,0,5529,1292252,5533,2324000,4625,368,Tpacf::Java::IO::Start,
5528,0,5629,1292252,5634,2339000,4725,368,Tpacf::Java::IO::Start,
5628,0,5730,1292128,5734,2339000,4826,368,Tpacf::Java::IO::Start,
5729,0,5830,1292252,5835,2339000,4926,368,Tpacf::Java::IO::Start,
5830,0,5931,1292128,5935,2339000,5027,368,Tpacf::Java::IO::Start,
5930,0,6031,1292128,6035,2339000,5127,368,Tpacf::Java::IO::Start,
6030,0,6132,1292252,6136,2339000,5228,368,Tpacf::Java::IO::Start,
6131,0,6232,1292376,6235,2339000,5328,368,Tpacf::Java::IO::Start,
6232,0,6333,1292376,6336,2339000,5430,368,Tpacf::Java::IO::Start,
6332,0,6433,1292748,6436,2339000,5529,368,Tpacf::Java::IO::Start,
6432,0,6534,1292996,6538,2339000,5629,368,Tpacf::Java::IO::Start,
6533,0,6634,1293120,6638,2344000,5730,368,Tpacf::Java::IO::Start,
6633,0,6734,1293120,6738,2344000,5831,368,Tpacf::Java::IO::Start,
6734,0,6835,1292772,6842,2344000,5931,368,Tpacf::Java::IO::Start,
6834,0,6935,1292772,6940,2344000,6031,368,Tpacf::Java::IO::Start,
6934,0,7036,1292740,7043,2344000,6132,368,Tpacf::Java::IO::Start,
7035,0,7136,1292600,7142,2344000,6233,368,Tpacf::Java::IO::Start,
7136,0,7237,1292600,7243,2344000,6333,368,Tpacf::Java::IO::Start,
7236,0,7339,1292600,7355,2344000,6433,368,Tpacf::Java::IO::Start,
7336,0,7438,1292600,7441,2344000,6534,368,Tpacf::Java::IO::Start,
7437,0,7539,1292600,7543,2344000,6634,368,Tpacf::Java::IO::Start,
7538,0,7639,1292600,7643,2281000,6735,368,Tpacf::Java::IO::Start,
7638,0,7740,1292476,7743,2281000,6836,368,Tpacf::Java::IO::Start,
