App,Package,Start Time,Duration,Filename
"System",,"May 3, 2014 @ 02:32:13 PM","17 sec",""

Time  [ms],"Battery Status",Time  [ms],"Battery Power [uW]",Time  [ms],"Application State",Description,
0,0,32,3584188,1,0,,
91,0,149,3812119,102,0,,
102,0,223,3227644,203,0,,
202,0,324,3857819,304,0,,
303,0,424,3469828,404,0,,
404,0,525,3133669,505,0,,
504,0,625,3045413,605,0,,
605,0,726,4102937,705,0,,
705,0,827,4556151,806,0,,
806,0,929,4932811,907,0,,
906,0,1027,2414744,1007,0,,
1007,0,1127,2994829,1107,0,,
1107,0,1256,2869464,1208,0,,
1208,0,1340,2281014,1308,0,,
1308,0,1429,1295830,1408,0,,
1408,0,1529,1320912,1509,0,,
1508,0,1629,2235211,1609,0,,
1609,0,1730,1345894,1709,0,,
1709,0,1830,2873302,1809,0,,
1809,0,1933,3623010,1912,0,,
1910,0,2038,3285931,2012,0,,
2010,0,2130,2437389,2110,0,,
2110,0,2233,1951983,2211,0,,
2211,0,2362,2789394,2312,0,,
2311,0,2456,1920201,2414,0,,
2414,0,2535,2431968,2514,0,,
2513,0,2636,1756184,2616,0,,
2615,0,2737,3298844,2716,0,,
2716,0,2837,2975238,2816,0,,
2816,0,2940,3520123,2918,0,,
2917,0,3038,3354573,3018,0,,
3017,0,3138,2831473,3118,0,,
3118,0,3240,4194465,3218,0,,
3218,0,3340,3638387,3305,116,VectorAdd::NativeC::IO::Start,
3318,0,3440,3469258,3319,116,VectorAdd::NativeC::IO::Start,
3418,0,3562,3787813,3419,116,VectorAdd::NativeC::IO::Start,
3519,0,3640,4179687,3519,116,VectorAdd::NativeC::IO::Start,
3619,0,3741,4400110,3586,117,VectorAdd::NativeC::IO::Stop,
3720,0,3841,3437222,3610,422,VectorAdd::NativeC::Allocate::Stop,
3820,0,3942,3795965,3611,178,VectorAdd::NativeC::Init::Start,
3921,0,4043,4286997,3615,179,VectorAdd::NativeC::Init::Stop,
4021,0,4143,3499177,3616,431,VectorAdd::NativeC::Setup::Start,
4122,0,4242,2904991,3617,432,VectorAdd::NativeC::Setup::Stop,
4222,0,4346,5349578,3618,421,VectorAdd::NativeC::Allocate::Start,
4324,0,4444,4070463,3620,421,VectorAdd::NativeC::Allocate::Start,
4424,0,4545,4203076,3623,422,VectorAdd::NativeC::Allocate::Stop,
4525,0,4668,3482440,3657,177,VectorAdd::NativeC::Compute::Start,
4625,0,4752,3607622,3721,177,VectorAdd::NativeC::Compute::Start,
4725,0,4846,3662902,3775,178,VectorAdd::NativeC::Compute::Stop,
4825,0,4947,4117656,3776,846,VectorAdd::NativeC::Free::Start,
4926,0,5047,4311721,3777,847,VectorAdd::NativeC::Free::Stop,
5026,0,5148,4047289,3821,847,VectorAdd::NativeC::Free::Stop,
5126,0,5248,3681883,3908,0,:: :: :: ::,
5227,0,5348,2755524,3921,0,:: :: :: ::,
5327,0,5450,3799057,3955,429,VectorAdd::NativeCThreaded::IO::Start,
5427,0,5548,4774514,4021,429,VectorAdd::NativeCThreaded::IO::Start,
5528,0,5648,3271346,4122,429,VectorAdd::NativeCThreaded::IO::Start,
5628,0,5754,4334461,4222,429,VectorAdd::NativeCThreaded::IO::Start,
5728,0,5859,5410158,4241,430,VectorAdd::NativeCThreaded::IO::Stop,
5829,0,5956,4742405,4242,164,VectorAdd::NativeCThreaded::Allocate::Start,
5929,0,6052,3660740,4257,165,VectorAdd::NativeCThreaded::Allocate::Stop,
6030,0,6151,4206060,4258,33,VectorAdd::NativeCThreaded::Init::Start,
6130,0,6253,3969970,4260,34,VectorAdd::NativeCThreaded::Init::Stop,
6230,0,6351,4646183,4262,370,VectorAdd::NativeCThreaded::Setup::Start,
6331,0,6455,4452005,4263,371,VectorAdd::NativeCThreaded::Setup::Stop,
6432,0,6558,4098256,4269,164,VectorAdd::NativeCThreaded::Allocate::Start,
6534,0,6654,2837020,4270,165,VectorAdd::NativeCThreaded::Allocate::Stop,
6634,0,6755,2796753,4299,216,VectorAdd::NativeCThreaded::Compute::Start,
6735,0,6860,3388588,4324,216,VectorAdd::NativeCThreaded::Compute::Start,
6835,0,6967,4388764,4409,217,VectorAdd::NativeCThreaded::Compute::Stop,
6936,0,7057,5146793,4410,701,VectorAdd::NativeCThreaded::Free::Start,
7036,0,7156,2432604,4411,702,VectorAdd::NativeCThreaded::Free::Stop,
7136,0,7257,2939829,4425,702,VectorAdd::NativeCThreaded::Free::Stop,
7236,0,7358,2691188,4525,702,VectorAdd::NativeCThreaded::Free::Stop,
7337,0,7457,2745234,4561,0,:: :: :: ::,
7437,0,7557,2762015,4594,54,VectorAdd::Java::IO::Start,
