App,Package,Start Time,Duration,Filename
"System",,"May 4, 2014 @ 12:56:29 AM","52 sec",""

Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Battery Power [uW]",Time  [ms],"Application State",Description,
0,0,15,1268252,18,1173000,16,0,,
67,0,116,1271836,120,1173000,116,0,,
115,0,216,1271960,221,1173000,218,0,,
215,0,317,1272224,321,1173000,317,0,,
316,0,417,1269412,420,1173000,418,0,,
416,0,519,1269660,523,1173000,519,0,,
516,0,618,1269784,622,1173000,618,0,,
617,0,718,1269276,722,1607000,718,0,,
717,0,819,1269400,823,1607000,819,0,,
818,0,919,1269276,923,1607000,919,0,,
918,0,1019,1269400,1023,1607000,1020,0,,
1018,0,1120,1269400,1124,1607000,1120,0,,
1119,0,1220,1269400,1224,1607000,1220,0,,
1219,0,1321,1269400,1325,1607000,1321,0,,
1270,0,1421,1269400,1426,1607000,1422,0,,
1320,0,1526,1269648,1530,1607000,1526,0,,
1420,0,1622,1269772,1626,1607000,1622,0,,
1520,0,1723,1269896,1728,1241000,1724,0,,
1621,0,1823,1269896,1828,1241000,1824,0,,
1722,0,1924,1269896,1929,1241000,1924,0,,
1822,0,2025,1269896,2029,1241000,2025,0,,
1922,0,2124,1270532,2128,1241000,2124,0,,
2023,0,2224,1271464,2228,1241000,2224,0,,
2123,0,2325,1270348,2330,1241000,2325,0,,
2223,0,2425,1262916,2429,1241000,2425,0,,
2324,0,2526,1262916,2529,1241000,2526,0,,
2424,0,2627,1272640,2632,1241000,2627,0,,
2525,0,2727,1274484,2731,1991000,2727,0,,
2625,0,2827,1274508,2831,1991000,2827,0,,
2726,0,2927,1274016,2931,1991000,2927,0,,
2826,0,3028,1273892,3033,1991000,3029,0,,
2927,0,3128,1273892,3131,1991000,3128,0,,
3027,0,3229,1274140,3232,1991000,3229,0,,
3127,0,3329,1281552,3334,1991000,3329,0,,
3228,0,3430,1260380,3436,1991000,3431,0,,
3328,0,3531,1260380,3535,1991000,3531,0,,
3429,0,3631,1250120,3635,1991000,3631,0,,
3529,0,3731,1250120,3734,1782000,3731,0,,
3630,0,3831,1250120,3834,1782000,3831,0,,
3730,0,3932,1250120,3935,1782000,3932,0,,
3830,0,4032,1250120,4036,1782000,4033,0,,
3931,0,4132,1250120,4135,1782000,4133,0,,
4031,0,4233,1250120,4236,1782000,4233,0,,
4132,0,4334,1250040,4338,1782000,4334,0,,
4232,0,4434,1250040,4438,1782000,4435,0,,
4332,0,4535,1268216,4540,1782000,4536,0,,
4433,0,4636,1268248,4645,1782000,4637,0,,
4533,0,4737,1268744,4740,1150000,4737,0,,
4634,0,4836,1282348,4840,1150000,4837,0,,
4734,0,4937,1286332,4940,1150000,4926,116,VectorAdd::NativeC::IO::Start,
4835,0,5037,1286596,5041,1150000,4937,116,VectorAdd::NativeC::IO::Start,
4936,0,5139,1286164,5142,1150000,5037,116,VectorAdd::NativeC::IO::Start,
5036,0,5239,1286156,5243,1150000,5139,116,VectorAdd::NativeC::IO::Start,
5138,0,5339,1287372,5344,1150000,5240,116,VectorAdd::NativeC::IO::Start,
5238,0,5440,1287496,5443,1150000,5316,117,VectorAdd::NativeC::IO::Stop,
5339,0,5540,1287496,5544,1150000,5317,421,VectorAdd::NativeC::Allocate::Start,
5439,0,5642,1287620,5645,1150000,5340,421,VectorAdd::NativeC::Allocate::Start,
5540,0,5741,1287744,5745,2447000,5344,422,VectorAdd::NativeC::Allocate::Stop,
5640,0,5841,1287744,5844,2447000,5346,178,VectorAdd::NativeC::Init::Start,
5740,0,5942,1287868,5946,2447000,5350,179,VectorAdd::NativeC::Init::Stop,
5841,0,6043,1290472,6048,2447000,5351,431,VectorAdd::NativeC::Setup::Start,
5941,0,6143,1290472,6148,2447000,5353,432,VectorAdd::NativeC::Setup::Stop,
6042,0,6245,1290472,6249,2447000,5354,421,VectorAdd::NativeC::Allocate::Start,
6142,0,6345,1290472,6350,2447000,5355,422,VectorAdd::NativeC::Allocate::Stop,
6243,0,6446,1291712,6452,2447000,5404,177,VectorAdd::NativeC::Compute::Start,
6344,0,6547,1291960,6551,2447000,5440,177,VectorAdd::NativeC::Compute::Start,
6445,0,6648,1291960,6651,2447000,5541,177,VectorAdd::NativeC::Compute::Start,
6546,0,6749,1291960,6753,2390000,5643,177,VectorAdd::NativeC::Compute::Start,
6647,0,6849,1291960,6852,2390000,5741,177,VectorAdd::NativeC::Compute::Start,
6748,0,6952,1291960,6956,2390000,5758,178,VectorAdd::NativeC::Compute::Stop,
6848,0,7051,1294936,7053,2390000,5759,846,VectorAdd::NativeC::Free::Start,
6951,0,7151,1294936,7157,2390000,5760,847,VectorAdd::NativeC::Free::Stop,
7050,0,7251,1294936,7258,2390000,5842,847,VectorAdd::NativeC::Free::Stop,
7150,0,7352,1294936,7357,2390000,5934,0,:: :: :: ::,
7250,0,7454,1295680,7460,2390000,5942,0,:: :: :: ::,
7351,0,7553,1296300,7558,2390000,6006,429,VectorAdd::NativeCThreaded::IO::Start,
7452,0,7653,1296300,7658,2390000,6043,429,VectorAdd::NativeCThreaded::IO::Start,
7552,0,7754,1296300,7758,2386000,6143,429,VectorAdd::NativeCThreaded::IO::Start,
7652,0,7854,1296300,7858,2386000,6245,429,VectorAdd::NativeCThreaded::IO::Start,
7752,0,7954,1296176,7958,2386000,6345,429,VectorAdd::NativeCThreaded::IO::Start,
7853,0,8054,1296300,8058,2386000,6371,430,VectorAdd::NativeCThreaded::IO::Stop,
7953,0,8155,1296300,8158,2386000,6372,164,VectorAdd::NativeCThreaded::Allocate::Start,
8054,0,8255,1296300,8259,2386000,6390,165,VectorAdd::NativeCThreaded::Allocate::Stop,
8154,0,8355,1296300,8359,2386000,6391,33,VectorAdd::NativeCThreaded::Init::Start,
8254,0,8457,1296424,8460,2386000,6396,34,VectorAdd::NativeCThreaded::Init::Stop,
8355,0,8556,1299400,8559,2386000,6398,370,VectorAdd::NativeCThreaded::Setup::Start,
8455,0,8656,1299400,8660,2386000,6400,371,VectorAdd::NativeCThreaded::Setup::Stop,
8555,0,8757,1299400,8761,2474000,6401,164,VectorAdd::NativeCThreaded::Allocate::Start,
8656,0,8857,1299400,8861,2474000,6403,165,VectorAdd::NativeCThreaded::Allocate::Stop,
8756,0,8957,1300392,8961,2474000,6446,165,VectorAdd::NativeCThreaded::Allocate::Stop,
8856,0,9058,1300856,9061,2474000,6447,216,VectorAdd::NativeCThreaded::Compute::Start,
8957,0,9158,1300956,9162,2474000,6547,216,VectorAdd::NativeCThreaded::Compute::Start,
9057,0,9258,1300708,9262,2474000,6648,216,VectorAdd::NativeCThreaded::Compute::Start,
9157,0,9361,1300856,9366,2474000,6749,216,VectorAdd::NativeCThreaded::Compute::Start,
9258,0,9463,1300784,9475,2474000,6819,217,VectorAdd::NativeCThreaded::Compute::Stop,
9361,0,9563,1301036,9567,2474000,6821,701,VectorAdd::NativeCThreaded::Free::Start,
9461,0,9663,1301316,9667,2474000,6823,702,VectorAdd::NativeCThreaded::Free::Stop,
9562,0,9764,1301416,9768,3046000,6850,702,VectorAdd::NativeCThreaded::Free::Stop,
9663,0,9864,1301380,9867,3046000,6952,702,VectorAdd::NativeCThreaded::Free::Stop,
9763,0,9964,1304436,9968,3046000,6979,0,:: :: :: ::,
9863,0,10065,1304324,10068,3046000,7030,54,VectorAdd::Java::IO::Start,
9964,0,10165,1303948,10169,3046000,7051,54,VectorAdd::Java::IO::Start,
10064,0,10266,1303908,10270,3046000,7151,54,VectorAdd::Java::IO::Start,
10164,0,10366,1305848,10370,3046000,7252,54,VectorAdd::Java::IO::Start,
10265,0,10467,1307920,10470,3046000,7352,54,VectorAdd::Java::IO::Start,
10365,0,10567,1308044,10572,3046000,7456,55,VectorAdd::Java::IO::Stop,
10466,0,10667,1308292,10671,3046000,7458,725,VectorAdd::Java::Allocate::Start,
10566,0,10768,1308788,10771,2805000,7461,726,VectorAdd::Java::Allocate::Stop,
10666,0,10868,1309036,10871,2805000,7528,345,VectorAdd::Java::Compute::Start,
10767,0,10969,1311476,10972,2805000,7553,345,VectorAdd::Java::Compute::Start,
10867,0,11069,1311476,11074,2805000,7654,345,VectorAdd::Java::Compute::Start,
10968,0,11169,1311344,11174,2805000,7755,345,VectorAdd::Java::Compute::Start,
11068,0,11274,1311840,11279,2805000,7854,345,VectorAdd::Java::Compute::Start,
11168,0,11371,1316388,11375,2805000,7954,345,VectorAdd::Java::Compute::Start,
11269,0,11472,1316388,11475,2805000,8055,345,VectorAdd::Java::Compute::Start,
11370,0,11572,1316512,11576,2805000,8155,345,VectorAdd::Java::Compute::Start,
11471,0,11672,1313216,11675,2805000,8255,345,VectorAdd::Java::Compute::Start,
11571,0,11773,1313192,11776,2400000,8345,346,VectorAdd::Java::Compute::Stop,
11671,0,11873,1313068,11876,2400000,8356,346,VectorAdd::Java::Compute::Stop,
11772,0,11974,1313068,11980,2400000,8448,0,:: :: :: ::,
11872,0,12079,1313068,12084,2400000,8457,0,:: :: :: ::,
11973,0,12178,1312400,12183,2400000,8480,201,VectorAdd::JavaThreaded::IO::Start,
12074,0,12280,1312592,12298,2400000,8556,201,VectorAdd::JavaThreaded::IO::Start,
12176,0,12382,1312344,12388,2400000,8657,201,VectorAdd::JavaThreaded::IO::Start,
12279,0,12437,1312344,12444,2400000,8757,201,VectorAdd::JavaThreaded::IO::Start,
12380,0,12540,1312344,12549,2400000,8849,202,VectorAdd::JavaThreaded::IO::Stop,
12432,0,12642,1312344,12653,2400000,8850,342,VectorAdd::JavaThreaded::Allocate::Start,
12536,0,12745,1312344,12753,1079000,8857,342,VectorAdd::JavaThreaded::Allocate::Start,
12639,0,12854,1312344,12865,1079000,8863,343,VectorAdd::JavaThreaded::Allocate::Stop,
12743,0,12952,1312344,12967,1079000,8922,330,VectorAdd::JavaThreaded::Compute::Start,
12850,0,13052,1312344,13058,1079000,8958,330,VectorAdd::JavaThreaded::Compute::Start,
12948,0,13154,1312344,13164,1079000,9058,330,VectorAdd::JavaThreaded::Compute::Start,
13051,0,13257,1312344,13264,1079000,9158,330,VectorAdd::JavaThreaded::Compute::Start,
13153,0,13372,1312468,13389,1079000,9259,330,VectorAdd::JavaThreaded::Compute::Start,
